"event_definition","Coding_system","Codes"
"ADHD","ICD10","F90, F90.0, F90.1, F90.8, F90.9"
"ADHD","ICD10CM","F90, F90.0, F90.1, F90.2, F90.8, F90.9, F90.9"
"ADHD","ICD9CM","314, 314.0, 314.00, 314.01, 314.1, 314.2, 314.8, 314.9"
"ADHD","MTHICD9","314.0, 314.0, 314.00, 314.01, 314.1, 314.2, 314.8, 314.9"
"ADHD","ICD9","314, 314.0, 314.1, 314.2, 314.8, 314.9"
"ADHD","RCD2","1P00., E2E.., E2E0., E2E00, E2E01, E2E0z, E2E1., E2E2., E2Ey., E2Ez., Eu900, Eu902, Eu90y, Eu90z"
"ADHD","SNOMEDCT_US","154940006, 154951006, 154952004, 192126003, 192127007, 192129005, 192130000, 192131001, 192132008, 192133003, 192134009, 192592000, 192593005, 192594004, 192595003, 192596002, 229715008, 229717000, 280996003, 31177006, 35253001, 389990003, 392751009, 393706000, 406506008, 42584006, 444613000, 44548000, 7461003"
"Autism","ICD10","F84.0"
"Autism","ICD10CM","F84.0"
"Autism","ICD9CM","299.0, 299.00, 299.01"
"Autism","MTHICD9","299.0, 299.00, 299.01"
"Autism","RCD2","E140., E1400, E1401, E140z"
"Autism","SNOMEDCT_US","154878007, 191688000, 191689008, 191690004, 191691000, 192581001, 271450003, 34883005, 38763009, 408856003, 408857007, 43614003"
"Breast cancer","ICD10","C50, C50.0, C50.1, C50.2, C50.3, C50.4, C50.5, C50.6, C50.7, C50.8, C50.9, C50.9, D05, D05.1, D05.9, Z90.1"
"Breast cancer","ICD10CM","C50, C50, C50, C50.11, C50.31, C50.41, C50.51, C50.61, C79.81, D05, D05.0, D05.1, D05.9, Z90.10, Z90.11, Z90.12, Z90.13"
"Breast cancer","ICD9CM","174, 174.0, 174.1, 174.2, 174.3, 174.4, 174.5, 174.6, 174.8, 174.9, 198.81, 233.0, 40.22, 85.2, 85.20, 85.22, 85.23, 85.25, 85.33, 85.34, 85.35, 85.36, 85.41, 85.42, 85.43, 85.44, 85.45, 85.46, 85.47, 85.48"
"Breast cancer","ICD9","174, 174.0, 174.1, 174.2, 174.3, 174.4, 174.5, 174.6, 174.8, 174.9, 233.0, 238.3, 239.3"
"Breast cancer","ICPC","X76"
"Breast cancer","RCD2","7130., 71300, 71302, 71304, 71305, 71306, 71308, 71309, 7130z, 71310, 71311, 71312, 71361, B34.., B340., B340z, B341., B342., B343., B344., B345., B346., B34z., B58y0, B830., B8300, B8301, BB90., BB9G., BB9J., Byu6., ZV6G1"
"Breast cancer","SNOMEDCT_US","109888004, 109889007, 116221009, 150298000, 150299008, 150300000, 150301001, 150302008, 150303003, 150304009, 150306006, 150323002, 154521006, 154636004, 17056008, 172039007, 172043006, 172045004, 172047007, 172049005, 188146000, 188147009, 188150007, 188151006, 188152004, 188153009, 188154003, 188155002, 188156001, 188161004, 189336000, 189337009, 189338004, 189705006, 190121004, 22418005, 22964006, 237370008, 24268003, 24268003, 254837009, 269595005, 278053004, 27865001, 287654001, 2985005, 316517001, 317230007, 359728003, 359738008, 359740003, 367502008, 372064008, 373176000, 384723003, 392021009, 392022002, 395701007, 406505007, 408643008, 456903003, 52314009, 5835009, 58477004, 60633004, 64368001, 64837009, 66398006, 70183006, 71222002, 72258006, 72258006, 72258006, 72577009, 73359007, 76468001, 76468001, 8115005, 86616005, 88764002, 93685009, 93745008, 93776002, 93796005, 94297009"
"Depression","ICD10","F30.0, F30.1, F30.2, F30.3, F30.4, F30.5, F30.6, F30.7, F30.8, F30.9, F31.0, F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7, F31.8, F31.9, F32, F32.0, F32.0, F32.1, F32.1, F32.2, F32.2, F32.3, F32.3, F32.4, F32.5, F32.6, F32.7, F32.8, F32.8, F32.9, F32.9, F33, F33.0, F33.1, F33.1, F33.2, F33.2, F33.3, F33.3, F33.4, F33.4, F33.5, F33.6, F33.7, F33.8, F33.9, F33.9, F34, F34.0, F34.1, F34.1, F34.2, F34.3, F34.4, F34.5, F34.6, F34.7, F34.8, F34.9, F34.9, F35.0, F35.1, F35.2, F35.3, F35.4, F35.5, F35.6, F35.7, F35.8, F35.9, F36.0, F36.1, F36.2, F36.3, F36.4, F36.5, F36.6, F36.7, F36.8, F36.9, F37.0, F37.1, F37.2, F37.3, F37.4, F37.5, F37.6, F37.7, F37.8, F37.9, F38.0, F38.1, F38.2, F38.3, F38.4, F38.5, F38.6, F38.7, F38.8, F38.9, F39, F39.0, F39.1, F39.2, F39.3, F39.4, F39.5, F39.6, F39.7, F39.8, F39.9, F41.2, F92.0"
"Depression","ICD10CM","F30, F31, F32, F32, F32, F32.0, F32.1, F32.2, F32.3, F32.8, F32.8, F32.9, F32.9, F32.9, F33, F33, F33.1, F33.2, F33.3, F33.41, F33.9, F33.9, F34, F34, F34.1, F34.1, F34.1, F34.1, F34.1, F34.9, F35, F36, F37, F38, F39, F39, F41.8, F53"
"Depression","ICD9CM","296, 296.2, 296.20, 296.21, 296.22, 296.23, 296.24, 296.3, 296.30, 296.31, 296.32, 296.33, 296.34, 296.35, 296.82, 296.90, 300.4, 301.12, 311"
"Depression","ICD9","300.4, 296.1, 296.3, 296.4, 296.5, 296.6, 296.8, 296.9, 298.0, 311"
"Depression","ICPC","P76"
"Depression","MTHICD9","292.84, 296.20, 296.21, 296.22, 296.23, 296.24, 296.30, 296.31, 296.32, 296.33, 296.34, 296.35, 296.90, 298.0, 300.4, 300.4, 300.4, 301.12, 311, 311"
"Depression","RCD2","62T1., E02y3, E11.., E112., E112., E1120, E1121, E1122, E112z, E113., E1130, E1131, E1135, E113z, E118., E11y2, E11z2, E130., E135., E2003, E204., E2112, E2B.., Eu3.., Eu32., Eu32., Eu32., Eu320, Eu321, Eu322, Eu322, Eu323, Eu326, Eu32y, Eu32z, Eu32z, Eu33., Eu331, Eu332, Eu333, Eu334, Eu33z, Eu34., Eu341, Eu34z, Eu3z."
