"","studyFUmonths","YM","Sum"
"1",201001,"2010-01",4478
"2",201002,"2010-02",4478
"3",201003,"2010-03",4461
"4",201004,"2010-04",4412
"5",201005,"2010-05",4449
"6",201006,"2010-06",4423
"7",201007,"2010-07",4402
"8",201008,"2010-08",4411
"9",201009,"2010-09",4411
"10",201010,"2010-10",4407
"11",201011,"2010-11",4416
"12",201012,"2010-12",4381
"13",201101,"2011-01",4363
"14",201102,"2011-02",4368
"15",201103,"2011-03",4381
"16",201104,"2011-04",4417
"17",201105,"2011-05",4417
"18",201106,"2011-06",4413
"19",201107,"2011-07",4440
"20",201108,"2011-08",4458
"21",201109,"2011-09",4476
"22",201110,"2011-10",4472
"23",201111,"2011-11",4473
"24",201112,"2011-12",4496
"25",201201,"2012-01",4514
"26",201202,"2012-02",4541
"27",201203,"2012-03",4568
"28",201204,"2012-04",4546
"29",201205,"2012-05",4546
"30",201206,"2012-06",4551
"31",201207,"2012-07",4551
"32",201208,"2012-08",4569
"33",201209,"2012-09",4534
"34",201210,"2012-10",4548
"35",201211,"2012-11",4553
"36",201212,"2012-12",4562
"37",201301,"2013-01",4562
"38",201302,"2013-02",4553
"39",201303,"2013-03",4567
"40",201304,"2013-04",4581
"41",201305,"2013-05",4577
"42",201306,"2013-06",4532
"43",201307,"2013-07",4528
"44",201308,"2013-08",4506
"45",201309,"2013-09",4524
"46",201310,"2013-10",4520
"47",201311,"2013-11",4488
"48",201312,"2013-12",4470
"49",201401,"2014-01",4466
"50",201402,"2014-02",4475
"51",201403,"2014-03",4471
"52",201404,"2014-04",4489
"53",201405,"2014-05",4462
"54",201406,"2014-06",4462
"55",201407,"2014-07",4458
"56",201408,"2014-08",4467
"57",201409,"2014-09",4467
"58",201410,"2014-10",4445
"59",201411,"2014-11",4445
"60",201412,"2014-12",4445
"61",201501,"2015-01",4459
"62",201502,"2015-02",4459
"63",201503,"2015-03",4450
"64",201504,"2015-04",4450
"65",201505,"2015-05",4464
"66",201506,"2015-06",4446
"67",201507,"2015-07",4420
"68",201508,"2015-08",4412
"69",201509,"2015-09",4386
"70",201510,"2015-10",4368
"71",201511,"2015-11",4359
"72",201512,"2015-12",4341
"73",201601,"2016-01",4323
"74",201602,"2016-02",4301
"75",201603,"2016-03",4292
"76",201604,"2016-04",4297
"77",201605,"2016-05",4270
"78",201606,"2016-06",4234
"79",201607,"2016-07",4248
"80",201608,"2016-08",4249
"81",201609,"2016-09",4231
"82",201610,"2016-10",4231
"83",201611,"2016-11",4226
"84",201612,"2016-12",4235
"85",201701,"2017-01",4199
"86",201702,"2017-02",4199
"87",201703,"2017-03",4199
"88",201704,"2017-04",4181
"89",201705,"2017-05",4168
"90",201706,"2017-06",4151
"91",201707,"2017-07",4138
"92",201708,"2017-08",4103
"93",201709,"2017-09",4089
"94",201710,"2017-10",4084
"95",201711,"2017-11",4048
"96",201712,"2017-12",4052
"97",201801,"2018-01",4030
"98",201802,"2018-02",4017
"99",201803,"2018-03",4017
"100",201804,"2018-04",4008
"101",201805,"2018-05",3991
"102",201806,"2018-06",3982
"103",201807,"2018-07",3946
"104",201808,"2018-08",3928
"105",201809,"2018-09",3915
"106",201810,"2018-10",3906
"107",201811,"2018-11",3884
"108",201812,"2018-12",3866
"109",201901,"2019-01",3866
"110",201902,"2019-02",3857
"111",201903,"2019-03",3848
"112",201904,"2019-04",3830
"113",201905,"2019-05",3830
"114",201906,"2019-06",3825
"115",201907,"2019-07",3812
"116",201908,"2019-08",3808
"117",201909,"2019-09",3804
"118",201910,"2019-10",3804
"119",201911,"2019-11",3805
"120",201912,"2019-12",3805
"121",202001,"2020-01",3778
"122",202002,"2020-02",3769
"123",202003,"2020-03",3774
"124",202004,"2020-04",3774
"125",202005,"2020-05",3792
"126",202006,"2020-06",3756
"127",202007,"2020-07",3756
"128",202008,"2020-08",3751
"129",202009,"2020-09",3733
"130",202010,"2020-10",3742
"131",202011,"2020-11",3728
"132",202012,"2020-12",3723
