"studyFUmonths","Freq","YM"
"201001",502,"2010-01"
"201002",502,"2010-02"
"201003",501,"2010-03"
"201004",496,"2010-04"
"201005",501,"2010-05"
"201006",499,"2010-06"
"201007",498,"2010-07"
"201008",499,"2010-08"
"201009",499,"2010-09"
"201010",499,"2010-10"
"201011",500,"2010-11"
"201012",497,"2010-12"
"201101",495,"2011-01"
"201102",496,"2011-02"
"201103",497,"2011-03"
"201104",501,"2011-04"
"201105",501,"2011-05"
"201106",501,"2011-06"
"201107",504,"2011-07"
"201108",506,"2011-08"
"201109",508,"2011-09"
"201110",508,"2011-10"
"201111",509,"2011-11"
"201112",512,"2011-12"
"201201",514,"2012-01"
"201202",517,"2012-02"
"201203",520,"2012-03"
"201204",518,"2012-04"
"201205",518,"2012-05"
"201206",519,"2012-06"
"201207",519,"2012-07"
"201208",521,"2012-08"
"201209",517,"2012-09"
"201210",519,"2012-10"
"201211",520,"2012-11"
"201212",521,"2012-12"
"201301",521,"2013-01"
"201302",520,"2013-02"
"201303",522,"2013-03"
"201304",524,"2013-04"
"201305",524,"2013-05"
"201306",519,"2013-06"
"201307",519,"2013-07"
"201308",517,"2013-08"
"201309",519,"2013-09"
"201310",519,"2013-10"
"201311",515,"2013-11"
"201312",513,"2013-12"
"201401",513,"2014-01"
"201402",514,"2014-02"
"201403",514,"2014-03"
"201404",516,"2014-04"
"201405",513,"2014-05"
"201406",513,"2014-06"
"201407",513,"2014-07"
"201408",514,"2014-08"
"201409",514,"2014-09"
"201410",512,"2014-10"
"201411",512,"2014-11"
"201412",512,"2014-12"
"201501",514,"2015-01"
"201502",514,"2015-02"
"201503",513,"2015-03"
"201504",513,"2015-04"
"201505",515,"2015-05"
"201506",513,"2015-06"
"201507",511,"2015-07"
"201508",511,"2015-08"
"201509",509,"2015-09"
"201510",507,"2015-10"
"201511",506,"2015-11"
"201512",504,"2015-12"
"201601",502,"2016-01"
"201602",500,"2016-02"
"201603",499,"2016-03"
"201604",500,"2016-04"
"201605",497,"2016-05"
"201606",493,"2016-06"
"201607",495,"2016-07"
"201608",496,"2016-08"
"201609",494,"2016-09"
"201610",494,"2016-10"
"201611",493,"2016-11"
"201612",494,"2016-12"
"201701",490,"2017-01"
"201702",490,"2017-02"
"201703",490,"2017-03"
"201704",488,"2017-04"
"201705",487,"2017-05"
"201706",486,"2017-06"
"201707",485,"2017-07"
"201708",482,"2017-08"
"201709",480,"2017-09"
"201710",479,"2017-10"
"201711",474,"2017-11"
"201712",475,"2017-12"
"201801",473,"2018-01"
"201802",472,"2018-02"
"201803",472,"2018-03"
"201804",471,"2018-04"
"201805",470,"2018-05"
"201806",469,"2018-06"
"201807",465,"2018-07"
"201808",463,"2018-08"
"201809",462,"2018-09"
"201810",461,"2018-10"
"201811",459,"2018-11"
"201812",457,"2018-12"
"201901",457,"2019-01"
"201902",456,"2019-02"
"201903",455,"2019-03"
"201904",453,"2019-04"
"201905",453,"2019-05"
"201906",452,"2019-06"
"201907",451,"2019-07"
"201908",451,"2019-08"
"201909",451,"2019-09"
"201910",451,"2019-10"
"201911",452,"2019-11"
"201912",452,"2019-12"
"202001",449,"2020-01"
"202002",448,"2020-02"
"202003",449,"2020-03"
"202004",449,"2020-04"
"202005",451,"2020-05"
"202006",447,"2020-06"
"202007",447,"2020-07"
"202008",447,"2020-08"
"202009",445,"2020-09"
"202010",446,"2020-10"
"202011",444,"2020-11"
"202012",443,"2020-12"
