"YM","N","Freq","rates","masked"
"2010-01",3,492,0.00609756097560976,1
"2010-02",0,492,0,0
"2010-03",0,489,0,0
"2010-04",0,483,0,0
"2010-05",4,486,0.00823045267489712,1
"2010-06",2,482,0.004149377593361,1
"2010-07",0,478,0,0
"2010-08",0,479,0,0
"2010-09",1,479,0.00208768267223382,1
"2010-10",1,478,0.00209205020920502,1
"2010-11",0,479,0,0
"2010-12",1,474,0.00210970464135021,1
"2011-01",2,472,0.00423728813559322,1
"2011-02",1,472,0.00211864406779661,1
"2011-03",1,474,0.00210970464135021,1
"2011-04",2,478,0.00418410041841004,1
"2011-05",1,478,0.00209205020920502,1
"2011-06",0,477,0,0
"2011-07",2,480,0.00416666666666667,1
"2011-08",1,482,0.0020746887966805,1
"2011-09",2,484,0.00413223140495868,1
"2011-10",1,483,0.0020703933747412,1
"2011-11",1,482,0.0020746887966805,1
"2011-12",2,484,0.00413223140495868,1
"2012-01",0,486,0,0
"2012-02",0,489,0,0
"2012-03",1,492,0.00203252032520325,1
"2012-04",2,489,0.00408997955010225,1
"2012-05",2,489,0.00408997955010225,1
"2012-06",0,489,0,0
"2012-07",1,489,0.00204498977505112,1
"2012-08",1,491,0.00203665987780041,1
"2012-09",1,487,0.00205338809034908,1
"2012-10",1,488,0.00204918032786885,1
"2012-11",2,488,0.00409836065573771,1
"2012-12",0,489,0,0
"2013-01",0,489,0,0
"2013-02",1,488,0.00204918032786885,1
"2013-03",4,489,0.0081799591002045,1
"2013-04",2,490,0.00408163265306122,1
"2013-05",0,489,0,0
"2013-06",1,484,0.00206611570247934,1
"2013-07",2,483,0.0041407867494824,1
"2013-08",0,480,0,0
"2013-09",2,482,0.004149377593361,1
"2013-10",0,481,0,0
"2013-11",1,478,0.00209205020920502,1
"2013-12",3,475,0.00631578947368421,1
"2014-01",1,474,0.00210970464135021,1
"2014-02",1,475,0.00210526315789474,1
"2014-03",1,474,0.00210970464135021,1
"2014-04",1,476,0.00210084033613445,1
"2014-05",0,473,0,0
"2014-06",1,473,0.00211416490486258,1
"2014-07",0,472,0,0
"2014-08",4,473,0.00845665961945032,1
"2014-09",2,473,0.00422832980972516,1
"2014-10",0,470,0,0
"2014-11",0,470,0,0
"2014-12",0,470,0,0
"2015-01",2,471,0.00424628450106157,1
"2015-02",0,471,0,0
"2015-03",3,470,0.00638297872340425,1
"2015-04",2,470,0.00425531914893617,1
"2015-05",1,471,0.00212314225053079,1
"2015-06",0,469,0,0
"2015-07",0,465,0,0
"2015-08",3,463,0.00647948164146868,1
"2015-09",0,459,0,0
"2015-10",1,457,0.00218818380743982,1
"2015-11",3,456,0.00657894736842105,1
"2015-12",0,454,0,0
"2016-01",0,452,0,0
"2016-02",0,449,0,0
"2016-03",2,448,0.00446428571428571,1
"2016-04",2,448,0.00446428571428571,1
"2016-05",0,445,0,0
"2016-06",1,441,0.00226757369614512,1
"2016-07",2,442,0.00452488687782805,1
"2016-08",0,441,0,0
"2016-09",0,439,0,0
"2016-10",1,439,0.00227790432801822,1
"2016-11",0,439,0,0
"2016-12",1,440,0.00227272727272727,1
"2017-01",1,436,0.00229357798165138,1
"2017-02",0,436,0,0
"2017-03",1,436,0.00229357798165138,1
"2017-04",2,434,0.00460829493087558,1
"2017-05",1,432,0.00231481481481481,1
"2017-06",0,429,0,0
"2017-07",2,427,0.00468384074941452,1
"2017-08",1,422,0.0023696682464455,1
"2017-09",0,421,0,0
"2017-10",4,421,0.00950118764845606,1
"2017-11",0,418,0,0
"2017-12",1,418,0.00239234449760766,1
"2018-01",2,415,0.00481927710843374,1
"2018-02",1,413,0.00242130750605327,1
"2018-03",2,413,0.00484261501210654,1
"2018-04",1,412,0.00242718446601942,1
"2018-05",2,409,0.00488997555012225,1
"2018-06",3,408,0.00735294117647059,1
"2018-07",1,404,0.00247524752475248,1
"2018-08",1,402,0.00248756218905473,1
"2018-09",1,400,0.0025,1
"2018-10",2,399,0.0050125313283208,1
"2018-11",2,396,0.00505050505050505,1
"2018-12",2,394,0.0050761421319797,1
"2019-01",1,394,0.00253807106598985,1
"2019-02",0,393,0,0
"2019-03",1,392,0.00255102040816327,1
"2019-04",1,390,0.00256410256410256,1
"2019-05",4,390,0.0102564102564103,1
"2019-06",1,390,0.00256410256410256,1
"2019-07",0,388,0,0
"2019-08",4,387,0.0103359173126615,1
"2019-09",1,386,0.00259067357512953,1
"2019-10",1,386,0.00259067357512953,1
"2019-11",1,385,0.0025974025974026,1
"2019-12",2,385,0.00519480519480519,1
"2020-01",1,382,0.00261780104712042,1
"2020-02",0,381,0,0
"2020-03",0,381,0,0
"2020-04",0,381,0,0
"2020-05",0,383,0,0
"2020-06",0,379,0,0
"2020-07",0,379,0,0
"2020-08",0,378,0,0
"2020-09",0,376,0,0
"2020-10",0,377,0,0
"2020-11",0,376,0,0
"2020-12",0,376,0,0
