"YM","N","Freq","rates","masked"
"2010-01",4,502,0.00796812749003984,1
"2010-02",0,502,0,0
"2010-03",0,501,0,0
"2010-04",0,496,0,0
"2010-05",4,501,0.00798403193612774,1
"2010-06",5,499,0.0100200400801603,0
"2010-07",3,498,0.00602409638554217,1
"2010-08",3,499,0.00601202404809619,1
"2010-09",4,499,0.00801603206412826,1
"2010-10",2,499,0.00400801603206413,1
"2010-11",0,500,0,0
"2010-12",2,497,0.00402414486921529,1
"2011-01",2,495,0.00404040404040404,1
"2011-02",2,496,0.00403225806451613,1
"2011-03",2,497,0.00402414486921529,1
"2011-04",3,501,0.00598802395209581,1
"2011-05",1,501,0.00199600798403194,1
"2011-06",2,501,0.00399201596806387,1
"2011-07",2,504,0.00396825396825397,1
"2011-08",1,506,0.00197628458498024,1
"2011-09",2,508,0.00393700787401575,1
"2011-10",1,508,0.00196850393700787,1
"2011-11",3,509,0.00589390962671906,1
"2011-12",4,512,0.0078125,1
"2012-01",2,514,0.00389105058365759,1
"2012-02",2,517,0.00386847195357834,1
"2012-03",2,520,0.00384615384615385,1
"2012-04",3,518,0.00579150579150579,1
"2012-05",3,518,0.00579150579150579,1
"2012-06",1,519,0.00192678227360308,1
"2012-07",3,519,0.00578034682080925,1
"2012-08",3,521,0.00575815738963532,1
"2012-09",3,517,0.00580270793036751,1
"2012-10",4,519,0.00770712909441233,1
"2012-11",3,520,0.00576923076923077,1
"2012-12",3,521,0.00575815738963532,1
"2013-01",2,521,0.00383877159309021,1
"2013-02",3,520,0.00576923076923077,1
"2013-03",4,522,0.00766283524904215,1
"2013-04",7,524,0.0133587786259542,0
"2013-05",1,524,0.00190839694656489,1
"2013-06",5,519,0.00963391136801541,0
"2013-07",2,519,0.00385356454720617,1
"2013-08",2,517,0.00386847195357834,1
"2013-09",3,519,0.00578034682080925,1
"2013-10",0,519,0,0
"2013-11",2,515,0.00388349514563107,1
"2013-12",3,513,0.00584795321637427,1
"2014-01",2,513,0.00389863547758285,1
"2014-02",1,514,0.00194552529182879,1
"2014-03",1,514,0.00194552529182879,1
"2014-04",3,516,0.00581395348837209,1
"2014-05",0,513,0,0
"2014-06",1,513,0.00194931773879142,1
"2014-07",3,513,0.00584795321637427,1
"2014-08",4,514,0.00778210116731518,1
"2014-09",2,514,0.00389105058365759,1
"2014-10",0,512,0,0
"2014-11",2,512,0.00390625,1
"2014-12",1,512,0.001953125,1
"2015-01",2,514,0.00389105058365759,1
"2015-02",0,514,0,0
"2015-03",4,513,0.00779727095516569,1
"2015-04",2,513,0.00389863547758285,1
"2015-05",2,515,0.00388349514563107,1
"2015-06",0,513,0,0
"2015-07",1,511,0.00195694716242661,1
"2015-08",4,511,0.00782778864970646,1
"2015-09",0,509,0,0
"2015-10",2,507,0.00394477317554241,1
"2015-11",3,506,0.00592885375494071,1
"2015-12",0,504,0,0
"2016-01",0,502,0,0
"2016-02",1,500,0.002,1
"2016-03",2,499,0.00400801603206413,1
"2016-04",3,500,0.006,1
"2016-05",0,497,0,0
"2016-06",1,493,0.00202839756592292,1
"2016-07",3,495,0.00606060606060606,1
"2016-08",0,496,0,0
"2016-09",0,494,0,0
"2016-10",1,494,0.00202429149797571,1
"2016-11",0,493,0,0
"2016-12",1,494,0.00202429149797571,1
"2017-01",2,490,0.00408163265306122,1
"2017-02",1,490,0.00204081632653061,1
"2017-03",1,490,0.00204081632653061,1
"2017-04",2,488,0.00409836065573771,1
"2017-05",2,487,0.00410677618069815,1
"2017-06",1,486,0.00205761316872428,1
"2017-07",2,485,0.00412371134020619,1
"2017-08",2,482,0.004149377593361,1
"2017-09",0,480,0,0
"2017-10",6,479,0.0125260960334029,0
"2017-11",1,474,0.00210970464135021,1
"2017-12",2,475,0.00421052631578947,1
"2018-01",3,473,0.00634249471458774,1
"2018-02",1,472,0.00211864406779661,1
"2018-03",2,472,0.00423728813559322,1
"2018-04",1,471,0.00212314225053079,1
"2018-05",2,470,0.00425531914893617,1
"2018-06",3,469,0.00639658848614072,1
"2018-07",3,465,0.00645161290322581,1
"2018-08",2,463,0.00431965442764579,1
"2018-09",1,462,0.00216450216450216,1
"2018-10",4,461,0.00867678958785249,1
"2018-11",2,459,0.00435729847494553,1
"2018-12",3,457,0.00656455142231947,1
"2019-01",1,457,0.00218818380743982,1
"2019-02",0,456,0,0
"2019-03",1,455,0.0021978021978022,1
"2019-04",3,453,0.00662251655629139,1
"2019-05",4,453,0.00883002207505519,1
"2019-06",1,452,0.00221238938053097,1
"2019-07",0,451,0,0
"2019-08",4,451,0.00886917960088692,1
"2019-09",1,451,0.00221729490022173,1
"2019-10",1,451,0.00221729490022173,1
"2019-11",1,452,0.00221238938053097,1
"2019-12",2,452,0.00442477876106195,1
"2020-01",1,449,0.0022271714922049,1
"2020-02",0,448,0,0
"2020-03",0,449,0,0
"2020-04",0,449,0,0
"2020-05",0,451,0,0
"2020-06",0,447,0,0
"2020-07",0,447,0,0
"2020-08",0,447,0,0
"2020-09",0,445,0,0
"2020-10",0,446,0,0
"2020-11",0,444,0,0
"2020-12",0,443,0,0
