"YM","N","Freq","rates","masked"
"2010-01",4,502,0.00796812749003984,1
"2010-02",0,502,0,0
"2010-03",0,501,0,0
"2010-04",0,496,0,0
"2010-05",4,501,0.00798403193612774,1
"2010-06",5,499,0.0100200400801603,0
"2010-07",3,498,0.00602409638554217,1
"2010-08",3,499,0.00601202404809619,1
"2010-09",4,499,0.00801603206412826,1
"2010-10",2,499,0.00400801603206413,1
"2010-11",0,500,0,0
"2010-12",2,497,0.00402414486921529,1
"2011-01",2,495,0.00404040404040404,1
"2011-02",2,496,0.00403225806451613,1
"2011-03",2,497,0.00402414486921529,1
"2011-04",3,501,0.00598802395209581,1
"2011-05",1,501,0.00199600798403194,1
"2011-06",2,501,0.00399201596806387,1
"2011-07",2,504,0.00396825396825397,1
"2011-08",1,506,0.00197628458498024,1
"2011-09",2,508,0.00393700787401575,1
"2011-10",1,508,0.00196850393700787,1
"2011-11",3,509,0.00589390962671906,1
"2011-12",4,512,0.0078125,1
"2012-01",2,514,0.00389105058365759,1
"2012-02",2,517,0.00386847195357834,1
"2012-03",2,520,0.00384615384615385,1
"2012-04",3,518,0.00579150579150579,1
"2012-05",3,518,0.00579150579150579,1
"2012-06",1,519,0.00192678227360308,1
"2012-07",3,519,0.00578034682080925,1
"2012-08",3,521,0.00575815738963532,1
"2012-09",3,518,0.00579150579150579,1
"2012-10",4,520,0.00769230769230769,1
"2012-11",3,521,0.00575815738963532,1
"2012-12",3,522,0.00574712643678161,1
"2013-01",2,522,0.00383141762452107,1
"2013-02",3,521,0.00575815738963532,1
"2013-03",4,523,0.00764818355640535,1
"2013-04",7,525,0.0133333333333333,0
"2013-05",1,525,0.0019047619047619,1
"2013-06",5,520,0.00961538461538462,0
"2013-07",2,520,0.00384615384615385,1
"2013-08",2,518,0.00386100386100386,1
"2013-09",3,520,0.00576923076923077,1
"2013-10",0,520,0,0
"2013-11",2,516,0.00387596899224806,1
"2013-12",3,515,0.0058252427184466,1
"2014-01",2,515,0.00388349514563107,1
"2014-02",1,516,0.00193798449612403,1
"2014-03",1,516,0.00193798449612403,1
"2014-04",3,518,0.00579150579150579,1
"2014-05",0,515,0,0
"2014-06",1,515,0.00194174757281553,1
"2014-07",3,515,0.0058252427184466,1
"2014-08",4,516,0.00775193798449612,1
"2014-09",2,516,0.00387596899224806,1
"2014-10",0,514,0,0
"2014-11",2,514,0.00389105058365759,1
"2014-12",1,514,0.00194552529182879,1
"2015-01",2,516,0.00387596899224806,1
"2015-02",0,516,0,0
"2015-03",4,515,0.00776699029126214,1
"2015-04",2,515,0.00388349514563107,1
"2015-05",2,517,0.00386847195357834,1
"2015-06",0,515,0,0
"2015-07",1,513,0.00194931773879142,1
"2015-08",4,513,0.00779727095516569,1
"2015-09",0,511,0,0
"2015-10",2,509,0.00392927308447937,1
"2015-11",3,508,0.00590551181102362,1
"2015-12",0,506,0,0
"2016-01",0,504,0,0
"2016-02",1,502,0.00199203187250996,1
"2016-03",2,501,0.00399201596806387,1
"2016-04",3,502,0.00597609561752988,1
"2016-05",0,499,0,0
"2016-06",1,495,0.00202020202020202,1
"2016-07",3,497,0.00603621730382294,1
"2016-08",0,498,0,0
"2016-09",0,496,0,0
"2016-10",1,496,0.00201612903225806,1
"2016-11",0,495,0,0
"2016-12",1,496,0.00201612903225806,1
"2017-01",2,492,0.0040650406504065,1
"2017-02",1,492,0.00203252032520325,1
"2017-03",1,492,0.00203252032520325,1
"2017-04",2,490,0.00408163265306122,1
"2017-05",2,489,0.00408997955010225,1
"2017-06",1,488,0.00204918032786885,1
"2017-07",2,487,0.00410677618069815,1
"2017-08",2,484,0.00413223140495868,1
"2017-09",0,482,0,0
"2017-10",6,481,0.0124740124740125,0
"2017-11",1,477,0.00209643605870021,1
"2017-12",2,477,0.00419287211740042,1
"2018-01",3,475,0.00631578947368421,1
"2018-02",1,474,0.00210970464135021,1
"2018-03",2,474,0.00421940928270042,1
"2018-04",1,473,0.00211416490486258,1
"2018-05",2,472,0.00423728813559322,1
"2018-06",3,471,0.00636942675159236,1
"2018-07",3,467,0.00642398286937901,1
"2018-08",2,465,0.0043010752688172,1
"2018-09",1,464,0.0021551724137931,1
"2018-10",4,463,0.00863930885529158,1
"2018-11",2,461,0.00433839479392625,1
"2018-12",3,459,0.0065359477124183,1
"2019-01",1,459,0.00217864923747277,1
"2019-02",0,458,0,0
"2019-03",1,457,0.00218818380743982,1
"2019-04",3,455,0.00659340659340659,1
"2019-05",4,455,0.00879120879120879,1
"2019-06",1,454,0.00220264317180617,1
"2019-07",0,453,0,0
"2019-08",4,453,0.00883002207505519,1
"2019-09",1,453,0.0022075055187638,1
"2019-10",1,453,0.0022075055187638,1
"2019-11",1,454,0.00220264317180617,1
"2019-12",2,454,0.00440528634361234,1
"2020-01",1,451,0.00221729490022173,1
"2020-02",0,450,0,0
"2020-03",0,451,0,0
"2020-04",0,451,0,0
"2020-05",0,453,0,0
"2020-06",0,449,0,0
"2020-07",0,449,0,0
"2020-08",0,448,0,0
"2020-09",0,446,0,0
"2020-10",0,447,0,0
"2020-11",0,445,0,0
"2020-12",0,444,0,0
