"YM","N","Freq","rates","masked"
"2010-01",3,492,0.00609756097560976,1
"2010-02",0,492,0,0
"2010-03",0,489,0,0
"2010-04",0,483,0,0
"2010-05",4,486,0.00823045267489712,1
"2010-06",2,482,0.004149377593361,1
"2010-07",0,478,0,0
"2010-08",0,479,0,0
"2010-09",1,479,0.00208768267223382,1
"2010-10",1,478,0.00209205020920502,1
"2010-11",0,479,0,0
"2010-12",1,474,0.00210970464135021,1
"2011-01",2,472,0.00423728813559322,1
"2011-02",1,472,0.00211864406779661,1
"2011-03",1,474,0.00210970464135021,1
"2011-04",2,478,0.00418410041841004,1
"2011-05",1,478,0.00209205020920502,1
"2011-06",0,477,0,0
"2011-07",2,480,0.00416666666666667,1
"2011-08",1,482,0.0020746887966805,1
"2011-09",2,484,0.00413223140495868,1
"2011-10",1,483,0.0020703933747412,1
"2011-11",1,482,0.0020746887966805,1
"2011-12",2,484,0.00413223140495868,1
"2012-01",0,486,0,0
"2012-02",0,489,0,0
"2012-03",1,492,0.00203252032520325,1
"2012-04",2,489,0.00408997955010225,1
"2012-05",2,489,0.00408997955010225,1
"2012-06",0,489,0,0
"2012-07",1,489,0.00204498977505112,1
"2012-08",1,491,0.00203665987780041,1
"2012-09",1,486,0.00205761316872428,1
"2012-10",1,487,0.00205338809034908,1
"2012-11",2,487,0.00410677618069815,1
"2012-12",0,488,0,0
"2013-01",0,488,0,0
"2013-02",1,487,0.00205338809034908,1
"2013-03",4,488,0.00819672131147541,1
"2013-04",2,489,0.00408997955010225,1
"2013-05",0,488,0,0
"2013-06",1,483,0.0020703933747412,1
"2013-07",2,482,0.004149377593361,1
"2013-08",0,479,0,0
"2013-09",2,481,0.00415800415800416,1
"2013-10",0,480,0,0
"2013-11",1,477,0.00209643605870021,1
"2013-12",3,474,0.00632911392405063,1
"2014-01",1,473,0.00211416490486258,1
"2014-02",1,474,0.00210970464135021,1
"2014-03",1,473,0.00211416490486258,1
"2014-04",1,475,0.00210526315789474,1
"2014-05",0,472,0,0
"2014-06",1,472,0.00211864406779661,1
"2014-07",0,471,0,0
"2014-08",4,472,0.00847457627118644,1
"2014-09",2,472,0.00423728813559322,1
"2014-10",0,469,0,0
"2014-11",0,469,0,0
"2014-12",0,469,0,0
"2015-01",2,470,0.00425531914893617,1
"2015-02",0,470,0,0
"2015-03",3,469,0.00639658848614072,1
"2015-04",2,469,0.00426439232409382,1
"2015-05",1,470,0.00212765957446809,1
"2015-06",0,468,0,0
"2015-07",0,464,0,0
"2015-08",3,462,0.00649350649350649,1
"2015-09",0,458,0,0
"2015-10",1,456,0.00219298245614035,1
"2015-11",3,455,0.00659340659340659,1
"2015-12",0,453,0,0
"2016-01",0,451,0,0
"2016-02",0,448,0,0
"2016-03",2,447,0.00447427293064877,1
"2016-04",2,447,0.00447427293064877,1
"2016-05",0,444,0,0
"2016-06",1,440,0.00227272727272727,1
"2016-07",2,441,0.00453514739229025,1
"2016-08",0,440,0,0
"2016-09",0,438,0,0
"2016-10",1,438,0.00228310502283105,1
"2016-11",0,438,0,0
"2016-12",1,439,0.00227790432801822,1
"2017-01",1,435,0.00229885057471264,1
"2017-02",0,435,0,0
"2017-03",1,435,0.00229885057471264,1
"2017-04",2,433,0.0046189376443418,1
"2017-05",1,431,0.00232018561484919,1
"2017-06",0,428,0,0
"2017-07",2,426,0.00469483568075117,1
"2017-08",1,421,0.00237529691211401,1
"2017-09",0,420,0,0
"2017-10",4,420,0.00952380952380952,1
"2017-11",0,416,0,0
"2017-12",1,417,0.00239808153477218,1
"2018-01",2,414,0.00483091787439614,1
"2018-02",1,412,0.00242718446601942,1
"2018-03",2,412,0.00485436893203883,1
"2018-04",1,411,0.0024330900243309,1
"2018-05",2,408,0.00490196078431373,1
"2018-06",3,407,0.00737100737100737,1
"2018-07",1,403,0.00248138957816377,1
"2018-08",1,401,0.00249376558603491,1
"2018-09",1,399,0.0025062656641604,1
"2018-10",2,398,0.0050251256281407,1
"2018-11",2,395,0.00506329113924051,1
"2018-12",2,393,0.00508905852417303,1
"2019-01",1,393,0.00254452926208651,1
"2019-02",0,392,0,0
"2019-03",1,391,0.00255754475703325,1
"2019-04",1,389,0.0025706940874036,1
"2019-05",4,389,0.0102827763496144,1
"2019-06",1,389,0.0025706940874036,1
"2019-07",0,387,0,0
"2019-08",4,386,0.0103626943005181,1
"2019-09",1,385,0.0025974025974026,1
"2019-10",1,385,0.0025974025974026,1
"2019-11",1,384,0.00260416666666667,1
"2019-12",2,384,0.00520833333333333,1
"2020-01",1,381,0.0026246719160105,1
"2020-02",0,380,0,0
"2020-03",0,380,0,0
"2020-04",0,380,0,0
"2020-05",0,382,0,0
"2020-06",0,378,0,0
"2020-07",0,378,0,0
"2020-08",0,378,0,0
"2020-09",0,376,0,0
"2020-10",0,377,0,0
"2020-11",0,376,0,0
"2020-12",0,376,0,0
