"YM","N","Freq","rates","masked"
"2010-01",0,502,0,0
"2010-02",0,502,0,0
"2010-03",0,501,0,0
"2010-04",0,496,0,0
"2010-05",0,501,0,0
"2010-06",0,499,0,0
"2010-07",0,498,0,0
"2010-08",0,499,0,0
"2010-09",0,499,0,0
"2010-10",0,499,0,0
"2010-11",0,500,0,0
"2010-12",0,497,0,0
"2011-01",1,495,0.00202020202020202,1
"2011-02",0,496,0,0
"2011-03",0,497,0,0
"2011-04",0,501,0,0
"2011-05",0,501,0,0
"2011-06",0,501,0,0
"2011-07",0,504,0,0
"2011-08",0,506,0,0
"2011-09",0,508,0,0
"2011-10",0,508,0,0
"2011-11",0,509,0,0
"2011-12",0,512,0,0
"2012-01",0,514,0,0
"2012-02",0,517,0,0
"2012-03",0,520,0,0
"2012-04",0,518,0,0
"2012-05",0,518,0,0
"2012-06",0,519,0,0
"2012-07",0,519,0,0
"2012-08",0,521,0,0
"2012-09",0,518,0,0
"2012-10",0,520,0,0
"2012-11",0,521,0,0
"2012-12",0,522,0,0
"2013-01",0,522,0,0
"2013-02",0,521,0,0
"2013-03",0,523,0,0
"2013-04",0,525,0,0
"2013-05",0,525,0,0
"2013-06",1,520,0.00192307692307692,1
"2013-07",0,520,0,0
"2013-08",0,518,0,0
"2013-09",0,520,0,0
"2013-10",0,520,0,0
"2013-11",0,516,0,0
"2013-12",0,515,0,0
"2014-01",0,515,0,0
"2014-02",2,516,0.00387596899224806,1
"2014-03",0,516,0,0
"2014-04",0,518,0,0
"2014-05",0,515,0,0
"2014-06",0,515,0,0
"2014-07",0,515,0,0
"2014-08",0,516,0,0
"2014-09",2,516,0.00387596899224806,1
"2014-10",0,514,0,0
"2014-11",0,514,0,0
"2014-12",0,514,0,0
"2015-01",0,516,0,0
"2015-02",0,516,0,0
"2015-03",0,515,0,0
"2015-04",0,515,0,0
"2015-05",0,517,0,0
"2015-06",0,515,0,0
"2015-07",0,513,0,0
"2015-08",0,513,0,0
"2015-09",0,511,0,0
"2015-10",0,509,0,0
"2015-11",0,508,0,0
"2015-12",0,506,0,0
"2016-01",0,504,0,0
"2016-02",0,502,0,0
"2016-03",0,501,0,0
"2016-04",0,502,0,0
"2016-05",0,499,0,0
"2016-06",0,495,0,0
"2016-07",0,497,0,0
"2016-08",0,498,0,0
"2016-09",0,496,0,0
"2016-10",0,496,0,0
"2016-11",0,495,0,0
"2016-12",0,496,0,0
"2017-01",0,492,0,0
"2017-02",0,492,0,0
"2017-03",0,492,0,0
"2017-04",0,490,0,0
"2017-05",0,489,0,0
"2017-06",0,488,0,0
"2017-07",0,487,0,0
"2017-08",0,484,0,0
"2017-09",2,482,0.004149377593361,1
"2017-10",0,481,0,0
"2017-11",0,477,0,0
"2017-12",0,477,0,0
"2018-01",0,475,0,0
"2018-02",0,474,0,0
"2018-03",0,474,0,0
"2018-04",0,473,0,0
"2018-05",0,472,0,0
"2018-06",0,471,0,0
"2018-07",1,467,0.00214132762312634,1
"2018-08",0,465,0,0
"2018-09",0,464,0,0
"2018-10",0,463,0,0
"2018-11",0,461,0,0
"2018-12",0,459,0,0
"2019-01",0,459,0,0
"2019-02",0,458,0,0
"2019-03",0,457,0,0
"2019-04",0,455,0,0
"2019-05",0,455,0,0
"2019-06",0,454,0,0
"2019-07",0,453,0,0
"2019-08",0,453,0,0
"2019-09",0,453,0,0
"2019-10",0,453,0,0
"2019-11",0,454,0,0
"2019-12",0,454,0,0
"2020-01",0,451,0,0
"2020-02",0,450,0,0
"2020-03",0,451,0,0
"2020-04",0,451,0,0
"2020-05",0,453,0,0
"2020-06",0,449,0,0
"2020-07",0,449,0,0
"2020-08",0,448,0,0
"2020-09",0,446,0,0
"2020-10",0,447,0,0
"2020-11",0,445,0,0
"2020-12",0,444,0,0
