"","YM","N","Freq","rates","masked"
"1","2010-01",54,4478,0.0120589548905761,0
"2","2010-02",36,4478,0.0080393032603841,0
"3","2010-03",9,4461,0.00201748486886348,0
"4","2010-04",9,4412,0.00203989120580236,0
"5","2010-05",27,4449,0.00606877950101146,0
"6","2010-06",27,4423,0.00610445399050418,0
"7","2010-07",18,4402,0.00408905043162199,0
"8","2010-08",27,4411,0.00612106098390388,0
"9","2010-09",9,4411,0.00204035366130129,0
"10","2010-10",0,4407,0,0
"11","2010-11",36,4416,0.00815217391304348,0
"12","2010-12",23,4381,0.00524994293540288,0
"13","2011-01",14,4363,0.00320880128352051,0
"14","2011-02",23,4368,0.00526556776556777,0
"15","2011-03",14,4381,0.00319561743894088,0
"16","2011-04",9,4417,0.00203758206927779,0
"17","2011-05",9,4417,0.00203758206927779,0
"18","2011-06",0,4413,0,0
"19","2011-07",9,4440,0.00202702702702703,0
"20","2011-08",27,4458,0.00605652759084791,0
"21","2011-09",9,4476,0.00201072386058981,0
"22","2011-10",9,4472,0.00201252236135957,0
"23","2011-11",36,4473,0.00804828973843058,0
"24","2011-12",23,4496,0.00511565836298932,0
"25","2012-01",9,4514,0.00199379707576429,0
"26","2012-02",36,4541,0.00792776921382955,0
"27","2012-03",32,4568,0.00700525394045534,0
"28","2012-04",27,4546,0.00593928728552574,0
"29","2012-05",9,4546,0.00197976242850858,0
"30","2012-06",46,4551,0.010107668644254,0
"31","2012-07",45,4551,0.00988793671720501,0
"32","2012-08",0,4569,0,0
"33","2012-09",9,4534,0.00198500220555801,0
"34","2012-10",0,4548,0,0
"35","2012-11",18,4553,0.00395343729409181,0
"36","2012-12",18,4562,0.00394563787812363,0
"37","2013-01",46,4562,0.0100832967996493,0
"38","2013-02",18,4553,0.00395343729409181,0
"39","2013-03",27,4567,0.00591197722793957,0
"40","2013-04",27,4581,0.00589390962671906,0
"41","2013-05",36,4577,0.00786541402665501,0
"42","2013-06",28,4532,0.00617828773168579,0
"43","2013-07",5,4528,0.00110424028268551,0
"44","2013-08",14,4506,0.00310696848646249,0
"45","2013-09",5,4524,0.001105216622458,0
"46","2013-10",14,4520,0.00309734513274336,0
"47","2013-11",45,4488,0.0100267379679144,0
"48","2013-12",9,4470,0.00201342281879195,0
"49","2014-01",18,4466,0.00403045230631438,0
"50","2014-02",36,4475,0.00804469273743017,0
"51","2014-03",36,4471,0.00805188995750391,0
"52","2014-04",0,4489,0,0
"53","2014-05",27,4462,0.00605109816225908,0
"54","2014-06",68,4462,0.0152398027790229,0
"55","2014-07",5,4458,0.00112157918349035,0
"56","2014-08",27,4467,0.00604432505036938,0
"57","2014-09",32,4467,0.00716364450414148,0
"58","2014-10",9,4445,0.00202474690663667,0
"59","2014-11",27,4445,0.00607424071991001,0
"60","2014-12",27,4445,0.00607424071991001,0
"61","2015-01",37,4459,0.00829782462435524,0
"62","2015-02",18,4459,0.00403677954698363,0
"63","2015-03",36,4450,0.00808988764044944,0
"64","2015-04",36,4450,0.00808988764044944,0
"65","2015-05",0,4464,0,0
"66","2015-06",14,4446,0.00314889788573999,0
"67","2015-07",14,4420,0.00316742081447964,0
"68","2015-08",18,4412,0.00407978241160471,0
"69","2015-09",36,4386,0.00820793433652531,0
"70","2015-10",0,4368,0,0
"71","2015-11",27,4359,0.00619408121128699,0
"72","2015-12",9,4341,0.00207325501036628,0
"73","2016-01",19,4323,0.00439509599814943,0
"74","2016-02",23,4301,0.0053475935828877,0
"75","2016-03",18,4292,0.00419384902143523,0
"76","2016-04",9,4297,0.00209448452408657,0
"77","2016-05",9,4270,0.00210772833723653,0
"78","2016-06",9,4234,0.00212564950401512,0
"79","2016-07",9,4248,0.00211864406779661,0
"80","2016-08",9,4249,0.00211814544598729,0
