"YM","N","Freq","rates","masked"
"2010-01",6,502,0.0119521912350598,0
"2010-02",4,502,0.00796812749003984,1
"2010-03",1,501,0.00199600798403194,1
"2010-04",1,496,0.00201612903225806,1
"2010-05",3,501,0.00598802395209581,1
"2010-06",3,499,0.00601202404809619,1
"2010-07",2,498,0.00401606425702811,1
"2010-08",3,499,0.00601202404809619,1
"2010-09",1,499,0.00200400801603206,1
"2010-10",0,499,0,0
"2010-11",4,500,0.008,1
"2010-12",3,497,0.00603621730382294,1
"2011-01",2,495,0.00404040404040404,1
"2011-02",3,496,0.00604838709677419,1
"2011-03",2,497,0.00402414486921529,1
"2011-04",1,501,0.00199600798403194,1
"2011-05",1,501,0.00199600798403194,1
"2011-06",0,501,0,0
"2011-07",1,504,0.00198412698412698,1
"2011-08",3,506,0.00592885375494071,1
"2011-09",1,508,0.00196850393700787,1
"2011-10",1,508,0.00196850393700787,1
"2011-11",4,509,0.00785854616895874,1
"2011-12",3,512,0.005859375,1
"2012-01",1,514,0.00194552529182879,1
"2012-02",4,517,0.00773694390715667,1
"2012-03",4,520,0.00769230769230769,1
"2012-04",3,518,0.00579150579150579,1
"2012-05",1,518,0.00193050193050193,1
"2012-06",6,519,0.0115606936416185,0
"2012-07",5,519,0.00963391136801541,0
"2012-08",0,521,0,0
"2012-09",1,518,0.00193050193050193,1
"2012-10",0,520,0,0
"2012-11",2,521,0.00383877159309021,1
"2012-12",2,522,0.00383141762452107,1
"2013-01",6,522,0.0114942528735632,0
"2013-02",2,521,0.00383877159309021,1
"2013-03",3,523,0.00573613766730402,1
"2013-04",3,525,0.00571428571428571,1
"2013-05",4,525,0.00761904761904762,1
"2013-06",4,520,0.00769230769230769,1
"2013-07",1,520,0.00192307692307692,1
"2013-08",2,518,0.00386100386100386,1
"2013-09",1,520,0.00192307692307692,1
"2013-10",2,520,0.00384615384615385,1
"2013-11",5,516,0.00968992248062015,0
"2013-12",1,515,0.00194174757281553,1
"2014-01",2,515,0.00388349514563107,1
"2014-02",4,516,0.00775193798449612,1
"2014-03",4,516,0.00775193798449612,1
"2014-04",0,518,0,0
"2014-05",3,515,0.0058252427184466,1
"2014-06",8,515,0.0155339805825243,0
"2014-07",1,515,0.00194174757281553,1
"2014-08",3,516,0.00581395348837209,1
"2014-09",4,516,0.00775193798449612,1
"2014-10",1,514,0.00194552529182879,1
"2014-11",3,514,0.00583657587548638,1
"2014-12",3,514,0.00583657587548638,1
"2015-01",5,516,0.00968992248062015,0
"2015-02",2,516,0.00387596899224806,1
"2015-03",4,515,0.00776699029126214,1
"2015-04",4,515,0.00776699029126214,1
"2015-05",0,517,0,0
"2015-06",2,515,0.00388349514563107,1
"2015-07",2,513,0.00389863547758285,1
"2015-08",2,513,0.00389863547758285,1
"2015-09",4,511,0.00782778864970646,1
"2015-10",0,509,0,0
"2015-11",3,508,0.00590551181102362,1
"2015-12",1,506,0.00197628458498024,1
"2016-01",3,504,0.00595238095238095,1
"2016-02",3,502,0.00597609561752988,1
"2016-03",2,501,0.00399201596806387,1
"2016-04",1,502,0.00199203187250996,1
"2016-05",1,499,0.00200400801603206,1
"2016-06",1,495,0.00202020202020202,1
"2016-07",1,497,0.00201207243460765,1
"2016-08",1,498,0.00200803212851406,1
"2016-09",1,496,0.00201612903225806,1
"2016-10",1,496,0.00201612903225806,1
"2016-11",1,495,0.00202020202020202,1
"2016-12",1,496,0.00201612903225806,1
"2017-01",3,492,0.00609756097560976,1
"2017-02",4,492,0.00813008130081301,1
"2017-03",1,492,0.00203252032520325,1
"2017-04",7,490,0.0142857142857143,0
"2017-05",1,489,0.00204498977505112,1
"2017-06",2,488,0.00409836065573771,1
"2017-07",3,487,0.00616016427104723,1
"2017-08",1,484,0.00206611570247934,1
"2017-09",2,482,0.004149377593361,1
"2017-10",3,481,0.00623700623700624,1
"2017-11",1,477,0.00209643605870021,1
"2017-12",5,477,0.010482180293501,0
"2018-01",3,475,0.00631578947368421,1
"2018-02",6,474,0.0126582278481013,0
"2018-03",3,474,0.00632911392405063,1
"2018-04",1,473,0.00211416490486258,1
"2018-05",2,472,0.00423728813559322,1
"2018-06",1,471,0.00212314225053079,1
"2018-07",0,467,0,0
"2018-08",0,465,0,0
"2018-09",1,464,0.0021551724137931,1
"2018-10",0,463,0,0
"2018-11",0,461,0,0
"2018-12",1,459,0.00217864923747277,1
"2019-01",1,459,0.00217864923747277,1
"2019-02",2,458,0.00436681222707424,1
"2019-03",2,457,0.00437636761487965,1
"2019-04",1,455,0.0021978021978022,1
"2019-05",4,455,0.00879120879120879,1
"2019-06",3,454,0.0066079295154185,1
"2019-07",0,453,0,0
"2019-08",1,453,0.0022075055187638,1
"2019-09",1,453,0.0022075055187638,1
"2019-10",2,453,0.00441501103752759,1
"2019-11",2,454,0.00440528634361234,1
"2019-12",2,454,0.00440528634361234,1
"2020-01",0,451,0,0
"2020-02",0,450,0,0
"2020-03",0,451,0,0
"2020-04",0,451,0,0
"2020-05",0,453,0,0
"2020-06",0,449,0,0
"2020-07",0,449,0,0
"2020-08",0,448,0,0
"2020-09",0,446,0,0
"2020-10",0,447,0,0
"2020-11",0,445,0,0
"2020-12",0,444,0,0
