"YM","N","Freq","rates","masked"
"2010-01",6,492,0.0121951219512195,0
"2010-02",4,492,0.00813008130081301,1
"2010-03",1,489,0.00204498977505112,1
"2010-04",1,483,0.0020703933747412,1
"2010-05",3,486,0.00617283950617284,1
"2010-06",3,482,0.00622406639004149,1
"2010-07",2,478,0.00418410041841004,1
"2010-08",3,479,0.00626304801670146,1
"2010-09",1,479,0.00208768267223382,1
"2010-10",0,478,0,0
"2010-11",4,479,0.00835073068893528,1
"2010-12",2,474,0.00421940928270042,1
"2011-01",1,472,0.00211864406779661,1
"2011-02",2,472,0.00423728813559322,1
"2011-03",1,474,0.00210970464135021,1
"2011-04",1,478,0.00209205020920502,1
"2011-05",1,478,0.00209205020920502,1
"2011-06",0,477,0,0
"2011-07",1,480,0.00208333333333333,1
"2011-08",3,482,0.00622406639004149,1
"2011-09",1,484,0.00206611570247934,1
"2011-10",1,483,0.0020703933747412,1
"2011-11",4,482,0.00829875518672199,1
"2011-12",2,484,0.00413223140495868,1
"2012-01",1,486,0.00205761316872428,1
"2012-02",4,489,0.0081799591002045,1
"2012-03",3,492,0.00609756097560976,1
"2012-04",3,489,0.00613496932515337,1
"2012-05",1,489,0.00204498977505112,1
"2012-06",4,489,0.0081799591002045,1
"2012-07",5,489,0.0102249488752556,0
"2012-08",0,491,0,0
"2012-09",1,487,0.00205338809034908,1
"2012-10",0,488,0,0
"2012-11",2,488,0.00409836065573771,1
"2012-12",2,489,0.00408997955010225,1
"2013-01",4,489,0.0081799591002045,1
"2013-02",2,488,0.00409836065573771,1
"2013-03",3,489,0.00613496932515337,1
"2013-04",3,490,0.00612244897959184,1
"2013-05",4,489,0.0081799591002045,1
"2013-06",2,484,0.00413223140495868,1
"2013-07",0,483,0,0
"2013-08",1,480,0.00208333333333333,1
"2013-09",0,482,0,0
"2013-10",1,481,0.00207900207900208,1
"2013-11",5,478,0.0104602510460251,0
"2013-12",1,475,0.00210526315789474,1
"2014-01",2,474,0.00421940928270042,1
"2014-02",4,475,0.00842105263157895,1
"2014-03",4,474,0.00843881856540084,1
"2014-04",0,476,0,0
"2014-05",3,473,0.00634249471458774,1
"2014-06",7,473,0.0147991543340381,0
"2014-07",0,472,0,0
"2014-08",3,473,0.00634249471458774,1
"2014-09",3,473,0.00634249471458774,1
"2014-10",1,470,0.00212765957446809,1
"2014-11",3,470,0.00638297872340425,1
"2014-12",3,470,0.00638297872340425,1
"2015-01",3,471,0.00636942675159236,1
"2015-02",2,471,0.00424628450106157,1
"2015-03",4,470,0.00851063829787234,1
"2015-04",4,470,0.00851063829787234,1
"2015-05",0,471,0,0
"2015-06",1,469,0.00213219616204691,1
"2015-07",1,465,0.0021505376344086,1
"2015-08",2,463,0.00431965442764579,1
"2015-09",4,459,0.00871459694989107,1
"2015-10",0,457,0,0
"2015-11",3,456,0.00657894736842105,1
"2015-12",1,454,0.00220264317180617,1
"2016-01",1,452,0.00221238938053097,1
"2016-02",2,449,0.0044543429844098,1
"2016-03",2,448,0.00446428571428571,1
"2016-04",1,448,0.00223214285714286,1
"2016-05",1,445,0.00224719101123596,1
"2016-06",1,441,0.00226757369614512,1
"2016-07",1,442,0.00226244343891403,1
"2016-08",1,441,0.00226757369614512,1
"2016-09",1,439,0.00227790432801822,1
"2016-10",1,439,0.00227790432801822,1
"2016-11",0,439,0,0
"2016-12",1,440,0.00227272727272727,1
"2017-01",2,436,0.00458715596330275,1
"2017-02",3,436,0.00688073394495413,1
"2017-03",1,436,0.00229357798165138,1
"2017-04",6,434,0.0138248847926267,0
"2017-05",0,432,0,0
"2017-06",2,429,0.00466200466200466,1
"2017-07",2,427,0.00468384074941452,1
"2017-08",1,422,0.0023696682464455,1
"2017-09",2,421,0.00475059382422803,1
"2017-10",2,421,0.00475059382422803,1
"2017-11",1,418,0.00239234449760766,1
"2017-12",4,418,0.00956937799043062,1
"2018-01",3,415,0.0072289156626506,1
"2018-02",5,413,0.0121065375302663,0
"2018-03",2,413,0.00484261501210654,1
"2018-04",0,412,0,0
"2018-05",1,409,0.00244498777506112,1
"2018-06",1,408,0.00245098039215686,1
"2018-07",0,404,0,0
"2018-08",0,402,0,0
"2018-09",1,400,0.0025,1
"2018-10",0,399,0,0
"2018-11",0,396,0,0
"2018-12",0,394,0,0
"2019-01",0,394,0,0
"2019-02",2,393,0.00508905852417303,1
"2019-03",0,392,0,0
"2019-04",1,390,0.00256410256410256,1
"2019-05",4,390,0.0102564102564103,1
"2019-06",0,390,0,0
"2019-07",0,388,0,0
"2019-08",1,387,0.00258397932816537,1
"2019-09",1,386,0.00259067357512953,1
"2019-10",1,386,0.00259067357512953,1
"2019-11",2,385,0.00519480519480519,1
"2019-12",2,385,0.00519480519480519,1
"2020-01",0,382,0,0
"2020-02",0,381,0,0
"2020-03",0,381,0,0
"2020-04",0,381,0,0
"2020-05",0,383,0,0
"2020-06",0,379,0,0
"2020-07",0,379,0,0
"2020-08",0,378,0,0
"2020-09",0,376,0,0
"2020-10",0,377,0,0
"2020-11",0,376,0,0
"2020-12",0,376,0,0
