"YM","N","Freq","rates","masked"
"2010-01",6,502,0.0119521912350598,0
"2010-02",4,502,0.00796812749003984,1
"2010-03",1,501,0.00199600798403194,1
"2010-04",1,496,0.00201612903225806,1
"2010-05",3,501,0.00598802395209581,1
"2010-06",3,499,0.00601202404809619,1
"2010-07",2,498,0.00401606425702811,1
"2010-08",3,499,0.00601202404809619,1
"2010-09",1,499,0.00200400801603206,1
"2010-10",0,499,0,0
"2010-11",4,500,0.008,1
"2010-12",3,497,0.00603621730382294,1
"2011-01",2,495,0.00404040404040404,1
"2011-02",3,496,0.00604838709677419,1
"2011-03",2,497,0.00402414486921529,1
"2011-04",1,501,0.00199600798403194,1
"2011-05",1,501,0.00199600798403194,1
"2011-06",0,501,0,0
"2011-07",1,504,0.00198412698412698,1
"2011-08",3,506,0.00592885375494071,1
"2011-09",1,508,0.00196850393700787,1
"2011-10",1,508,0.00196850393700787,1
"2011-11",4,509,0.00785854616895874,1
"2011-12",3,512,0.005859375,1
"2012-01",1,514,0.00194552529182879,1
"2012-02",4,517,0.00773694390715667,1
"2012-03",4,520,0.00769230769230769,1
"2012-04",3,518,0.00579150579150579,1
"2012-05",1,518,0.00193050193050193,1
"2012-06",6,519,0.0115606936416185,0
"2012-07",5,519,0.00963391136801541,0
"2012-08",0,521,0,0
"2012-09",1,517,0.00193423597678917,1
"2012-10",0,519,0,0
"2012-11",2,520,0.00384615384615385,1
"2012-12",2,521,0.00383877159309021,1
"2013-01",6,521,0.0115163147792706,0
"2013-02",2,520,0.00384615384615385,1
"2013-03",3,522,0.00574712643678161,1
"2013-04",3,524,0.00572519083969466,1
"2013-05",4,524,0.00763358778625954,1
"2013-06",4,519,0.00770712909441233,1
"2013-07",1,519,0.00192678227360308,1
"2013-08",2,517,0.00386847195357834,1
"2013-09",1,519,0.00192678227360308,1
"2013-10",2,519,0.00385356454720617,1
"2013-11",5,515,0.00970873786407767,0
"2013-12",1,513,0.00194931773879142,1
"2014-01",2,513,0.00389863547758285,1
"2014-02",4,514,0.00778210116731518,1
"2014-03",4,514,0.00778210116731518,1
"2014-04",0,516,0,0
"2014-05",3,513,0.00584795321637427,1
"2014-06",8,513,0.0155945419103314,0
"2014-07",1,513,0.00194931773879142,1
"2014-08",3,514,0.00583657587548638,1
"2014-09",4,514,0.00778210116731518,1
"2014-10",1,512,0.001953125,1
"2014-11",3,512,0.005859375,1
"2014-12",3,512,0.005859375,1
"2015-01",5,514,0.00972762645914397,0
"2015-02",2,514,0.00389105058365759,1
"2015-03",4,513,0.00779727095516569,1
"2015-04",4,513,0.00779727095516569,1
"2015-05",0,515,0,0
"2015-06",2,513,0.00389863547758285,1
"2015-07",2,511,0.00391389432485323,1
"2015-08",2,511,0.00391389432485323,1
"2015-09",4,509,0.00785854616895874,1
"2015-10",0,507,0,0
"2015-11",3,506,0.00592885375494071,1
"2015-12",1,504,0.00198412698412698,1
"2016-01",3,502,0.00597609561752988,1
"2016-02",3,500,0.006,1
"2016-03",2,499,0.00400801603206413,1
"2016-04",1,500,0.002,1
"2016-05",1,497,0.00201207243460765,1
"2016-06",1,493,0.00202839756592292,1
"2016-07",1,495,0.00202020202020202,1
"2016-08",1,496,0.00201612903225806,1
"2016-09",1,494,0.00202429149797571,1
"2016-10",1,494,0.00202429149797571,1
"2016-11",1,493,0.00202839756592292,1
"2016-12",1,494,0.00202429149797571,1
"2017-01",3,490,0.00612244897959184,1
"2017-02",4,490,0.00816326530612245,1
"2017-03",1,490,0.00204081632653061,1
"2017-04",7,488,0.014344262295082,0
"2017-05",1,487,0.00205338809034908,1
"2017-06",2,486,0.00411522633744856,1
"2017-07",3,485,0.00618556701030928,1
"2017-08",1,482,0.0020746887966805,1
"2017-09",2,480,0.00416666666666667,1
"2017-10",3,479,0.00626304801670146,1
"2017-11",1,474,0.00210970464135021,1
"2017-12",5,475,0.0105263157894737,0
"2018-01",3,473,0.00634249471458774,1
"2018-02",6,472,0.0127118644067797,0
"2018-03",3,472,0.00635593220338983,1
"2018-04",1,471,0.00212314225053079,1
"2018-05",2,470,0.00425531914893617,1
"2018-06",1,469,0.00213219616204691,1
"2018-07",0,465,0,0
"2018-08",0,463,0,0
"2018-09",1,462,0.00216450216450216,1
"2018-10",0,461,0,0
"2018-11",0,459,0,0
"2018-12",1,457,0.00218818380743982,1
"2019-01",1,457,0.00218818380743982,1
"2019-02",2,456,0.0043859649122807,1
"2019-03",2,455,0.0043956043956044,1
"2019-04",1,453,0.0022075055187638,1
"2019-05",4,453,0.00883002207505519,1
"2019-06",3,452,0.00663716814159292,1
"2019-07",0,451,0,0
"2019-08",1,451,0.00221729490022173,1
"2019-09",1,451,0.00221729490022173,1
"2019-10",2,451,0.00443458980044346,1
"2019-11",2,452,0.00442477876106195,1
"2019-12",2,452,0.00442477876106195,1
"2020-01",0,449,0,0
"2020-02",0,448,0,0
"2020-03",0,449,0,0
"2020-04",0,449,0,0
"2020-05",0,451,0,0
"2020-06",0,447,0,0
"2020-07",0,447,0,0
"2020-08",0,447,0,0
"2020-09",0,445,0,0
"2020-10",0,446,0,0
"2020-11",0,444,0,0
"2020-12",0,443,0,0
