"YM","N","Freq","rates","masked"
"2010-01",6,492,0.0121951219512195,0
"2010-02",4,492,0.00813008130081301,1
"2010-03",1,489,0.00204498977505112,1
"2010-04",1,483,0.0020703933747412,1
"2010-05",3,486,0.00617283950617284,1
"2010-06",3,482,0.00622406639004149,1
"2010-07",2,478,0.00418410041841004,1
"2010-08",3,479,0.00626304801670146,1
"2010-09",1,479,0.00208768267223382,1
"2010-10",0,478,0,0
"2010-11",4,479,0.00835073068893528,1
"2010-12",2,474,0.00421940928270042,1
"2011-01",1,472,0.00211864406779661,1
"2011-02",2,472,0.00423728813559322,1
"2011-03",1,474,0.00210970464135021,1
"2011-04",1,478,0.00209205020920502,1
"2011-05",1,478,0.00209205020920502,1
"2011-06",0,477,0,0
"2011-07",1,480,0.00208333333333333,1
"2011-08",3,482,0.00622406639004149,1
"2011-09",1,484,0.00206611570247934,1
"2011-10",1,483,0.0020703933747412,1
"2011-11",4,482,0.00829875518672199,1
"2011-12",2,484,0.00413223140495868,1
"2012-01",1,486,0.00205761316872428,1
"2012-02",4,489,0.0081799591002045,1
"2012-03",3,492,0.00609756097560976,1
"2012-04",3,489,0.00613496932515337,1
"2012-05",1,489,0.00204498977505112,1
"2012-06",4,489,0.0081799591002045,1
"2012-07",5,489,0.0102249488752556,0
"2012-08",0,491,0,0
"2012-09",1,486,0.00205761316872428,1
"2012-10",0,487,0,0
"2012-11",2,487,0.00410677618069815,1
"2012-12",2,488,0.00409836065573771,1
"2013-01",4,488,0.00819672131147541,1
"2013-02",2,487,0.00410677618069815,1
"2013-03",3,488,0.00614754098360656,1
"2013-04",3,489,0.00613496932515337,1
"2013-05",4,488,0.00819672131147541,1
"2013-06",2,483,0.0041407867494824,1
"2013-07",0,482,0,0
"2013-08",1,479,0.00208768267223382,1
"2013-09",0,481,0,0
"2013-10",1,480,0.00208333333333333,1
"2013-11",5,477,0.010482180293501,0
"2013-12",1,474,0.00210970464135021,1
"2014-01",2,473,0.00422832980972516,1
"2014-02",4,474,0.00843881856540084,1
"2014-03",4,473,0.00845665961945032,1
"2014-04",0,475,0,0
"2014-05",3,472,0.00635593220338983,1
"2014-06",7,472,0.0148305084745763,0
"2014-07",0,471,0,0
"2014-08",3,472,0.00635593220338983,1
"2014-09",3,472,0.00635593220338983,1
"2014-10",1,469,0.00213219616204691,1
"2014-11",3,469,0.00639658848614072,1
"2014-12",3,469,0.00639658848614072,1
"2015-01",3,470,0.00638297872340425,1
"2015-02",2,470,0.00425531914893617,1
"2015-03",4,469,0.00852878464818763,1
"2015-04",4,469,0.00852878464818763,1
"2015-05",0,470,0,0
"2015-06",1,468,0.00213675213675214,1
"2015-07",1,464,0.0021551724137931,1
"2015-08",2,462,0.00432900432900433,1
"2015-09",4,458,0.00873362445414847,1
"2015-10",0,456,0,0
"2015-11",3,455,0.00659340659340659,1
"2015-12",1,453,0.0022075055187638,1
"2016-01",1,451,0.00221729490022173,1
"2016-02",2,448,0.00446428571428571,1
"2016-03",2,447,0.00447427293064877,1
"2016-04",1,447,0.00223713646532438,1
"2016-05",1,444,0.00225225225225225,1
"2016-06",1,440,0.00227272727272727,1
"2016-07",1,441,0.00226757369614512,1
"2016-08",1,440,0.00227272727272727,1
"2016-09",1,438,0.00228310502283105,1
"2016-10",1,438,0.00228310502283105,1
"2016-11",0,438,0,0
"2016-12",1,439,0.00227790432801822,1
"2017-01",2,435,0.00459770114942529,1
"2017-02",3,435,0.00689655172413793,1
"2017-03",1,435,0.00229885057471264,1
"2017-04",6,433,0.0138568129330254,0
"2017-05",0,431,0,0
"2017-06",2,428,0.00467289719626168,1
"2017-07",2,426,0.00469483568075117,1
"2017-08",1,421,0.00237529691211401,1
"2017-09",2,420,0.00476190476190476,1
"2017-10",2,420,0.00476190476190476,1
"2017-11",1,416,0.00240384615384615,1
"2017-12",4,417,0.00959232613908873,1
"2018-01",3,414,0.0072463768115942,1
"2018-02",5,412,0.0121359223300971,0
"2018-03",2,412,0.00485436893203883,1
"2018-04",0,411,0,0
"2018-05",1,408,0.00245098039215686,1
"2018-06",1,407,0.00245700245700246,1
"2018-07",0,403,0,0
"2018-08",0,401,0,0
"2018-09",1,399,0.0025062656641604,1
"2018-10",0,398,0,0
"2018-11",0,395,0,0
"2018-12",0,393,0,0
"2019-01",0,393,0,0
"2019-02",2,392,0.00510204081632653,1
"2019-03",0,391,0,0
"2019-04",1,389,0.0025706940874036,1
"2019-05",4,389,0.0102827763496144,1
"2019-06",0,389,0,0
"2019-07",0,387,0,0
"2019-08",1,386,0.00259067357512953,1
"2019-09",1,385,0.0025974025974026,1
"2019-10",1,385,0.0025974025974026,1
"2019-11",2,384,0.00520833333333333,1
"2019-12",2,384,0.00520833333333333,1
"2020-01",0,381,0,0
"2020-02",0,380,0,0
"2020-03",0,380,0,0
"2020-04",0,380,0,0
"2020-05",0,382,0,0
"2020-06",0,378,0,0
"2020-07",0,378,0,0
"2020-08",0,378,0,0
"2020-09",0,376,0,0
"2020-10",0,377,0,0
"2020-11",0,376,0,0
"2020-12",0,376,0,0
