"","YM","N","Freq","rates","masked"
"1","2010-01",9,4478,0.00200982581509603,0
"2","2010-02",19,4478,0.00424296560964716,0
"3","2010-03",0,4461,0,0
"4","2010-04",0,4412,0,0
"5","2010-05",9,4449,0.00202292650033715,0
"6","2010-06",9,4423,0.00203481799683473,0
"7","2010-07",0,4402,0,0
"8","2010-08",0,4411,0,0
"9","2010-09",5,4411,0.00113352981183405,0
"10","2010-10",0,4407,0,0
"11","2010-11",0,4416,0,0
"12","2010-12",0,4381,0,0
"13","2011-01",0,4363,0,0
"14","2011-02",0,4368,0,0
"15","2011-03",18,4381,0.00410865099292399,0
"16","2011-04",0,4417,0,0
"17","2011-05",9,4417,0.00203758206927779,0
"18","2011-06",5,4413,0.00113301608882846,0
"19","2011-07",18,4440,0.00405405405405405,0
"20","2011-08",9,4458,0.00201884253028264,0
"21","2011-09",45,4476,0.0100536193029491,0
"22","2011-10",0,4472,0,0
"23","2011-11",9,4473,0.00201207243460765,0
"24","2011-12",27,4496,0.00600533807829181,0
"25","2012-01",36,4514,0.00797518830305716,0
"26","2012-02",18,4541,0.00396388460691478,0
"27","2012-03",9,4568,0.00197022767075306,0
"28","2012-04",9,4546,0.00197976242850858,0
"29","2012-05",23,4546,0.00505939287285526,0
"30","2012-06",36,4551,0.00791034937376401,0
"31","2012-07",27,4551,0.00593276203032301,0
"32","2012-08",27,4569,0.00590938936309915,0
"33","2012-09",5,4534,0.00110277900308778,0
"34","2012-10",27,4548,0.00593667546174142,0
"35","2012-11",0,4553,0,0
"36","2012-12",0,4562,0,0
"37","2013-01",0,4562,0,0
"38","2013-02",9,4553,0.0019767186470459,0
"39","2013-03",0,4567,0,0
"40","2013-04",0,4581,0,0
"41","2013-05",0,4577,0,0
"42","2013-06",23,4532,0.00507502206531333,0
"43","2013-07",0,4528,0,0
"44","2013-08",9,4506,0.00199733688415446,0
"45","2013-09",0,4524,0,0
"46","2013-10",0,4520,0,0
"47","2013-11",0,4488,0,0
"48","2013-12",0,4470,0,0
"49","2014-01",36,4466,0.00806090461262875,0
"50","2014-02",9,4475,0.00201117318435754,0
"51","2014-03",9,4471,0.00201297248937598,0
"52","2014-04",9,4489,0.00200490086879038,0
"53","2014-05",14,4462,0.00313760645450471,0
"54","2014-06",0,4462,0,0
"55","2014-07",9,4458,0.00201884253028264,0
"56","2014-08",0,4467,0,0
"57","2014-09",32,4467,0.00716364450414148,0
"58","2014-10",0,4445,0,0
"59","2014-11",5,4445,0.00112485939257593,0
"60","2014-12",9,4445,0.00202474690663667,0
"61","2015-01",9,4459,0.00201838977349181,0
"62","2015-02",9,4459,0.00201838977349181,0
"63","2015-03",9,4450,0.00202247191011236,0
"64","2015-04",0,4450,0,0
"65","2015-05",9,4464,0.00201612903225806,0
"66","2015-06",0,4446,0,0
"67","2015-07",0,4420,0,0
"68","2015-08",0,4412,0,0
"69","2015-09",27,4386,0.00615595075239398,0
"70","2015-10",0,4368,0,0
"71","2015-11",0,4359,0,0
"72","2015-12",0,4341,0,0
"73","2016-01",0,4323,0,0
"74","2016-02",0,4301,0,0
"75","2016-03",0,4292,0,0
"76","2016-04",0,4297,0,0
"77","2016-05",0,4270,0,0
"78","2016-06",5,4234,0.00118091639111951,0
"79","2016-07",0,4248,0,0
"80","2016-08",0,4249,0,0
"81","2016-09",18,4231,0.00425431340108721,0
"82","2016-10",0,4231,0,0
"83","2016-11",0,4226,0,0
"84","2016-12",45,4235,0.0106257378984652,0
"85","2017-01",0,4199,0,0
"86","2017-02",0,4199,0,0
"87","2017-03",27,4199,0.0064301024053346,0
"88","2017-04",27,4181,0.00645778521884717,0
"89","2017-05",18,4168,0.00431861804222649,0
"90","2017-06",0,4151,0,0
"91","2017-07",50,4138,0.0120831319478009,0
"92","2017-08",36,4103,0.008774067755301,0
"93","2017-09",18,4089,0.00440205429200293,0
"94","2017-10",28,4084,0.00685602350636631,0
"95","2017-11",0,4048,0,0
"96","2017-12",54,4052,0.0133267522211254,0
"97","2018-01",27,4030,0.00669975186104218,0
"98","2018-02",0,4017,0,0
"99","2018-03",28,4017,0.00697037590241474,0
"100","2018-04",72,4008,0.0179640718562874,0
"101","2018-05",54,3991,0.0135304434978702,0
"102","2018-06",46,3982,0.0115519839276745,0
"103","2018-07",45,3946,0.0114039533705018,0
"104","2018-08",23,3928,0.00585539714867617,0
"105","2018-09",18,3915,0.00459770114942529,0
"106","2018-10",0,3906,0,0
"107","2018-11",18,3884,0.00463439752832132,0
"108","2018-12",0,3866,0,0
"109","2019-01",0,3866,0,0
"110","2019-02",18,3857,0.00466683951257454,0
"111","2019-03",5,3848,0.0012993762993763,0
"112","2019-04",9,3830,0.00234986945169713,0
"113","2019-05",5,3830,0.00130548302872063,0
"114","2019-06",9,3825,0.00235294117647059,0
"115","2019-07",0,3812,0,0
"116","2019-08",24,3808,0.00630252100840336,0
"117","2019-09",19,3804,0.00499474237644585,0
"118","2019-10",0,3804,0,0
"119","2019-11",27,3805,0.00709592641261498,0
"120","2019-12",14,3805,0.00367936925098555,0
"121","2020-01",18,3778,0.00476442562202223,0
"122","2020-02",0,3769,0,0
"123","2020-03",0,3774,0,0
"124","2020-04",0,3774,0,0
"125","2020-05",0,3792,0,0
"126","2020-06",0,3756,0,0
"127","2020-07",0,3756,0,0
"128","2020-08",0,3751,0,0
"129","2020-09",0,3733,0,0
"130","2020-10",0,3742,0,0
"131","2020-11",0,3728,0,0
"132","2020-12",0,3723,0,0
