"YM","N","Freq","rates","masked"
"2010-01",1,502,0.00199203187250996,1
"2010-02",3,502,0.00597609561752988,1
"2010-03",0,501,0,0
"2010-04",0,496,0,0
"2010-05",1,501,0.00199600798403194,1
"2010-06",1,499,0.00200400801603206,1
"2010-07",0,498,0,0
"2010-08",0,499,0,0
"2010-09",1,499,0.00200400801603206,1
"2010-10",0,499,0,0
"2010-11",0,500,0,0
"2010-12",0,497,0,0
"2011-01",0,495,0,0
"2011-02",0,496,0,0
"2011-03",2,497,0.00402414486921529,1
"2011-04",0,501,0,0
"2011-05",1,501,0.00199600798403194,1
"2011-06",1,501,0.00199600798403194,1
"2011-07",2,504,0.00396825396825397,1
"2011-08",1,506,0.00197628458498024,1
"2011-09",5,508,0.00984251968503937,0
"2011-10",0,508,0,0
"2011-11",1,509,0.00196463654223969,1
"2011-12",3,512,0.005859375,1
"2012-01",4,514,0.00778210116731518,1
"2012-02",2,517,0.00386847195357834,1
"2012-03",1,520,0.00192307692307692,1
"2012-04",1,518,0.00193050193050193,1
"2012-05",3,518,0.00579150579150579,1
"2012-06",4,519,0.00770712909441233,1
"2012-07",3,519,0.00578034682080925,1
"2012-08",3,521,0.00575815738963532,1
"2012-09",1,518,0.00193050193050193,1
"2012-10",3,520,0.00576923076923077,1
"2012-11",0,521,0,0
"2012-12",0,522,0,0
"2013-01",0,522,0,0
"2013-02",1,521,0.00191938579654511,1
"2013-03",0,523,0,0
"2013-04",0,525,0,0
"2013-05",0,525,0,0
"2013-06",3,520,0.00576923076923077,1
"2013-07",0,520,0,0
"2013-08",1,518,0.00193050193050193,1
"2013-09",0,520,0,0
"2013-10",0,520,0,0
"2013-11",0,516,0,0
"2013-12",0,515,0,0
"2014-01",4,515,0.00776699029126214,1
"2014-02",1,516,0.00193798449612403,1
"2014-03",1,516,0.00193798449612403,1
"2014-04",1,518,0.00193050193050193,1
"2014-05",2,515,0.00388349514563107,1
"2014-06",0,515,0,0
"2014-07",1,515,0.00194174757281553,1
"2014-08",0,516,0,0
"2014-09",4,516,0.00775193798449612,1
"2014-10",0,514,0,0
"2014-11",1,514,0.00194552529182879,1
"2014-12",1,514,0.00194552529182879,1
"2015-01",1,516,0.00193798449612403,1
"2015-02",1,516,0.00193798449612403,1
"2015-03",1,515,0.00194174757281553,1
"2015-04",0,515,0,0
"2015-05",1,517,0.00193423597678917,1
"2015-06",0,515,0,0
"2015-07",0,513,0,0
"2015-08",0,513,0,0
"2015-09",3,511,0.00587084148727984,1
"2015-10",0,509,0,0
"2015-11",0,508,0,0
"2015-12",0,506,0,0
"2016-01",0,504,0,0
"2016-02",0,502,0,0
"2016-03",0,501,0,0
"2016-04",0,502,0,0
"2016-05",0,499,0,0
"2016-06",1,495,0.00202020202020202,1
"2016-07",0,497,0,0
"2016-08",0,498,0,0
"2016-09",2,496,0.00403225806451613,1
"2016-10",0,496,0,0
"2016-11",0,495,0,0
"2016-12",5,496,0.0100806451612903,0
"2017-01",0,492,0,0
"2017-02",0,492,0,0
"2017-03",3,492,0.00609756097560976,1
"2017-04",3,490,0.00612244897959184,1
"2017-05",2,489,0.00408997955010225,1
"2017-06",0,488,0,0
"2017-07",6,487,0.0123203285420945,0
"2017-08",4,484,0.00826446280991736,1
"2017-09",2,482,0.004149377593361,1
"2017-10",4,481,0.00831600831600832,1
"2017-11",0,477,0,0
"2017-12",6,477,0.0125786163522013,0
"2018-01",3,475,0.00631578947368421,1
"2018-02",0,474,0,0
"2018-03",4,474,0.00843881856540084,1
"2018-04",8,473,0.0169133192389006,0
"2018-05",6,472,0.0127118644067797,0
"2018-06",6,471,0.0127388535031847,0
"2018-07",5,467,0.0107066381156317,0
"2018-08",3,465,0.00645161290322581,1
"2018-09",2,464,0.00431034482758621,1
"2018-10",0,463,0,0
"2018-11",2,461,0.00433839479392625,1
"2018-12",0,459,0,0
"2019-01",0,459,0,0
"2019-02",2,458,0.00436681222707424,1
"2019-03",1,457,0.00218818380743982,1
"2019-04",1,455,0.0021978021978022,1
"2019-05",1,455,0.0021978021978022,1
"2019-06",1,454,0.00220264317180617,1
"2019-07",0,453,0,0
"2019-08",4,453,0.00883002207505519,1
"2019-09",3,453,0.00662251655629139,1
"2019-10",0,453,0,0
"2019-11",3,454,0.0066079295154185,1
"2019-12",2,454,0.00440528634361234,1
"2020-01",2,451,0.00443458980044346,1
"2020-02",0,450,0,0
"2020-03",0,451,0,0
"2020-04",0,451,0,0
"2020-05",0,453,0,0
"2020-06",0,449,0,0
"2020-07",0,449,0,0
"2020-08",0,448,0,0
"2020-09",0,446,0,0
"2020-10",0,447,0,0
"2020-11",0,445,0,0
"2020-12",0,444,0,0
