"YM","N","Freq","rates","masked"
"2010-01",1,492,0.00203252032520325,1
"2010-02",1,492,0.00203252032520325,1
"2010-03",0,489,0,0
"2010-04",0,483,0,0
"2010-05",1,486,0.00205761316872428,1
"2010-06",1,482,0.0020746887966805,1
"2010-07",0,478,0,0
"2010-08",0,479,0,0
"2010-09",0,479,0,0
"2010-10",0,478,0,0
"2010-11",0,479,0,0
"2010-12",0,474,0,0
"2011-01",0,472,0,0
"2011-02",0,472,0,0
"2011-03",2,474,0.00421940928270042,1
"2011-04",0,478,0,0
"2011-05",1,478,0.00209205020920502,1
"2011-06",0,477,0,0
"2011-07",2,480,0.00416666666666667,1
"2011-08",1,482,0.0020746887966805,1
"2011-09",5,484,0.0103305785123967,0
"2011-10",0,483,0,0
"2011-11",1,482,0.0020746887966805,1
"2011-12",3,484,0.00619834710743802,1
"2012-01",4,486,0.00823045267489712,1
"2012-02",2,489,0.00408997955010225,1
"2012-03",1,492,0.00203252032520325,1
"2012-04",1,489,0.00204498977505112,1
"2012-05",2,489,0.00408997955010225,1
"2012-06",4,489,0.0081799591002045,1
"2012-07",3,489,0.00613496932515337,1
"2012-08",3,491,0.00610997963340122,1
"2012-09",0,487,0,0
"2012-10",3,488,0.00614754098360656,1
"2012-11",0,488,0,0
"2012-12",0,489,0,0
"2013-01",0,489,0,0
"2013-02",1,488,0.00204918032786885,1
"2013-03",0,489,0,0
"2013-04",0,490,0,0
"2013-05",0,489,0,0
"2013-06",2,484,0.00413223140495868,1
"2013-07",0,483,0,0
"2013-08",1,480,0.00208333333333333,1
"2013-09",0,482,0,0
"2013-10",0,481,0,0
"2013-11",0,478,0,0
"2013-12",0,475,0,0
"2014-01",4,474,0.00843881856540084,1
"2014-02",1,475,0.00210526315789474,1
"2014-03",1,474,0.00210970464135021,1
"2014-04",1,476,0.00210084033613445,1
"2014-05",1,473,0.00211416490486258,1
"2014-06",0,473,0,0
"2014-07",1,472,0.00211864406779661,1
"2014-08",0,473,0,0
"2014-09",3,473,0.00634249471458774,1
"2014-10",0,470,0,0
"2014-11",0,470,0,0
"2014-12",1,470,0.00212765957446809,1
"2015-01",1,471,0.00212314225053079,1
"2015-02",1,471,0.00212314225053079,1
"2015-03",1,470,0.00212765957446809,1
"2015-04",0,470,0,0
"2015-05",1,471,0.00212314225053079,1
"2015-06",0,469,0,0
"2015-07",0,465,0,0
"2015-08",0,463,0,0
"2015-09",3,459,0.0065359477124183,1
"2015-10",0,457,0,0
"2015-11",0,456,0,0
"2015-12",0,454,0,0
"2016-01",0,452,0,0
"2016-02",0,449,0,0
"2016-03",0,448,0,0
"2016-04",0,448,0,0
"2016-05",0,445,0,0
"2016-06",0,441,0,0
"2016-07",0,442,0,0
"2016-08",0,441,0,0
"2016-09",2,439,0.00455580865603645,1
"2016-10",0,439,0,0
"2016-11",0,439,0,0
"2016-12",5,440,0.0113636363636364,0
"2017-01",0,436,0,0
"2017-02",0,436,0,0
"2017-03",3,436,0.00688073394495413,1
"2017-04",3,434,0.00691244239631336,1
"2017-05",2,432,0.00462962962962963,1
"2017-06",0,429,0,0
"2017-07",5,427,0.0117096018735363,0
"2017-08",4,422,0.00947867298578199,1
"2017-09",2,421,0.00475059382422803,1
"2017-10",2,421,0.00475059382422803,1
"2017-11",0,418,0,0
"2017-12",6,418,0.0143540669856459,0
"2018-01",3,415,0.0072289156626506,1
"2018-02",0,413,0,0
"2018-03",2,413,0.00484261501210654,1
"2018-04",8,412,0.0194174757281553,0
"2018-05",6,409,0.0146699266503667,0
"2018-06",4,408,0.00980392156862745,1
"2018-07",5,404,0.0123762376237624,0
"2018-08",2,402,0.00497512437810945,1
"2018-09",2,400,0.005,1
"2018-10",0,399,0,0
"2018-11",2,396,0.00505050505050505,1
"2018-12",0,394,0,0
"2019-01",0,394,0,0
"2019-02",2,393,0.00508905852417303,1
"2019-03",0,392,0,0
"2019-04",1,390,0.00256410256410256,1
"2019-05",0,390,0,0
"2019-06",1,390,0.00256410256410256,1
"2019-07",0,388,0,0
"2019-08",1,387,0.00258397932816537,1
"2019-09",1,386,0.00259067357512953,1
"2019-10",0,386,0,0
"2019-11",3,385,0.00779220779220779,1
"2019-12",1,385,0.0025974025974026,1
"2020-01",2,382,0.00523560209424084,1
"2020-02",0,381,0,0
"2020-03",0,381,0,0
"2020-04",0,381,0,0
"2020-05",0,383,0,0
"2020-06",0,379,0,0
"2020-07",0,379,0,0
"2020-08",0,378,0,0
"2020-09",0,376,0,0
"2020-10",0,377,0,0
"2020-11",0,376,0,0
"2020-12",0,376,0,0
