"YM","N","Freq","rates","masked"
"2010-01",1,492,0.00203252032520325,1
"2010-02",1,492,0.00203252032520325,1
"2010-03",0,489,0,0
"2010-04",0,483,0,0
"2010-05",1,486,0.00205761316872428,1
"2010-06",1,482,0.0020746887966805,1
"2010-07",0,478,0,0
"2010-08",0,479,0,0
"2010-09",0,479,0,0
"2010-10",0,478,0,0
"2010-11",0,479,0,0
"2010-12",0,474,0,0
"2011-01",0,472,0,0
"2011-02",0,472,0,0
"2011-03",2,474,0.00421940928270042,1
"2011-04",0,478,0,0
"2011-05",1,478,0.00209205020920502,1
"2011-06",0,477,0,0
"2011-07",2,480,0.00416666666666667,1
"2011-08",1,482,0.0020746887966805,1
"2011-09",5,484,0.0103305785123967,0
"2011-10",0,483,0,0
"2011-11",1,482,0.0020746887966805,1
"2011-12",3,484,0.00619834710743802,1
"2012-01",4,486,0.00823045267489712,1
"2012-02",2,489,0.00408997955010225,1
"2012-03",1,492,0.00203252032520325,1
"2012-04",1,489,0.00204498977505112,1
"2012-05",2,489,0.00408997955010225,1
"2012-06",4,489,0.0081799591002045,1
"2012-07",3,489,0.00613496932515337,1
"2012-08",3,491,0.00610997963340122,1
"2012-09",0,486,0,0
"2012-10",3,487,0.00616016427104723,1
"2012-11",0,487,0,0
"2012-12",0,488,0,0
"2013-01",0,488,0,0
"2013-02",1,487,0.00205338809034908,1
"2013-03",0,488,0,0
"2013-04",0,489,0,0
"2013-05",0,488,0,0
"2013-06",2,483,0.0041407867494824,1
"2013-07",0,482,0,0
"2013-08",1,479,0.00208768267223382,1
"2013-09",0,481,0,0
"2013-10",0,480,0,0
"2013-11",0,477,0,0
"2013-12",0,474,0,0
"2014-01",4,473,0.00845665961945032,1
"2014-02",1,474,0.00210970464135021,1
"2014-03",1,473,0.00211416490486258,1
"2014-04",1,475,0.00210526315789474,1
"2014-05",1,472,0.00211864406779661,1
"2014-06",0,472,0,0
"2014-07",1,471,0.00212314225053079,1
"2014-08",0,472,0,0
"2014-09",3,472,0.00635593220338983,1
"2014-10",0,469,0,0
"2014-11",0,469,0,0
"2014-12",1,469,0.00213219616204691,1
"2015-01",1,470,0.00212765957446809,1
"2015-02",1,470,0.00212765957446809,1
"2015-03",1,469,0.00213219616204691,1
"2015-04",0,469,0,0
"2015-05",1,470,0.00212765957446809,1
"2015-06",0,468,0,0
"2015-07",0,464,0,0
"2015-08",0,462,0,0
"2015-09",3,458,0.00655021834061135,1
"2015-10",0,456,0,0
"2015-11",0,455,0,0
"2015-12",0,453,0,0
"2016-01",0,451,0,0
"2016-02",0,448,0,0
"2016-03",0,447,0,0
"2016-04",0,447,0,0
"2016-05",0,444,0,0
"2016-06",0,440,0,0
"2016-07",0,441,0,0
"2016-08",0,440,0,0
"2016-09",2,438,0.0045662100456621,1
"2016-10",0,438,0,0
"2016-11",0,438,0,0
"2016-12",5,439,0.0113895216400911,0
"2017-01",0,435,0,0
"2017-02",0,435,0,0
"2017-03",3,435,0.00689655172413793,1
"2017-04",3,433,0.0069284064665127,1
"2017-05",2,431,0.00464037122969838,1
"2017-06",0,428,0,0
"2017-07",5,426,0.0117370892018779,0
"2017-08",4,421,0.00950118764845606,1
"2017-09",2,420,0.00476190476190476,1
"2017-10",2,420,0.00476190476190476,1
"2017-11",0,416,0,0
"2017-12",6,417,0.0143884892086331,0
"2018-01",3,414,0.0072463768115942,1
"2018-02",0,412,0,0
"2018-03",2,412,0.00485436893203883,1
"2018-04",8,411,0.0194647201946472,0
"2018-05",6,408,0.0147058823529412,0
"2018-06",4,407,0.00982800982800983,1
"2018-07",5,403,0.0124069478908189,0
"2018-08",2,401,0.00498753117206983,1
"2018-09",2,399,0.0050125313283208,1
"2018-10",0,398,0,0
"2018-11",2,395,0.00506329113924051,1
"2018-12",0,393,0,0
"2019-01",0,393,0,0
"2019-02",2,392,0.00510204081632653,1
"2019-03",0,391,0,0
"2019-04",1,389,0.0025706940874036,1
"2019-05",0,389,0,0
"2019-06",1,389,0.0025706940874036,1
"2019-07",0,387,0,0
"2019-08",1,386,0.00259067357512953,1
"2019-09",1,385,0.0025974025974026,1
"2019-10",0,385,0,0
"2019-11",3,384,0.0078125,1
"2019-12",1,384,0.00260416666666667,1
"2020-01",2,381,0.005249343832021,1
"2020-02",0,380,0,0
"2020-03",0,380,0,0
"2020-04",0,380,0,0
"2020-05",0,382,0,0
"2020-06",0,378,0,0
"2020-07",0,378,0,0
"2020-08",0,378,0,0
"2020-09",0,376,0,0
"2020-10",0,377,0,0
"2020-11",0,376,0,0
"2020-12",0,376,0,0
