"","YM","N","Freq","rates","masked"
"1","2010-01",0,4478,0,0
"2","2010-02",0,4478,0,0
"3","2010-03",0,4461,0,0
"4","2010-04",0,4412,0,0
"5","2010-05",0,4449,0,0
"6","2010-06",0,4423,0,0
"7","2010-07",0,4402,0,0
"8","2010-08",0,4411,0,0
"9","2010-09",0,4411,0,0
"10","2010-10",0,4407,0,0
"11","2010-11",0,4416,0,0
"12","2010-12",0,4381,0,0
"13","2011-01",0,4363,0,0
"14","2011-02",0,4368,0,0
"15","2011-03",0,4381,0,0
"16","2011-04",0,4417,0,0
"17","2011-05",0,4417,0,0
"18","2011-06",0,4413,0,0
"19","2011-07",0,4440,0,0
"20","2011-08",0,4458,0,0
"21","2011-09",0,4476,0,0
"22","2011-10",0,4472,0,0
"23","2011-11",0,4473,0,0
"24","2011-12",0,4496,0,0
"25","2012-01",0,4514,0,0
"26","2012-02",0,4541,0,0
"27","2012-03",0,4568,0,0
"28","2012-04",0,4546,0,0
"29","2012-05",0,4546,0,0
"30","2012-06",0,4551,0,0
"31","2012-07",0,4551,0,0
"32","2012-08",0,4569,0,0
"33","2012-09",0,4534,0,0
"34","2012-10",0,4548,0,0
"35","2012-11",0,4553,0,0
"36","2012-12",0,4562,0,0
"37","2013-01",0,4562,0,0
"38","2013-02",0,4553,0,0
"39","2013-03",0,4567,0,0
"40","2013-04",0,4581,0,0
"41","2013-05",0,4577,0,0
"42","2013-06",0,4532,0,0
"43","2013-07",0,4528,0,0
"44","2013-08",0,4506,0,0
"45","2013-09",0,4524,0,0
"46","2013-10",0,4520,0,0
"47","2013-11",0,4488,0,0
"48","2013-12",0,4470,0,0
"49","2014-01",0,4466,0,0
"50","2014-02",0,4475,0,0
"51","2014-03",0,4471,0,0
"52","2014-04",0,4489,0,0
"53","2014-05",0,4462,0,0
"54","2014-06",0,4462,0,0
"55","2014-07",0,4458,0,0
"56","2014-08",0,4467,0,0
"57","2014-09",18,4467,0.00402955003357958,0
"58","2014-10",0,4445,0,0
"59","2014-11",0,4445,0,0
"60","2014-12",0,4445,0,0
"61","2015-01",0,4459,0,0
"62","2015-02",0,4459,0,0
"63","2015-03",0,4450,0,0
"64","2015-04",0,4450,0,0
"65","2015-05",0,4464,0,0
"66","2015-06",0,4446,0,0
"67","2015-07",0,4420,0,0
"68","2015-08",0,4412,0,0
"69","2015-09",0,4386,0,0
"70","2015-10",0,4368,0,0
"71","2015-11",0,4359,0,0
"72","2015-12",0,4341,0,0
"73","2016-01",0,4323,0,0
"74","2016-02",0,4301,0,0
"75","2016-03",0,4292,0,0
"76","2016-04",0,4297,0,0
"77","2016-05",0,4270,0,0
"78","2016-06",0,4234,0,0
"79","2016-07",0,4248,0,0
"80","2016-08",0,4249,0,0
"81","2016-09",0,4231,0,0
"82","2016-10",0,4231,0,0
"83","2016-11",0,4226,0,0
"84","2016-12",0,4235,0,0
"85","2017-01",0,4199,0,0
"86","2017-02",0,4199,0,0
"87","2017-03",0,4199,0,0
"88","2017-04",0,4181,0,0
"89","2017-05",0,4168,0,0
"90","2017-06",36,4151,0.00867260900987714,0
"91","2017-07",18,4138,0.00434992750120831,0
"92","2017-08",0,4103,0,0
"93","2017-09",36,4089,0.00880410858400587,0
"94","2017-10",0,4084,0,0
"95","2017-11",18,4048,0.00444664031620553,0
"96","2017-12",18,4052,0.00444225074037512,0
"97","2018-01",18,4030,0.00446650124069479,0
"98","2018-02",36,4017,0.00896191187453323,0
"99","2018-03",0,4017,0,0
"100","2018-04",36,4008,0.00898203592814371,0
"101","2018-05",54,3991,0.0135304434978702,0
"102","2018-06",36,3982,0.00904068307383224,0
"103","2018-07",36,3946,0.00912316269640142,0
"104","2018-08",36,3928,0.00916496945010183,0
"105","2018-09",0,3915,0,0
"106","2018-10",0,3906,0,0
"107","2018-11",0,3884,0,0
"108","2018-12",18,3866,0.00465597516813244,0
"109","2019-01",54,3866,0.0139679255043973,0
"110","2019-02",72,3857,0.0186673580502982,0
"111","2019-03",54,3848,0.014033264033264,0
"112","2019-04",0,3830,0,0
"113","2019-05",0,3830,0,0
"114","2019-06",46,3825,0.0120261437908497,0
"115","2019-07",18,3812,0.00472193074501574,0
"116","2019-08",36,3808,0.00945378151260504,0
"117","2019-09",0,3804,0,0
"118","2019-10",18,3804,0.00473186119873817,0
"119","2019-11",0,3805,0,0
"120","2019-12",18,3805,0.00473061760840999,0
"121","2020-01",36,3778,0.00952885124404447,0
"122","2020-02",18,3769,0.00477580260015919,0
"123","2020-03",0,3774,0,0
"124","2020-04",0,3774,0,0
"125","2020-05",0,3792,0,0
"126","2020-06",0,3756,0,0
"127","2020-07",0,3756,0,0
"128","2020-08",0,3751,0,0
"129","2020-09",0,3733,0,0
"130","2020-10",0,3742,0,0
"131","2020-11",0,3728,0,0
"132","2020-12",0,3723,0,0
