"YM","N","Freq","rates","masked"
"2010-01",0,492,0,0
"2010-02",0,492,0,0
"2010-03",0,489,0,0
"2010-04",0,483,0,0
"2010-05",0,486,0,0
"2010-06",0,482,0,0
"2010-07",0,478,0,0
"2010-08",0,479,0,0
"2010-09",0,479,0,0
"2010-10",0,478,0,0
"2010-11",0,479,0,0
"2010-12",0,474,0,0
"2011-01",0,472,0,0
"2011-02",0,472,0,0
"2011-03",0,474,0,0
"2011-04",0,478,0,0
"2011-05",0,478,0,0
"2011-06",0,477,0,0
"2011-07",0,480,0,0
"2011-08",0,482,0,0
"2011-09",0,484,0,0
"2011-10",0,483,0,0
"2011-11",0,482,0,0
"2011-12",0,484,0,0
"2012-01",0,486,0,0
"2012-02",0,489,0,0
"2012-03",0,492,0,0
"2012-04",0,489,0,0
"2012-05",0,489,0,0
"2012-06",0,489,0,0
"2012-07",0,489,0,0
"2012-08",0,491,0,0
"2012-09",0,487,0,0
"2012-10",0,488,0,0
"2012-11",0,488,0,0
"2012-12",0,489,0,0
"2013-01",0,489,0,0
"2013-02",0,488,0,0
"2013-03",0,489,0,0
"2013-04",0,490,0,0
"2013-05",0,489,0,0
"2013-06",0,484,0,0
"2013-07",0,483,0,0
"2013-08",0,480,0,0
"2013-09",0,482,0,0
"2013-10",0,481,0,0
"2013-11",0,478,0,0
"2013-12",0,475,0,0
"2014-01",0,474,0,0
"2014-02",0,475,0,0
"2014-03",0,474,0,0
"2014-04",0,476,0,0
"2014-05",0,473,0,0
"2014-06",0,473,0,0
"2014-07",0,472,0,0
"2014-08",0,473,0,0
"2014-09",2,473,0.00422832980972516,1
"2014-10",0,470,0,0
"2014-11",0,470,0,0
"2014-12",0,470,0,0
"2015-01",0,471,0,0
"2015-02",0,471,0,0
"2015-03",0,470,0,0
"2015-04",0,470,0,0
"2015-05",0,471,0,0
"2015-06",0,469,0,0
"2015-07",0,465,0,0
"2015-08",0,463,0,0
"2015-09",0,459,0,0
"2015-10",0,457,0,0
"2015-11",0,456,0,0
"2015-12",0,454,0,0
"2016-01",0,452,0,0
"2016-02",0,449,0,0
"2016-03",0,448,0,0
"2016-04",0,448,0,0
"2016-05",0,445,0,0
"2016-06",0,441,0,0
"2016-07",0,442,0,0
"2016-08",0,441,0,0
"2016-09",0,439,0,0
"2016-10",0,439,0,0
"2016-11",0,439,0,0
"2016-12",0,440,0,0
"2017-01",0,436,0,0
"2017-02",0,436,0,0
"2017-03",0,436,0,0
"2017-04",0,434,0,0
"2017-05",0,432,0,0
"2017-06",4,429,0.00932400932400932,1
"2017-07",2,427,0.00468384074941452,1
"2017-08",0,422,0,0
"2017-09",4,421,0.00950118764845606,1
"2017-10",0,421,0,0
"2017-11",2,418,0.00478468899521531,1
"2017-12",2,418,0.00478468899521531,1
"2018-01",2,415,0.00481927710843374,1
"2018-02",4,413,0.00968523002421308,1
"2018-03",0,413,0,0
"2018-04",4,412,0.00970873786407767,1
"2018-05",6,409,0.0146699266503667,0
"2018-06",4,408,0.00980392156862745,1
"2018-07",4,404,0.0099009900990099,1
"2018-08",4,402,0.00995024875621891,1
"2018-09",0,400,0,0
"2018-10",0,399,0,0
"2018-11",0,396,0,0
"2018-12",2,394,0.0050761421319797,1
"2019-01",6,394,0.0152284263959391,0
"2019-02",8,393,0.0203562340966921,0
"2019-03",6,392,0.0153061224489796,0
"2019-04",0,390,0,0
"2019-05",0,390,0,0
"2019-06",4,390,0.0102564102564103,1
"2019-07",2,388,0.00515463917525773,1
"2019-08",4,387,0.0103359173126615,1
"2019-09",0,386,0,0
"2019-10",2,386,0.00518134715025907,1
"2019-11",0,385,0,0
"2019-12",2,385,0.00519480519480519,1
"2020-01",4,382,0.0104712041884817,1
"2020-02",2,381,0.005249343832021,1
"2020-03",0,381,0,0
"2020-04",0,381,0,0
"2020-05",0,383,0,0
"2020-06",0,379,0,0
"2020-07",0,379,0,0
"2020-08",0,378,0,0
"2020-09",0,376,0,0
"2020-10",0,377,0,0
"2020-11",0,376,0,0
"2020-12",0,376,0,0
