"YM","N","Freq","rates","masked"
"2010-01",0,502,0,0
"2010-02",0,502,0,0
"2010-03",0,501,0,0
"2010-04",0,496,0,0
"2010-05",0,501,0,0
"2010-06",0,499,0,0
"2010-07",0,498,0,0
"2010-08",0,499,0,0
"2010-09",0,499,0,0
"2010-10",0,499,0,0
"2010-11",0,500,0,0
"2010-12",0,497,0,0
"2011-01",0,495,0,0
"2011-02",0,496,0,0
"2011-03",0,497,0,0
"2011-04",0,501,0,0
"2011-05",0,501,0,0
"2011-06",0,501,0,0
"2011-07",0,504,0,0
"2011-08",0,506,0,0
"2011-09",0,508,0,0
"2011-10",0,508,0,0
"2011-11",0,509,0,0
"2011-12",0,512,0,0
"2012-01",0,514,0,0
"2012-02",0,517,0,0
"2012-03",0,520,0,0
"2012-04",0,518,0,0
"2012-05",0,518,0,0
"2012-06",0,519,0,0
"2012-07",0,519,0,0
"2012-08",0,521,0,0
"2012-09",0,517,0,0
"2012-10",0,519,0,0
"2012-11",0,520,0,0
"2012-12",0,521,0,0
"2013-01",0,521,0,0
"2013-02",0,520,0,0
"2013-03",0,522,0,0
"2013-04",0,524,0,0
"2013-05",0,524,0,0
"2013-06",0,519,0,0
"2013-07",0,519,0,0
"2013-08",0,517,0,0
"2013-09",0,519,0,0
"2013-10",0,519,0,0
"2013-11",0,515,0,0
"2013-12",0,513,0,0
"2014-01",0,513,0,0
"2014-02",0,514,0,0
"2014-03",0,514,0,0
"2014-04",0,516,0,0
"2014-05",0,513,0,0
"2014-06",0,513,0,0
"2014-07",0,513,0,0
"2014-08",0,514,0,0
"2014-09",2,514,0.00389105058365759,1
"2014-10",0,512,0,0
"2014-11",0,512,0,0
"2014-12",0,512,0,0
"2015-01",0,514,0,0
"2015-02",0,514,0,0
"2015-03",0,513,0,0
"2015-04",0,513,0,0
"2015-05",0,515,0,0
"2015-06",0,513,0,0
"2015-07",0,511,0,0
"2015-08",0,511,0,0
"2015-09",0,509,0,0
"2015-10",0,507,0,0
"2015-11",0,506,0,0
"2015-12",0,504,0,0
"2016-01",0,502,0,0
"2016-02",0,500,0,0
"2016-03",0,499,0,0
"2016-04",0,500,0,0
"2016-05",0,497,0,0
"2016-06",0,493,0,0
"2016-07",0,495,0,0
"2016-08",0,496,0,0
"2016-09",0,494,0,0
"2016-10",0,494,0,0
"2016-11",0,493,0,0
"2016-12",0,494,0,0
"2017-01",0,490,0,0
"2017-02",0,490,0,0
"2017-03",0,490,0,0
"2017-04",0,488,0,0
"2017-05",0,487,0,0
"2017-06",4,486,0.00823045267489712,1
"2017-07",2,485,0.00412371134020619,1
"2017-08",0,482,0,0
"2017-09",4,480,0.00833333333333333,1
"2017-10",0,479,0,0
"2017-11",2,474,0.00421940928270042,1
"2017-12",2,475,0.00421052631578947,1
"2018-01",2,473,0.00422832980972516,1
"2018-02",4,472,0.00847457627118644,1
"2018-03",0,472,0,0
"2018-04",4,471,0.00849256900212314,1
"2018-05",6,470,0.0127659574468085,0
"2018-06",4,469,0.00852878464818763,1
"2018-07",4,465,0.00860215053763441,1
"2018-08",4,463,0.00863930885529158,1
"2018-09",0,462,0,0
"2018-10",0,461,0,0
"2018-11",0,459,0,0
"2018-12",2,457,0.00437636761487965,1
"2019-01",6,457,0.0131291028446389,0
"2019-02",8,456,0.0175438596491228,0
"2019-03",6,455,0.0131868131868132,0
"2019-04",0,453,0,0
"2019-05",0,453,0,0
"2019-06",6,452,0.0132743362831858,0
"2019-07",2,451,0.00443458980044346,1
"2019-08",4,451,0.00886917960088692,1
"2019-09",0,451,0,0
"2019-10",2,451,0.00443458980044346,1
"2019-11",0,452,0,0
"2019-12",2,452,0.00442477876106195,1
"2020-01",4,449,0.0089086859688196,1
"2020-02",2,448,0.00446428571428571,1
"2020-03",0,449,0,0
"2020-04",0,449,0,0
"2020-05",0,451,0,0
"2020-06",0,447,0,0
"2020-07",0,447,0,0
"2020-08",0,447,0,0
"2020-09",0,445,0,0
"2020-10",0,446,0,0
"2020-11",0,444,0,0
"2020-12",0,443,0,0
