"YM","N","Freq","rates","masked"
"2010-01",0,492,0,0
"2010-02",0,492,0,0
"2010-03",0,489,0,0
"2010-04",0,483,0,0
"2010-05",0,486,0,0
"2010-06",0,482,0,0
"2010-07",0,478,0,0
"2010-08",0,479,0,0
"2010-09",0,479,0,0
"2010-10",0,478,0,0
"2010-11",0,479,0,0
"2010-12",0,474,0,0
"2011-01",0,472,0,0
"2011-02",0,472,0,0
"2011-03",0,474,0,0
"2011-04",0,478,0,0
"2011-05",0,478,0,0
"2011-06",0,477,0,0
"2011-07",0,480,0,0
"2011-08",0,482,0,0
"2011-09",0,484,0,0
"2011-10",0,483,0,0
"2011-11",0,482,0,0
"2011-12",0,484,0,0
"2012-01",0,486,0,0
"2012-02",0,489,0,0
"2012-03",0,492,0,0
"2012-04",0,489,0,0
"2012-05",0,489,0,0
"2012-06",0,489,0,0
"2012-07",0,489,0,0
"2012-08",0,491,0,0
"2012-09",0,486,0,0
"2012-10",0,487,0,0
"2012-11",0,487,0,0
"2012-12",0,488,0,0
"2013-01",0,488,0,0
"2013-02",0,487,0,0
"2013-03",0,488,0,0
"2013-04",0,489,0,0
"2013-05",0,488,0,0
"2013-06",0,483,0,0
"2013-07",0,482,0,0
"2013-08",0,479,0,0
"2013-09",0,481,0,0
"2013-10",0,480,0,0
"2013-11",0,477,0,0
"2013-12",0,474,0,0
"2014-01",0,473,0,0
"2014-02",0,474,0,0
"2014-03",0,473,0,0
"2014-04",0,475,0,0
"2014-05",0,472,0,0
"2014-06",0,472,0,0
"2014-07",0,471,0,0
"2014-08",0,472,0,0
"2014-09",2,472,0.00423728813559322,1
"2014-10",0,469,0,0
"2014-11",0,469,0,0
"2014-12",0,469,0,0
"2015-01",0,470,0,0
"2015-02",0,470,0,0
"2015-03",0,469,0,0
"2015-04",0,469,0,0
"2015-05",0,470,0,0
"2015-06",0,468,0,0
"2015-07",0,464,0,0
"2015-08",0,462,0,0
"2015-09",0,458,0,0
"2015-10",0,456,0,0
"2015-11",0,455,0,0
"2015-12",0,453,0,0
"2016-01",0,451,0,0
"2016-02",0,448,0,0
"2016-03",0,447,0,0
"2016-04",0,447,0,0
"2016-05",0,444,0,0
"2016-06",0,440,0,0
"2016-07",0,441,0,0
"2016-08",0,440,0,0
"2016-09",0,438,0,0
"2016-10",0,438,0,0
"2016-11",0,438,0,0
"2016-12",0,439,0,0
"2017-01",0,435,0,0
"2017-02",0,435,0,0
"2017-03",0,435,0,0
"2017-04",0,433,0,0
"2017-05",0,431,0,0
"2017-06",4,428,0.00934579439252336,1
"2017-07",2,426,0.00469483568075117,1
"2017-08",0,421,0,0
"2017-09",4,420,0.00952380952380952,1
"2017-10",0,420,0,0
"2017-11",2,416,0.00480769230769231,1
"2017-12",2,417,0.00479616306954436,1
"2018-01",2,414,0.00483091787439614,1
"2018-02",4,412,0.00970873786407767,1
"2018-03",0,412,0,0
"2018-04",4,411,0.0097323600973236,1
"2018-05",6,408,0.0147058823529412,0
"2018-06",4,407,0.00982800982800983,1
"2018-07",4,403,0.00992555831265509,1
"2018-08",4,401,0.00997506234413965,1
"2018-09",0,399,0,0
"2018-10",0,398,0,0
"2018-11",0,395,0,0
"2018-12",2,393,0.00508905852417303,1
"2019-01",6,393,0.0152671755725191,0
"2019-02",8,392,0.0204081632653061,0
"2019-03",6,391,0.0153452685421995,0
"2019-04",0,389,0,0
"2019-05",0,389,0,0
"2019-06",4,389,0.0102827763496144,1
"2019-07",2,387,0.00516795865633075,1
"2019-08",4,386,0.0103626943005181,1
"2019-09",0,385,0,0
"2019-10",2,385,0.00519480519480519,1
"2019-11",0,384,0,0
"2019-12",2,384,0.00520833333333333,1
"2020-01",4,381,0.010498687664042,1
"2020-02",2,380,0.00526315789473684,1
"2020-03",0,380,0,0
"2020-04",0,380,0,0
"2020-05",0,382,0,0
"2020-06",0,378,0,0
"2020-07",0,378,0,0
"2020-08",0,378,0,0
"2020-09",0,376,0,0
"2020-10",0,377,0,0
"2020-11",0,376,0,0
"2020-12",0,376,0,0
