"","YM","N","Freq","rates","masked"
"1","2010-01",0,4478,0,0
"2","2010-02",18,4478,0.00401965163019205,0
"3","2010-03",0,4461,0,0
"4","2010-04",0,4412,0,0
"5","2010-05",0,4449,0,0
"6","2010-06",0,4423,0,0
"7","2010-07",36,4402,0.00817810086324398,0
"8","2010-08",0,4411,0,0
"9","2010-09",46,4411,0.0104284742688733,0
"10","2010-10",0,4407,0,0
"11","2010-11",0,4416,0,0
"12","2010-12",18,4381,0.00410865099292399,0
"13","2011-01",0,4363,0,0
"14","2011-02",0,4368,0,0
"15","2011-03",18,4381,0.00410865099292399,0
"16","2011-04",18,4417,0.00407516413855558,0
"17","2011-05",18,4417,0.00407516413855558,0
"18","2011-06",0,4413,0,0
"19","2011-07",0,4440,0,0
"20","2011-08",18,4458,0.00403768506056528,0
"21","2011-09",18,4476,0.00402144772117962,0
"22","2011-10",18,4472,0.00402504472271914,0
"23","2011-11",18,4473,0.00402414486921529,0
"24","2011-12",18,4496,0.00400355871886121,0
"25","2012-01",18,4514,0.00398759415152858,0
"26","2012-02",36,4541,0.00792776921382955,0
"27","2012-03",0,4568,0,0
"28","2012-04",0,4546,0,0
"29","2012-05",0,4546,0,0
"30","2012-06",18,4551,0.003955174686882,0
"31","2012-07",0,4551,0,0
"32","2012-08",36,4569,0.00787918581746553,0
"33","2012-09",18,4534,0.00397000441111601,0
"34","2012-10",0,4548,0,0
"35","2012-11",18,4553,0.00395343729409181,0
"36","2012-12",28,4562,0.00613765892152565,0
"37","2013-01",18,4562,0.00394563787812363,0
"38","2013-02",18,4553,0.00395343729409181,0
"39","2013-03",36,4567,0.00788263630391942,0
"40","2013-04",0,4581,0,0
"41","2013-05",0,4577,0,0
"42","2013-06",18,4532,0.00397175639894086,0
"43","2013-07",36,4528,0.00795053003533569,0
"44","2013-08",18,4506,0.00399467376830892,0
"45","2013-09",18,4524,0.00397877984084881,0
"46","2013-10",0,4520,0,0
"47","2013-11",63,4488,0.0140374331550802,0
"48","2013-12",45,4470,0.0100671140939597,0
"49","2014-01",36,4466,0.00806090461262875,0
"50","2014-02",18,4475,0.00402234636871508,0
"51","2014-03",18,4471,0.00402594497875196,0
"52","2014-04",45,4489,0.0100245043439519,0
"53","2014-05",18,4462,0.00403406544150605,0
"54","2014-06",18,4462,0.00403406544150605,0
"55","2014-07",0,4458,0,0
"56","2014-08",18,4467,0.00402955003357958,0
"57","2014-09",18,4467,0.00402955003357958,0
"58","2014-10",0,4445,0,0
