"YM","N","Freq","rates","masked"
"2010-01",0,492,0,0
"2010-02",2,492,0.0040650406504065,1
"2010-03",0,489,0,0
"2010-04",0,483,0,0
"2010-05",0,486,0,0
"2010-06",0,482,0,0
"2010-07",4,478,0.00836820083682008,1
"2010-08",0,479,0,0
"2010-09",4,479,0.00835073068893528,1
"2010-10",0,478,0,0
"2010-11",0,479,0,0
"2010-12",2,474,0.00421940928270042,1
"2011-01",0,472,0,0
"2011-02",0,472,0,0
"2011-03",2,474,0.00421940928270042,1
"2011-04",2,478,0.00418410041841004,1
"2011-05",2,478,0.00418410041841004,1
"2011-06",0,477,0,0
"2011-07",0,480,0,0
"2011-08",2,482,0.004149377593361,1
"2011-09",2,484,0.00413223140495868,1
"2011-10",2,483,0.0041407867494824,1
"2011-11",2,482,0.004149377593361,1
"2011-12",2,484,0.00413223140495868,1
"2012-01",2,486,0.00411522633744856,1
"2012-02",4,489,0.0081799591002045,1
"2012-03",0,492,0,0
"2012-04",0,489,0,0
"2012-05",0,489,0,0
"2012-06",2,489,0.00408997955010225,1
"2012-07",0,489,0,0
"2012-08",4,491,0.00814663951120163,1
"2012-09",2,487,0.00410677618069815,1
"2012-10",0,488,0,0
"2012-11",2,488,0.00409836065573771,1
"2012-12",2,489,0.00408997955010225,1
"2013-01",2,489,0.00408997955010225,1
"2013-02",2,488,0.00409836065573771,1
"2013-03",4,489,0.0081799591002045,1
"2013-04",0,490,0,0
"2013-05",0,489,0,0
"2013-06",2,484,0.00413223140495868,1
"2013-07",4,483,0.0082815734989648,1
"2013-08",2,480,0.00416666666666667,1
"2013-09",2,482,0.004149377593361,1
"2013-10",0,481,0,0
"2013-11",7,478,0.0146443514644351,0
"2013-12",5,475,0.0105263157894737,0
"2014-01",4,474,0.00843881856540084,1
"2014-02",2,475,0.00421052631578947,1
"2014-03",2,474,0.00421940928270042,1
"2014-04",5,476,0.0105042016806723,0
"2014-05",2,473,0.00422832980972516,1
"2014-06",2,473,0.00422832980972516,1
"2014-07",0,472,0,0
"2014-08",2,473,0.00422832980972516,1
"2014-09",2,473,0.00422832980972516,1
"2014-10",0,470,0,0
"2014-11",4,470,0.00851063829787234,1
"2014-12",0,470,0,0
"2015-01",2,471,0.00424628450106157,1
"2015-02",3,471,0.00636942675159236,1
"2015-03",2,470,0.00425531914893617,1
"2015-04",2,470,0.00425531914893617,1
"2015-05",2,471,0.00424628450106157,1
"2015-06",0,469,0,0
"2015-07",2,465,0.0043010752688172,1
"2015-08",2,463,0.00431965442764579,1
"2015-09",2,459,0.00435729847494553,1
"2015-10",1,457,0.00218818380743982,1
"2015-11",0,456,0,0
"2015-12",0,454,0,0
"2016-01",4,452,0.00884955752212389,1
"2016-02",2,449,0.0044543429844098,1
"2016-03",3,448,0.00669642857142857,1
"2016-04",2,448,0.00446428571428571,1
"2016-05",0,445,0,0
"2016-06",2,441,0.00453514739229025,1
"2016-07",0,442,0,0
"2016-08",2,441,0.00453514739229025,1
"2016-09",0,439,0,0
"2016-10",0,439,0,0
"2016-11",4,439,0.00911161731207289,1
"2016-12",0,440,0,0
"2017-01",3,436,0.00688073394495413,1
"2017-02",4,436,0.00917431192660551,1
"2017-03",0,436,0,0
"2017-04",2,434,0.00460829493087558,1
"2017-05",0,432,0,0
"2017-06",0,429,0,0
"2017-07",0,427,0,0
"2017-08",0,422,0,0
"2017-09",0,421,0,0
"2017-10",0,421,0,0
"2017-11",0,418,0,0
"2017-12",0,418,0,0
"2018-01",0,415,0,0
"2018-02",1,413,0.00242130750605327,1
"2018-03",0,413,0,0
"2018-04",0,412,0,0
"2018-05",0,409,0,0
"2018-06",0,408,0,0
"2018-07",1,404,0.00247524752475248,1
"2018-08",0,402,0,0
"2018-09",0,400,0,0
"2018-10",1,399,0.0025062656641604,1
"2018-11",0,396,0,0
"2018-12",0,394,0,0
"2019-01",0,394,0,0
"2019-02",1,393,0.00254452926208651,1
"2019-03",1,392,0.00255102040816327,1
"2019-04",3,390,0.00769230769230769,1
"2019-05",0,390,0,0
"2019-06",0,390,0,0
"2019-07",1,388,0.00257731958762887,1
"2019-08",1,387,0.00258397932816537,1
"2019-09",0,386,0,0
"2019-10",4,386,0.0103626943005181,1
"2019-11",1,385,0.0025974025974026,1
"2019-12",1,385,0.0025974025974026,1
"2020-01",1,382,0.00261780104712042,1
"2020-02",0,381,0,0
"2020-03",0,381,0,0
"2020-04",0,381,0,0
"2020-05",0,383,0,0
"2020-06",0,379,0,0
"2020-07",0,379,0,0
"2020-08",0,378,0,0
"2020-09",0,376,0,0
"2020-10",0,377,0,0
"2020-11",0,376,0,0
"2020-12",0,376,0,0
