"YM","N","Freq","rates","masked"
"2010-01",0,502,0,0
"2010-02",2,502,0.00398406374501992,1
"2010-03",0,501,0,0
"2010-04",0,496,0,0
"2010-05",0,501,0,0
"2010-06",0,499,0,0
"2010-07",4,498,0.00803212851405622,1
"2010-08",0,499,0,0
"2010-09",6,499,0.0120240480961924,0
"2010-10",0,499,0,0
"2010-11",0,500,0,0
"2010-12",2,497,0.00402414486921529,1
"2011-01",0,495,0,0
"2011-02",0,496,0,0
"2011-03",2,497,0.00402414486921529,1
"2011-04",2,501,0.00399201596806387,1
"2011-05",2,501,0.00399201596806387,1
"2011-06",0,501,0,0
"2011-07",0,504,0,0
"2011-08",2,506,0.00395256916996047,1
"2011-09",2,508,0.00393700787401575,1
"2011-10",2,508,0.00393700787401575,1
"2011-11",2,509,0.00392927308447937,1
"2011-12",2,512,0.00390625,1
"2012-01",2,514,0.00389105058365759,1
"2012-02",4,517,0.00773694390715667,1
"2012-03",0,520,0,0
"2012-04",0,518,0,0
"2012-05",0,518,0,0
"2012-06",2,519,0.00385356454720617,1
"2012-07",0,519,0,0
"2012-08",4,521,0.00767754318618042,1
"2012-09",2,517,0.00386847195357834,1
"2012-10",0,519,0,0
"2012-11",2,520,0.00384615384615385,1
"2012-12",4,521,0.00767754318618042,1
"2013-01",2,521,0.00383877159309021,1
"2013-02",2,520,0.00384615384615385,1
"2013-03",4,522,0.00766283524904215,1
"2013-04",0,524,0,0
"2013-05",0,524,0,0
"2013-06",2,519,0.00385356454720617,1
"2013-07",4,519,0.00770712909441233,1
"2013-08",2,517,0.00386847195357834,1
"2013-09",2,519,0.00385356454720617,1
"2013-10",0,519,0,0
"2013-11",7,515,0.0135922330097087,0
"2013-12",5,513,0.00974658869395711,0
"2014-01",4,513,0.00779727095516569,1
"2014-02",2,514,0.00389105058365759,1
"2014-03",2,514,0.00389105058365759,1
"2014-04",5,516,0.00968992248062015,0
"2014-05",2,513,0.00389863547758285,1
"2014-06",2,513,0.00389863547758285,1
"2014-07",0,513,0,0
"2014-08",2,514,0.00389105058365759,1
"2014-09",2,514,0.00389105058365759,1
"2014-10",0,512,0,0
"2014-11",4,512,0.0078125,1
"2014-12",0,512,0,0
"2015-01",2,514,0.00389105058365759,1
"2015-02",3,514,0.00583657587548638,1
"2015-03",2,513,0.00389863547758285,1
"2015-04",2,513,0.00389863547758285,1
"2015-05",2,515,0.00388349514563107,1
"2015-06",2,513,0.00389863547758285,1
"2015-07",10,511,0.0195694716242661,0
"2015-08",4,511,0.00782778864970646,1
"2015-09",2,509,0.00392927308447937,1
"2015-10",1,507,0.0019723865877712,1
"2015-11",0,506,0,0
"2015-12",0,504,0,0
"2016-01",4,502,0.00796812749003984,1
"2016-02",2,500,0.004,1
"2016-03",3,499,0.00601202404809619,1
"2016-04",2,500,0.004,1
"2016-05",0,497,0,0
"2016-06",2,493,0.00405679513184584,1
"2016-07",0,495,0,0
"2016-08",2,496,0.00403225806451613,1
"2016-09",0,494,0,0
"2016-10",0,494,0,0
"2016-11",4,493,0.00811359026369168,1
"2016-12",0,494,0,0
"2017-01",3,490,0.00612244897959184,1
"2017-02",4,490,0.00816326530612245,1
"2017-03",0,490,0,0
"2017-04",2,488,0.00409836065573771,1
"2017-05",0,487,0,0
"2017-06",4,486,0.00823045267489712,1
"2017-07",2,485,0.00412371134020619,1
"2017-08",0,482,0,0
"2017-09",4,480,0.00833333333333333,1
"2017-10",2,479,0.00417536534446764,1
"2017-11",2,474,0.00421940928270042,1
"2017-12",0,475,0,0
"2018-01",2,473,0.00422832980972516,1
"2018-02",5,472,0.0105932203389831,0
"2018-03",4,472,0.00847457627118644,1
"2018-04",0,471,0,0
"2018-05",3,470,0.00638297872340425,1
"2018-06",0,469,0,0
"2018-07",3,465,0.00645161290322581,1
"2018-08",0,463,0,0
"2018-09",0,462,0,0
"2018-10",5,461,0.0108459869848156,0
"2018-11",1,459,0.00217864923747277,1
"2018-12",0,457,0,0
"2019-01",4,457,0.0087527352297593,1
"2019-02",1,456,0.00219298245614035,1
"2019-03",5,455,0.010989010989011,0
"2019-04",7,453,0.0154525386313466,0
"2019-05",0,453,0,0
"2019-06",5,452,0.0110619469026549,0
"2019-07",2,451,0.00443458980044346,1
"2019-08",8,451,0.0177383592017738,0
"2019-09",4,451,0.00886917960088692,1
"2019-10",8,451,0.0177383592017738,0
"2019-11",4,452,0.00884955752212389,1
"2019-12",4,452,0.00884955752212389,1
"2020-01",4,449,0.0089086859688196,1
"2020-02",2,448,0.00446428571428571,1
"2020-03",2,449,0.0044543429844098,1
"2020-04",0,449,0,0
"2020-05",0,451,0,0
"2020-06",0,447,0,0
"2020-07",0,447,0,0
"2020-08",0,447,0,0
"2020-09",0,445,0,0
"2020-10",0,446,0,0
"2020-11",0,444,0,0
"2020-12",0,443,0,0
