"YM","N","Freq","rates","masked"
"2010-01",0,502,0,0
"2010-02",2,502,0.00398406374501992,1
"2010-03",0,501,0,0
"2010-04",0,496,0,0
"2010-05",0,501,0,0
"2010-06",0,499,0,0
"2010-07",4,498,0.00803212851405622,1
"2010-08",0,499,0,0
"2010-09",6,499,0.0120240480961924,0
"2010-10",0,499,0,0
"2010-11",0,500,0,0
"2010-12",2,497,0.00402414486921529,1
"2011-01",0,495,0,0
"2011-02",0,496,0,0
"2011-03",2,497,0.00402414486921529,1
"2011-04",2,501,0.00399201596806387,1
"2011-05",2,501,0.00399201596806387,1
"2011-06",0,501,0,0
"2011-07",0,504,0,0
"2011-08",2,506,0.00395256916996047,1
"2011-09",2,508,0.00393700787401575,1
"2011-10",2,508,0.00393700787401575,1
"2011-11",2,509,0.00392927308447937,1
"2011-12",2,512,0.00390625,1
"2012-01",2,514,0.00389105058365759,1
"2012-02",4,517,0.00773694390715667,1
"2012-03",0,520,0,0
"2012-04",0,518,0,0
"2012-05",0,518,0,0
"2012-06",2,519,0.00385356454720617,1
"2012-07",0,519,0,0
"2012-08",4,521,0.00767754318618042,1
"2012-09",2,518,0.00386100386100386,1
"2012-10",0,520,0,0
"2012-11",2,521,0.00383877159309021,1
"2012-12",4,522,0.00766283524904215,1
"2013-01",2,522,0.00383141762452107,1
"2013-02",2,521,0.00383877159309021,1
"2013-03",4,523,0.00764818355640535,1
"2013-04",0,525,0,0
"2013-05",0,525,0,0
"2013-06",2,520,0.00384615384615385,1
"2013-07",4,520,0.00769230769230769,1
"2013-08",2,518,0.00386100386100386,1
"2013-09",2,520,0.00384615384615385,1
"2013-10",0,520,0,0
"2013-11",7,516,0.0135658914728682,0
"2013-12",5,515,0.00970873786407767,0
"2014-01",4,515,0.00776699029126214,1
"2014-02",2,516,0.00387596899224806,1
"2014-03",2,516,0.00387596899224806,1
"2014-04",5,518,0.00965250965250965,0
"2014-05",2,515,0.00388349514563107,1
"2014-06",2,515,0.00388349514563107,1
"2014-07",0,515,0,0
"2014-08",2,516,0.00387596899224806,1
"2014-09",2,516,0.00387596899224806,1
"2014-10",0,514,0,0
"2014-11",4,514,0.00778210116731518,1
"2014-12",0,514,0,0
"2015-01",2,516,0.00387596899224806,1
"2015-02",3,516,0.00581395348837209,1
"2015-03",2,515,0.00388349514563107,1
"2015-04",2,515,0.00388349514563107,1
"2015-05",2,517,0.00386847195357834,1
"2015-06",2,515,0.00388349514563107,1
"2015-07",10,513,0.0194931773879142,0
"2015-08",4,513,0.00779727095516569,1
"2015-09",2,511,0.00391389432485323,1
"2015-10",1,509,0.00196463654223969,1
"2015-11",0,508,0,0
"2015-12",0,506,0,0
"2016-01",4,504,0.00793650793650794,1
"2016-02",2,502,0.00398406374501992,1
"2016-03",3,501,0.00598802395209581,1
"2016-04",2,502,0.00398406374501992,1
"2016-05",0,499,0,0
"2016-06",2,495,0.00404040404040404,1
"2016-07",0,497,0,0
"2016-08",2,498,0.00401606425702811,1
"2016-09",0,496,0,0
"2016-10",0,496,0,0
"2016-11",4,495,0.00808080808080808,1
"2016-12",0,496,0,0
"2017-01",3,492,0.00609756097560976,1
"2017-02",4,492,0.00813008130081301,1
"2017-03",0,492,0,0
"2017-04",2,490,0.00408163265306122,1
"2017-05",0,489,0,0
"2017-06",4,488,0.00819672131147541,1
"2017-07",2,487,0.00410677618069815,1
"2017-08",0,484,0,0
"2017-09",4,482,0.00829875518672199,1
"2017-10",2,481,0.00415800415800416,1
"2017-11",2,477,0.00419287211740042,1
"2017-12",0,477,0,0
"2018-01",2,475,0.00421052631578947,1
"2018-02",5,474,0.0105485232067511,0
"2018-03",4,474,0.00843881856540084,1
"2018-04",0,473,0,0
"2018-05",3,472,0.00635593220338983,1
"2018-06",0,471,0,0
"2018-07",3,467,0.00642398286937901,1
"2018-08",0,465,0,0
"2018-09",0,464,0,0
"2018-10",5,463,0.0107991360691145,0
"2018-11",1,461,0.00216919739696312,1
"2018-12",0,459,0,0
"2019-01",4,459,0.00871459694989107,1
"2019-02",1,458,0.00218340611353712,1
"2019-03",5,457,0.0109409190371991,0
"2019-04",7,455,0.0153846153846154,0
"2019-05",0,455,0,0
"2019-06",5,454,0.0110132158590308,0
"2019-07",2,453,0.00441501103752759,1
"2019-08",8,453,0.0176600441501104,0
"2019-09",4,453,0.00883002207505519,1
"2019-10",8,453,0.0176600441501104,0
"2019-11",4,454,0.00881057268722467,1
"2019-12",4,454,0.00881057268722467,1
"2020-01",4,451,0.00886917960088692,1
"2020-02",2,450,0.00444444444444444,1
"2020-03",2,451,0.00443458980044346,1
"2020-04",0,451,0,0
"2020-05",0,453,0,0
"2020-06",0,449,0,0
"2020-07",0,449,0,0
"2020-08",0,448,0,0
"2020-09",0,446,0,0
"2020-10",0,447,0,0
"2020-11",0,445,0,0
"2020-12",0,444,0,0
