"YM","N","Freq","rates","masked"
"2010-01",0,492,0,0
"2010-02",2,492,0.0040650406504065,1
"2010-03",0,489,0,0
"2010-04",0,483,0,0
"2010-05",0,486,0,0
"2010-06",0,482,0,0
"2010-07",4,478,0.00836820083682008,1
"2010-08",0,479,0,0
"2010-09",4,479,0.00835073068893528,1
"2010-10",0,478,0,0
"2010-11",0,479,0,0
"2010-12",2,474,0.00421940928270042,1
"2011-01",0,472,0,0
"2011-02",0,472,0,0
"2011-03",2,474,0.00421940928270042,1
"2011-04",2,478,0.00418410041841004,1
"2011-05",2,478,0.00418410041841004,1
"2011-06",0,477,0,0
"2011-07",0,480,0,0
"2011-08",2,482,0.004149377593361,1
"2011-09",2,484,0.00413223140495868,1
"2011-10",2,483,0.0041407867494824,1
"2011-11",2,482,0.004149377593361,1
"2011-12",2,484,0.00413223140495868,1
"2012-01",2,486,0.00411522633744856,1
"2012-02",4,489,0.0081799591002045,1
"2012-03",0,492,0,0
"2012-04",0,489,0,0
"2012-05",0,489,0,0
"2012-06",2,489,0.00408997955010225,1
"2012-07",0,489,0,0
"2012-08",4,491,0.00814663951120163,1
"2012-09",2,486,0.00411522633744856,1
"2012-10",0,487,0,0
"2012-11",2,487,0.00410677618069815,1
"2012-12",2,488,0.00409836065573771,1
"2013-01",2,488,0.00409836065573771,1
"2013-02",2,487,0.00410677618069815,1
"2013-03",4,488,0.00819672131147541,1
"2013-04",0,489,0,0
"2013-05",0,488,0,0
"2013-06",2,483,0.0041407867494824,1
"2013-07",4,482,0.00829875518672199,1
"2013-08",2,479,0.00417536534446764,1
"2013-09",2,481,0.00415800415800416,1
"2013-10",0,480,0,0
"2013-11",7,477,0.0146750524109015,0
"2013-12",5,474,0.0105485232067511,0
"2014-01",4,473,0.00845665961945032,1
"2014-02",2,474,0.00421940928270042,1
"2014-03",2,473,0.00422832980972516,1
"2014-04",5,475,0.0105263157894737,0
"2014-05",2,472,0.00423728813559322,1
"2014-06",2,472,0.00423728813559322,1
"2014-07",0,471,0,0
"2014-08",2,472,0.00423728813559322,1
"2014-09",2,472,0.00423728813559322,1
"2014-10",0,469,0,0
"2014-11",4,469,0.00852878464818763,1
"2014-12",0,469,0,0
"2015-01",2,470,0.00425531914893617,1
"2015-02",3,470,0.00638297872340425,1
"2015-03",2,469,0.00426439232409382,1
"2015-04",2,469,0.00426439232409382,1
"2015-05",2,470,0.00425531914893617,1
"2015-06",0,468,0,0
"2015-07",2,464,0.00431034482758621,1
"2015-08",2,462,0.00432900432900433,1
"2015-09",2,458,0.00436681222707424,1
"2015-10",1,456,0.00219298245614035,1
"2015-11",0,455,0,0
"2015-12",0,453,0,0
"2016-01",4,451,0.00886917960088692,1
"2016-02",2,448,0.00446428571428571,1
"2016-03",3,447,0.00671140939597315,1
"2016-04",2,447,0.00447427293064877,1
"2016-05",0,444,0,0
"2016-06",2,440,0.00454545454545455,1
"2016-07",0,441,0,0
"2016-08",2,440,0.00454545454545455,1
"2016-09",0,438,0,0
"2016-10",0,438,0,0
"2016-11",4,438,0.0091324200913242,1
"2016-12",0,439,0,0
"2017-01",3,435,0.00689655172413793,1
"2017-02",4,435,0.00919540229885057,1
"2017-03",0,435,0,0
"2017-04",2,433,0.0046189376443418,1
"2017-05",0,431,0,0
"2017-06",0,428,0,0
"2017-07",0,426,0,0
"2017-08",0,421,0,0
"2017-09",0,420,0,0
"2017-10",0,420,0,0
"2017-11",0,416,0,0
"2017-12",0,417,0,0
"2018-01",0,414,0,0
"2018-02",1,412,0.00242718446601942,1
"2018-03",0,412,0,0
"2018-04",0,411,0,0
"2018-05",0,408,0,0
"2018-06",0,407,0,0
"2018-07",1,403,0.00248138957816377,1
"2018-08",0,401,0,0
"2018-09",0,399,0,0
"2018-10",1,398,0.00251256281407035,1
"2018-11",0,395,0,0
"2018-12",0,393,0,0
"2019-01",0,393,0,0
"2019-02",1,392,0.00255102040816327,1
"2019-03",1,391,0.00255754475703325,1
"2019-04",3,389,0.0077120822622108,1
"2019-05",0,389,0,0
"2019-06",0,389,0,0
"2019-07",1,387,0.00258397932816537,1
"2019-08",1,386,0.00259067357512953,1
"2019-09",0,385,0,0
"2019-10",4,385,0.0103896103896104,1
"2019-11",1,384,0.00260416666666667,1
"2019-12",1,384,0.00260416666666667,1
"2020-01",1,381,0.0026246719160105,1
"2020-02",0,380,0,0
"2020-03",0,380,0,0
"2020-04",0,380,0,0
"2020-05",0,382,0,0
"2020-06",0,378,0,0
"2020-07",0,378,0,0
"2020-08",0,378,0,0
"2020-09",0,376,0,0
"2020-10",0,377,0,0
"2020-11",0,376,0,0
"2020-12",0,376,0,0
