"","YM","N","Freq","rates","masked"
"1","2010-01",37,4478,0.00826261723983921,0
"2","2010-02",36,4478,0.0080393032603841,0
"3","2010-03",64,4461,0.0143465590674737,0
"4","2010-04",65,4412,0.0147325475974615,0
"5","2010-05",18,4449,0.00404585300067431,0
"6","2010-06",18,4423,0.00406963599366946,0
"7","2010-07",45,4402,0.010222626079055,0
"8","2010-08",28,4411,0.00634776694627069,0
"9","2010-09",56,4411,0.0126955338925414,0
"10","2010-10",45,4407,0.010211027910143,0
"11","2010-11",19,4416,0.00430253623188406,0
"12","2010-12",36,4381,0.00821730198584798,0
"13","2011-01",38,4363,0.00870960348384139,0
"14","2011-02",5,4368,0.00114468864468864,0
"15","2011-03",87,4381,0.0198584797991326,0
"16","2011-04",28,4417,0.0063391442155309,0
"17","2011-05",101,4417,0.0228661987774508,0
"18","2011-06",19,4413,0.00430546113754815,0
"19","2011-07",74,4440,0.0166666666666667,0
"20","2011-08",84,4458,0.018842530282638,0
"21","2011-09",55,4476,0.0122877569258266,0
"22","2011-10",46,4472,0.0102862254025045,0
"23","2011-11",28,4473,0.00625978090766823,0
"24","2011-12",54,4496,0.0120106761565836,0
"25","2012-01",66,4514,0.0146211785556048,0
"26","2012-02",63,4541,0.0138735961242017,0
"27","2012-03",63,4568,0.0137915936952715,0
"28","2012-04",9,4546,0.00197976242850858,0
"29","2012-05",47,4546,0.0103387593488781,0
"30","2012-06",46,4551,0.010107668644254,0
"31","2012-07",46,4551,0.010107668644254,0
"32","2012-08",74,4569,0.0161961041803458,0
"33","2012-09",82,4534,0.0180855756506396,0
"34","2012-10",56,4548,0.0123131046613896,0
"35","2012-11",47,4553,0.0103228640456842,0
"36","2012-12",55,4562,0.0120561157387111,0
"37","2013-01",86,4562,0.0188513809732573,0
"38","2013-02",55,4553,0.0120799472875027,0
"39","2013-03",110,4567,0.0240858331508649,0
"40","2013-04",92,4581,0.0200829513206723,0
"41","2013-05",18,4577,0.00393270701332751,0
"42","2013-06",92,4532,0.0203000882612533,0
"43","2013-07",63,4528,0.0139134275618375,0
"44","2013-08",63,4506,0.0139813581890812,0
"45","2013-09",81,4524,0.0179045092838196,0
"46","2013-10",41,4520,0.00907079646017699,0
"47","2013-11",27,4488,0.00601604278074866,0
"48","2013-12",63,4470,0.0140939597315436,0
"49","2014-01",18,4466,0.00403045230631438,0
"50","2014-02",72,4475,0.0160893854748603,0
"51","2014-03",55,4471,0.0123014985461865,0
"52","2014-04",114,4489,0.0253954110046781,0
"53","2014-05",9,4462,0.00201703272075303,0
"54","2014-06",45,4462,0.0100851636037651,0
"55","2014-07",9,4458,0.00201884253028264,0
"56","2014-08",54,4467,0.0120886501007388,0
"57","2014-09",63,4467,0.0141034251175285,0
"58","2014-10",18,4445,0.00404949381327334,0
"59","2014-11",55,4445,0.0123734533183352,0
"60","2014-12",9,4445,0.00202474690663667,0
"61","2015-01",45,4459,0.0100919488674591,0
"62","2015-02",63,4459,0.0141287284144427,0
"63","2015-03",72,4450,0.0161797752808989,0
"64","2015-04",18,4450,0.00404494382022472,0
"65","2015-05",27,4464,0.00604838709677419,0
"66","2015-06",63,4446,0.01417004048583,0
"67","2015-07",36,4420,0.0081447963800905,0
"68","2015-08",45,4412,0.0101994560290118,0
"69","2015-09",72,4386,0.0164158686730506,0
"70","2015-10",54,4368,0.0123626373626374,0
"71","2015-11",18,4359,0.00412938747419133,0
"72","2015-12",18,4341,0.00414651002073255,0
"73","2016-01",72,4323,0.0166551006245663,0
"74","2016-02",45,4301,0.0104626830969542,0
"75","2016-03",36,4292,0.00838769804287046,0
"76","2016-04",72,4297,0.0167558761926926,0
"77","2016-05",18,4270,0.00421545667447307,0
"78","2016-06",45,4234,0.0106282475200756,0
"79","2016-07",45,4248,0.0105932203389831,0
"80","2016-08",18,4249,0.00423629089197458,0
"81","2016-09",22,4231,0.00519971637910659,0
"82","2016-10",0,4231,0,0
"83","2016-11",90,4226,0.0212967345007099,0
"84","2016-12",27,4235,0.0063754427390791,0
"85","2017-01",90,4199,0.0214336746844487,0
"86","2017-02",99,4199,0.0235770421528935,0
"87","2017-03",31,4199,0.00738271016908788,0
"88","2017-04",64,4181,0.0153073427409711,0
"89","2017-05",29,4168,0.00695777351247601,0
"90","2017-06",39,4151,0.0093953264273669,0
"91","2017-07",30,4138,0.00724987916868052,0
"92","2017-08",9,4103,0.00219351693882525,0
"93","2017-09",38,4089,0.00929322572756175,0
"94","2017-10",38,4084,0.00930460333006856,0
"95","2017-11",57,4048,0.0140810276679842,0
"96","2017-12",0,4052,0,0
"97","2018-01",47,4030,0.0116625310173697,0
"98","2018-02",40,4017,0.00995767986059248,0
"99","2018-03",48,4017,0.011949215832711,0
"100","2018-04",39,4008,0.00973053892215569,0
"101","2018-05",38,3991,0.00952142320220496,0
"102","2018-06",0,3982,0,0
"103","2018-07",46,3946,0.0116573745565129,0
"104","2018-08",19,3928,0.00483706720977597,0
"105","2018-09",19,3915,0.00485312899106003,0
"106","2018-10",75,3906,0.0192012288786482,0
"107","2018-11",5,3884,0.00128733264675592,0
"108","2018-12",18,3866,0.00465597516813244,0
"109","2019-01",20,3866,0.00517330574236937,0
"110","2019-02",19,3857,0.00492610837438424,0
"111","2019-03",58,3848,0.0150727650727651,0
"112","2019-04",20,3830,0.00522193211488251,0
"113","2019-05",28,3830,0.00731070496083551,0
"114","2019-06",25,3825,0.0065359477124183,0
"115","2019-07",14,3812,0.00367261280167891,0
"116","2019-08",49,3808,0.0128676470588235,0
"117","2019-09",20,3804,0.00525762355415352,0
"118","2019-10",49,3804,0.0128811777076761,0
"119","2019-11",47,3805,0.0123521681997372,0
"120","2019-12",33,3805,0.00867279894875164,0
"121","2020-01",44,3778,0.011646373742721,0
"122","2020-02",37,3769,0.0098169275669939,0
"123","2020-03",15,3774,0.00397456279809221,0
"124","2020-04",0,3774,0,0
"125","2020-05",0,3792,0,0
"126","2020-06",0,3756,0,0
"127","2020-07",0,3756,0,0
"128","2020-08",0,3751,0,0
"129","2020-09",0,3733,0,0
"130","2020-10",0,3742,0,0
"131","2020-11",0,3728,0,0
"132","2020-12",0,3723,0,0
