"YM","N","Freq","rates","masked"
"2010-01",5,502,0.0099601593625498,0
"2010-02",4,502,0.00796812749003984,1
"2010-03",8,501,0.0159680638722555,0
"2010-04",9,496,0.0181451612903226,0
"2010-05",2,501,0.00399201596806387,1
"2010-06",2,499,0.00400801603206413,1
"2010-07",5,498,0.0100401606425703,0
"2010-08",4,499,0.00801603206412826,1
"2010-09",8,499,0.0160320641282565,0
"2010-10",5,499,0.0100200400801603,0
"2010-11",3,500,0.006,1
"2010-12",4,497,0.00804828973843058,1
"2011-01",6,495,0.0121212121212121,0
"2011-02",1,496,0.00201612903225806,1
"2011-03",11,497,0.0221327967806841,0
"2011-04",4,501,0.00798403193612774,1
"2011-05",13,501,0.0259481037924152,0
"2011-06",3,501,0.00598802395209581,1
"2011-07",10,504,0.0198412698412698,0
"2011-08",12,506,0.0237154150197628,0
"2011-09",7,508,0.0137795275590551,0
"2011-10",6,508,0.0118110236220472,0
"2011-11",4,509,0.00785854616895874,1
"2011-12",6,512,0.01171875,0
"2012-01",10,514,0.0194552529182879,0
"2012-02",7,517,0.0135396518375242,0
"2012-03",7,520,0.0134615384615385,0
"2012-04",1,518,0.00193050193050193,1
"2012-05",7,518,0.0135135135135135,0
"2012-06",6,519,0.0115606936416185,0
"2012-07",6,519,0.0115606936416185,0
"2012-08",10,521,0.0191938579654511,0
"2012-09",10,518,0.0193050193050193,0
"2012-10",8,520,0.0153846153846154,0
"2012-11",7,521,0.0134357005758157,0
"2012-12",7,522,0.0134099616858238,0
"2013-01",14,522,0.0268199233716475,0
"2013-02",7,521,0.0134357005758157,0
"2013-03",14,523,0.0267686424474187,0
"2013-04",12,525,0.0228571428571429,0
"2013-05",2,525,0.00380952380952381,1
"2013-06",12,520,0.0230769230769231,0
"2013-07",7,520,0.0134615384615385,0
"2013-08",7,518,0.0135135135135135,0
"2013-09",9,520,0.0173076923076923,0
"2013-10",5,520,0.00961538461538462,0
"2013-11",3,516,0.00581395348837209,1
"2013-12",7,515,0.0135922330097087,0
"2014-01",2,515,0.00388349514563107,1
"2014-02",8,516,0.0155038759689922,0
"2014-03",7,516,0.0135658914728682,0
"2014-04",14,518,0.027027027027027,0
"2014-05",1,515,0.00194174757281553,1
"2014-06",5,515,0.00970873786407767,0
"2014-07",1,515,0.00194174757281553,1
"2014-08",6,516,0.0116279069767442,0
"2014-09",7,516,0.0135658914728682,0
"2014-10",2,514,0.00389105058365759,1
"2014-11",7,514,0.0136186770428016,0
"2014-12",1,514,0.00194552529182879,1
"2015-01",5,516,0.00968992248062015,0
"2015-02",7,516,0.0135658914728682,0
"2015-03",8,515,0.0155339805825243,0
"2015-04",2,515,0.00388349514563107,1
"2015-05",3,517,0.00580270793036751,1
"2015-06",7,515,0.0135922330097087,0
"2015-07",4,513,0.00779727095516569,1
"2015-08",5,513,0.00974658869395711,0
"2015-09",8,511,0.0156555772994129,0
"2015-10",6,509,0.0117878192534381,0
"2015-11",2,508,0.00393700787401575,1
"2015-12",2,506,0.00395256916996047,1
"2016-01",8,504,0.0158730158730159,0
"2016-02",5,502,0.0099601593625498,0
"2016-03",4,501,0.00798403193612774,1
"2016-04",8,502,0.0159362549800797,0
"2016-05",2,499,0.00400801603206413,1
"2016-06",5,495,0.0101010101010101,0
"2016-07",5,497,0.0100603621730382,0
"2016-08",2,498,0.00401606425702811,1
"2016-09",3,496,0.00604838709677419,1
"2016-10",0,496,0,0
"2016-11",10,495,0.0202020202020202,0
"2016-12",3,496,0.00604838709677419,1
"2017-01",10,492,0.0203252032520325,0
"2017-02",11,492,0.0223577235772358,0
"2017-03",4,492,0.00813008130081301,1
"2017-04",8,490,0.0163265306122449,0
"2017-05",5,489,0.0102249488752556,0
"2017-06",7,488,0.014344262295082,0
"2017-07",6,487,0.0123203285420945,0
"2017-08",1,484,0.00206611570247934,1
"2017-09",6,482,0.012448132780083,0
"2017-10",6,481,0.0124740124740125,0
"2017-11",9,477,0.0188679245283019,0
"2017-12",0,477,0,0
"2018-01",7,475,0.0147368421052632,0
"2018-02",8,474,0.0168776371308017,0
"2018-03",8,474,0.0168776371308017,0
"2018-04",7,473,0.0147991543340381,0
"2018-05",6,472,0.0127118644067797,0
"2018-06",0,471,0,0
"2018-07",6,467,0.012847965738758,0
"2018-08",3,465,0.00645161290322581,1
"2018-09",3,464,0.00646551724137931,1
"2018-10",11,463,0.0237580993520518,0
"2018-11",1,461,0.00216919739696312,1
"2018-12",2,459,0.00435729847494553,1
"2019-01",4,459,0.00871459694989107,1
"2019-02",3,458,0.00655021834061135,1
"2019-03",10,457,0.0218818380743982,0
"2019-04",4,455,0.00879120879120879,1
"2019-05",4,455,0.00879120879120879,1
"2019-06",5,454,0.0110132158590308,0
"2019-07",2,453,0.00441501103752759,1
"2019-08",9,453,0.0198675496688742,0
"2019-09",4,453,0.00883002207505519,1
"2019-10",9,453,0.0198675496688742,0
"2019-11",7,454,0.0154185022026432,0
"2019-12",5,454,0.0110132158590308,0
"2020-01",8,451,0.0177383592017738,0
"2020-02",5,450,0.0111111111111111,0
"2020-03",3,451,0.00665188470066519,1
"2020-04",0,451,0,0
"2020-05",0,453,0,0
"2020-06",0,449,0,0
"2020-07",0,449,0,0
"2020-08",0,448,0,0
"2020-09",0,446,0,0
"2020-10",0,447,0,0
"2020-11",0,445,0,0
"2020-12",0,444,0,0
