"YM","N","Freq","rates","masked"
"2010-01",3,492,0.00609756097560976,1
"2010-02",4,492,0.00813008130081301,1
"2010-03",6,489,0.0122699386503067,0
"2010-04",5,483,0.010351966873706,0
"2010-05",2,486,0.00411522633744856,1
"2010-06",2,482,0.004149377593361,1
"2010-07",5,478,0.0104602510460251,0
"2010-08",2,479,0.00417536534446764,1
"2010-09",4,479,0.00835073068893528,1
"2010-10",5,478,0.0104602510460251,0
"2010-11",1,479,0.00208768267223382,1
"2010-12",4,474,0.00843881856540084,1
"2011-01",2,472,0.00423728813559322,1
"2011-02",0,472,0,0
"2011-03",8,474,0.0168776371308017,0
"2011-04",2,478,0.00418410041841004,1
"2011-05",9,478,0.0188284518828452,0
"2011-06",1,477,0.00209643605870021,1
"2011-07",6,480,0.0125,0
"2011-08",6,482,0.012448132780083,0
"2011-09",5,484,0.0103305785123967,0
"2011-10",4,483,0.0082815734989648,1
"2011-11",2,482,0.004149377593361,1
"2011-12",6,484,0.012396694214876,0
"2012-01",4,486,0.00823045267489712,1
"2012-02",7,489,0.0143149284253579,0
"2012-03",7,492,0.0142276422764228,0
"2012-04",1,489,0.00204498977505112,1
"2012-05",3,489,0.00613496932515337,1
"2012-06",4,489,0.0081799591002045,1
"2012-07",4,489,0.0081799591002045,1
"2012-08",6,491,0.0122199592668024,0
"2012-09",8,487,0.0164271047227926,0
"2012-10",4,488,0.00819672131147541,1
"2012-11",3,488,0.00614754098360656,1
"2012-12",5,489,0.0102249488752556,0
"2013-01",4,489,0.0081799591002045,1
"2013-02",5,488,0.0102459016393443,0
"2013-03",10,489,0.0204498977505112,0
"2013-04",8,490,0.0163265306122449,0
"2013-05",2,489,0.00408997955010225,1
"2013-06",8,484,0.0165289256198347,0
"2013-07",7,483,0.0144927536231884,0
"2013-08",7,480,0.0145833333333333,0
"2013-09",9,482,0.0186721991701245,0
"2013-10",4,481,0.00831600831600832,1
"2013-11",3,478,0.00627615062761506,1
"2013-12",7,475,0.0147368421052632,0
"2014-01",2,474,0.00421940928270042,1
"2014-02",8,475,0.0168421052631579,0
"2014-03",5,474,0.0105485232067511,0
"2014-04",11,476,0.023109243697479,0
"2014-05",1,473,0.00211416490486258,1
"2014-06",5,473,0.0105708245243129,0
"2014-07",1,472,0.00211864406779661,1
"2014-08",6,473,0.0126849894291755,0
"2014-09",7,473,0.0147991543340381,0
"2014-10",2,470,0.00425531914893617,1
"2014-11",5,470,0.0106382978723404,0
"2014-12",1,470,0.00212765957446809,1
"2015-01",5,471,0.0106157112526539,0
"2015-02",7,471,0.0148619957537155,0
"2015-03",8,470,0.0170212765957447,0
"2015-04",2,470,0.00425531914893617,1
"2015-05",3,471,0.00636942675159236,1
"2015-06",7,469,0.0149253731343284,0
"2015-07",4,465,0.00860215053763441,1
"2015-08",5,463,0.0107991360691145,0
"2015-09",8,459,0.0174291938997821,0
"2015-10",6,457,0.0131291028446389,0
"2015-11",2,456,0.0043859649122807,1
"2015-12",2,454,0.00440528634361234,1
"2016-01",8,452,0.0176991150442478,0
"2016-02",5,449,0.0111358574610245,0
"2016-03",4,448,0.00892857142857143,1
"2016-04",8,448,0.0178571428571429,0
"2016-05",2,445,0.00449438202247191,1
"2016-06",5,441,0.0113378684807256,0
"2016-07",5,442,0.0113122171945701,0
"2016-08",2,441,0.00453514739229025,1
"2016-09",2,439,0.00455580865603645,1
"2016-10",0,439,0,0
"2016-11",10,439,0.0227790432801822,0
"2016-12",3,440,0.00681818181818182,1
"2017-01",10,436,0.0229357798165138,0
"2017-02",11,436,0.0252293577981651,0
"2017-03",3,436,0.00688073394495413,1
"2017-04",6,434,0.0138248847926267,0
"2017-05",1,432,0.00231481481481481,1
"2017-06",1,429,0.00233100233100233,1
"2017-07",0,427,0,0
"2017-08",1,422,0.0023696682464455,1
"2017-09",2,421,0.00475059382422803,1
"2017-10",2,421,0.00475059382422803,1
"2017-11",3,418,0.00717703349282297,1
"2017-12",0,418,0,0
"2018-01",3,415,0.0072289156626506,1
"2018-02",0,413,0,0
"2018-03",2,413,0.00484261501210654,1
"2018-04",1,412,0.00242718446601942,1
"2018-05",2,409,0.00488997555012225,1
"2018-06",0,408,0,0
"2018-07",4,404,0.0099009900990099,1
"2018-08",1,402,0.00248756218905473,1
"2018-09",1,400,0.0025,1
"2018-10",5,399,0.012531328320802,0
"2018-11",0,396,0,0
"2018-12",2,394,0.0050761421319797,1
"2019-01",0,394,0,0
"2019-02",1,393,0.00254452926208651,1
"2019-03",2,392,0.00510204081632653,1
"2019-04",0,390,0,0
"2019-05",2,390,0.00512820512820513,1
"2019-06",0,390,0,0
"2019-07",1,388,0.00257731958762887,1
"2019-08",1,387,0.00258397932816537,1
"2019-09",0,386,0,0
"2019-10",1,386,0.00259067357512953,1
"2019-11",3,385,0.00779220779220779,1
"2019-12",2,385,0.00519480519480519,1
"2020-01",1,382,0.00261780104712042,1
"2020-02",3,381,0.0078740157480315,1
"2020-03",0,381,0,0
"2020-04",0,381,0,0
"2020-05",0,383,0,0
"2020-06",0,379,0,0
"2020-07",0,379,0,0
"2020-08",0,378,0,0
"2020-09",0,376,0,0
"2020-10",0,377,0,0
"2020-11",0,376,0,0
"2020-12",0,376,0,0
