"YM","N","Freq","rates","masked"
"2010-01",5,502,0.0099601593625498,0
"2010-02",4,502,0.00796812749003984,1
"2010-03",8,501,0.0159680638722555,0
"2010-04",9,496,0.0181451612903226,0
"2010-05",2,501,0.00399201596806387,1
"2010-06",2,499,0.00400801603206413,1
"2010-07",5,498,0.0100401606425703,0
"2010-08",4,499,0.00801603206412826,1
"2010-09",8,499,0.0160320641282565,0
"2010-10",5,499,0.0100200400801603,0
"2010-11",3,500,0.006,1
"2010-12",4,497,0.00804828973843058,1
"2011-01",6,495,0.0121212121212121,0
"2011-02",1,496,0.00201612903225806,1
"2011-03",11,497,0.0221327967806841,0
"2011-04",4,501,0.00798403193612774,1
"2011-05",13,501,0.0259481037924152,0
"2011-06",3,501,0.00598802395209581,1
"2011-07",10,504,0.0198412698412698,0
"2011-08",12,506,0.0237154150197628,0
"2011-09",7,508,0.0137795275590551,0
"2011-10",6,508,0.0118110236220472,0
"2011-11",4,509,0.00785854616895874,1
"2011-12",6,512,0.01171875,0
"2012-01",10,514,0.0194552529182879,0
"2012-02",7,517,0.0135396518375242,0
"2012-03",7,520,0.0134615384615385,0
"2012-04",1,518,0.00193050193050193,1
"2012-05",7,518,0.0135135135135135,0
"2012-06",6,519,0.0115606936416185,0
"2012-07",6,519,0.0115606936416185,0
"2012-08",10,521,0.0191938579654511,0
"2012-09",10,517,0.0193423597678917,0
"2012-10",8,519,0.0154142581888247,0
"2012-11",7,520,0.0134615384615385,0
"2012-12",7,521,0.0134357005758157,0
"2013-01",14,521,0.0268714011516315,0
"2013-02",7,520,0.0134615384615385,0
"2013-03",14,522,0.0268199233716475,0
"2013-04",12,524,0.0229007633587786,0
"2013-05",2,524,0.00381679389312977,1
"2013-06",12,519,0.023121387283237,0
"2013-07",7,519,0.0134874759152216,0
"2013-08",7,517,0.0135396518375242,0
"2013-09",9,519,0.0173410404624277,0
"2013-10",5,519,0.00963391136801541,0
"2013-11",3,515,0.0058252427184466,1
"2013-12",7,513,0.01364522417154,0
"2014-01",2,513,0.00389863547758285,1
"2014-02",8,514,0.0155642023346304,0
"2014-03",7,514,0.0136186770428016,0
"2014-04",14,516,0.0271317829457364,0
"2014-05",1,513,0.00194931773879142,1
"2014-06",5,513,0.00974658869395711,0
"2014-07",1,513,0.00194931773879142,1
"2014-08",6,514,0.0116731517509728,0
"2014-09",7,514,0.0136186770428016,0
"2014-10",2,512,0.00390625,1
"2014-11",7,512,0.013671875,0
"2014-12",1,512,0.001953125,1
"2015-01",5,514,0.00972762645914397,0
"2015-02",7,514,0.0136186770428016,0
"2015-03",8,513,0.0155945419103314,0
"2015-04",2,513,0.00389863547758285,1
"2015-05",3,515,0.0058252427184466,1
"2015-06",7,513,0.01364522417154,0
"2015-07",4,511,0.00782778864970646,1
"2015-08",5,511,0.00978473581213307,0
"2015-09",8,509,0.0157170923379175,0
"2015-10",6,507,0.0118343195266272,0
"2015-11",2,506,0.00395256916996047,1
"2015-12",2,504,0.00396825396825397,1
"2016-01",8,502,0.0159362549800797,0
"2016-02",5,500,0.01,0
"2016-03",4,499,0.00801603206412826,1
"2016-04",8,500,0.016,0
"2016-05",2,497,0.00402414486921529,1
"2016-06",5,493,0.0101419878296146,0
"2016-07",5,495,0.0101010101010101,0
"2016-08",2,496,0.00403225806451613,1
"2016-09",2,494,0.00404858299595142,1
"2016-10",0,494,0,0
"2016-11",10,493,0.0202839756592292,0
"2016-12",3,494,0.00607287449392713,1
"2017-01",10,490,0.0204081632653061,0
"2017-02",11,490,0.0224489795918367,0
"2017-03",3,490,0.00612244897959184,1
"2017-04",8,488,0.0163934426229508,0
"2017-05",5,487,0.0102669404517454,0
"2017-06",7,486,0.01440329218107,0
"2017-07",6,485,0.0123711340206186,0
"2017-08",1,482,0.0020746887966805,1
"2017-09",6,480,0.0125,0
"2017-10",6,479,0.0125260960334029,0
"2017-11",9,474,0.0189873417721519,0
"2017-12",0,475,0,0
"2018-01",7,473,0.0147991543340381,0
"2018-02",8,472,0.0169491525423729,0
"2018-03",8,472,0.0169491525423729,0
"2018-04",7,471,0.0148619957537155,0
"2018-05",6,470,0.0127659574468085,0
"2018-06",0,469,0,0
"2018-07",6,465,0.0129032258064516,0
"2018-08",3,463,0.00647948164146868,1
"2018-09",3,462,0.00649350649350649,1
"2018-10",11,461,0.0238611713665944,0
"2018-11",1,459,0.00217864923747277,1
"2018-12",2,457,0.00437636761487965,1
"2019-01",4,457,0.0087527352297593,1
"2019-02",3,456,0.00657894736842105,1
"2019-03",10,455,0.021978021978022,0
"2019-04",4,453,0.00883002207505519,1
"2019-05",4,453,0.00883002207505519,1
"2019-06",5,452,0.0110619469026549,0
"2019-07",2,451,0.00443458980044346,1
"2019-08",9,451,0.0199556541019956,0
"2019-09",4,451,0.00886917960088692,1
"2019-10",9,451,0.0199556541019956,0
"2019-11",7,452,0.0154867256637168,0
"2019-12",5,452,0.0110619469026549,0
"2020-01",8,449,0.0178173719376392,0
"2020-02",5,448,0.0111607142857143,0
"2020-03",3,449,0.0066815144766147,1
"2020-04",0,449,0,0
"2020-05",0,451,0,0
"2020-06",0,447,0,0
"2020-07",0,447,0,0
"2020-08",0,447,0,0
"2020-09",0,445,0,0
"2020-10",0,446,0,0
"2020-11",0,444,0,0
"2020-12",0,443,0,0
