"YM","N","Freq","rates","masked"
"2010-01",3,492,0.00609756097560976,1
"2010-02",4,492,0.00813008130081301,1
"2010-03",6,489,0.0122699386503067,0
"2010-04",5,483,0.010351966873706,0
"2010-05",2,486,0.00411522633744856,1
"2010-06",2,482,0.004149377593361,1
"2010-07",5,478,0.0104602510460251,0
"2010-08",2,479,0.00417536534446764,1
"2010-09",4,479,0.00835073068893528,1
"2010-10",5,478,0.0104602510460251,0
"2010-11",1,479,0.00208768267223382,1
"2010-12",4,474,0.00843881856540084,1
"2011-01",2,472,0.00423728813559322,1
"2011-02",0,472,0,0
"2011-03",8,474,0.0168776371308017,0
"2011-04",2,478,0.00418410041841004,1
"2011-05",9,478,0.0188284518828452,0
"2011-06",1,477,0.00209643605870021,1
"2011-07",6,480,0.0125,0
"2011-08",6,482,0.012448132780083,0
"2011-09",5,484,0.0103305785123967,0
"2011-10",4,483,0.0082815734989648,1
"2011-11",2,482,0.004149377593361,1
"2011-12",6,484,0.012396694214876,0
"2012-01",4,486,0.00823045267489712,1
"2012-02",7,489,0.0143149284253579,0
"2012-03",7,492,0.0142276422764228,0
"2012-04",1,489,0.00204498977505112,1
"2012-05",3,489,0.00613496932515337,1
"2012-06",4,489,0.0081799591002045,1
"2012-07",4,489,0.0081799591002045,1
"2012-08",6,491,0.0122199592668024,0
"2012-09",8,486,0.0164609053497942,0
"2012-10",4,487,0.0082135523613963,1
"2012-11",3,487,0.00616016427104723,1
"2012-12",5,488,0.0102459016393443,0
"2013-01",4,488,0.00819672131147541,1
"2013-02",5,487,0.0102669404517454,0
"2013-03",10,488,0.0204918032786885,0
"2013-04",8,489,0.016359918200409,0
"2013-05",2,488,0.00409836065573771,1
"2013-06",8,483,0.0165631469979296,0
"2013-07",7,482,0.0145228215767635,0
"2013-08",7,479,0.0146137787056367,0
"2013-09",9,481,0.0187110187110187,0
"2013-10",4,480,0.00833333333333333,1
"2013-11",3,477,0.00628930817610063,1
"2013-12",7,474,0.0147679324894515,0
"2014-01",2,473,0.00422832980972516,1
"2014-02",8,474,0.0168776371308017,0
"2014-03",5,473,0.0105708245243129,0
"2014-04",11,475,0.0231578947368421,0
"2014-05",1,472,0.00211864406779661,1
"2014-06",5,472,0.0105932203389831,0
"2014-07",1,471,0.00212314225053079,1
"2014-08",6,472,0.0127118644067797,0
"2014-09",7,472,0.0148305084745763,0
"2014-10",2,469,0.00426439232409382,1
"2014-11",5,469,0.0106609808102345,0
"2014-12",1,469,0.00213219616204691,1
"2015-01",5,470,0.0106382978723404,0
"2015-02",7,470,0.0148936170212766,0
"2015-03",8,469,0.0170575692963753,0
"2015-04",2,469,0.00426439232409382,1
"2015-05",3,470,0.00638297872340425,1
"2015-06",7,468,0.014957264957265,0
"2015-07",4,464,0.00862068965517241,1
"2015-08",5,462,0.0108225108225108,0
"2015-09",8,458,0.0174672489082969,0
"2015-10",6,456,0.0131578947368421,0
"2015-11",2,455,0.0043956043956044,1
"2015-12",2,453,0.00441501103752759,1
"2016-01",8,451,0.0177383592017738,0
"2016-02",5,448,0.0111607142857143,0
"2016-03",4,447,0.00894854586129754,1
"2016-04",8,447,0.0178970917225951,0
"2016-05",2,444,0.0045045045045045,1
"2016-06",5,440,0.0113636363636364,0
"2016-07",5,441,0.0113378684807256,0
"2016-08",2,440,0.00454545454545455,1
"2016-09",2,438,0.0045662100456621,1
"2016-10",0,438,0,0
"2016-11",10,438,0.0228310502283105,0
"2016-12",3,439,0.00683371298405467,1
"2017-01",10,435,0.0229885057471264,0
"2017-02",11,435,0.0252873563218391,0
"2017-03",3,435,0.00689655172413793,1
"2017-04",6,433,0.0138568129330254,0
"2017-05",1,431,0.00232018561484919,1
"2017-06",1,428,0.00233644859813084,1
"2017-07",0,426,0,0
"2017-08",1,421,0.00237529691211401,1
"2017-09",2,420,0.00476190476190476,1
"2017-10",2,420,0.00476190476190476,1
"2017-11",3,416,0.00721153846153846,1
"2017-12",0,417,0,0
"2018-01",3,414,0.0072463768115942,1
"2018-02",0,412,0,0
"2018-03",2,412,0.00485436893203883,1
"2018-04",1,411,0.0024330900243309,1
"2018-05",2,408,0.00490196078431373,1
"2018-06",0,407,0,0
"2018-07",4,403,0.00992555831265509,1
"2018-08",1,401,0.00249376558603491,1
"2018-09",1,399,0.0025062656641604,1
"2018-10",5,398,0.0125628140703518,0
"2018-11",0,395,0,0
"2018-12",2,393,0.00508905852417303,1
"2019-01",0,393,0,0
"2019-02",1,392,0.00255102040816327,1
"2019-03",2,391,0.0051150895140665,1
"2019-04",0,389,0,0
"2019-05",2,389,0.0051413881748072,1
"2019-06",0,389,0,0
"2019-07",1,387,0.00258397932816537,1
"2019-08",1,386,0.00259067357512953,1
"2019-09",0,385,0,0
"2019-10",1,385,0.0025974025974026,1
"2019-11",3,384,0.0078125,1
"2019-12",2,384,0.00520833333333333,1
"2020-01",1,381,0.0026246719160105,1
"2020-02",3,380,0.00789473684210526,1
"2020-03",0,380,0,0
"2020-04",0,380,0,0
"2020-05",0,382,0,0
"2020-06",0,378,0,0
"2020-07",0,378,0,0
"2020-08",0,378,0,0
"2020-09",0,376,0,0
"2020-10",0,377,0,0
"2020-11",0,376,0,0
"2020-12",0,376,0,0
