"","YM","N","Freq","rates","masked"
"1","2010-01",9,4478,0.00200982581509603,0
"2","2010-02",9,4478,0.00200982581509603,0
"3","2010-03",18,4461,0.00403496973772697,0
"4","2010-04",18,4412,0.00407978241160471,0
"5","2010-05",9,4449,0.00202292650033715,0
"6","2010-06",14,4423,0.00316527243952069,0
"7","2010-07",18,4402,0.00408905043162199,0
"8","2010-08",9,4411,0.00204035366130129,0
"9","2010-09",9,4411,0.00204035366130129,0
"10","2010-10",18,4407,0.00408441116405718,0
"11","2010-11",27,4416,0.00611413043478261,0
"12","2010-12",0,4381,0,0
"13","2011-01",9,4363,0.00206280082512033,0
"14","2011-02",18,4368,0.00412087912087912,0
"15","2011-03",9,4381,0.00205432549646199,0
"16","2011-04",18,4417,0.00407516413855558,0
"17","2011-05",9,4417,0.00203758206927779,0
"18","2011-06",18,4413,0.00407885791978246,0
"19","2011-07",9,4440,0.00202702702702703,0
"20","2011-08",9,4458,0.00201884253028264,0
"21","2011-09",27,4476,0.00603217158176944,0
"22","2011-10",9,4472,0.00201252236135957,0
"23","2011-11",0,4473,0,0
"24","2011-12",0,4496,0,0
"25","2012-01",9,4514,0.00199379707576429,0
"26","2012-02",9,4541,0.00198194230345739,0
"27","2012-03",27,4568,0.00591068301225919,0
"28","2012-04",9,4546,0.00197976242850858,0
"29","2012-05",9,4546,0.00197976242850858,0
"30","2012-06",9,4551,0.001977587343441,0
"31","2012-07",18,4551,0.003955174686882,0
"32","2012-08",0,4569,0,0
"33","2012-09",9,4534,0.00198500220555801,0
"34","2012-10",18,4548,0.00395778364116095,0
"35","2012-11",0,4553,0,0
"36","2012-12",9,4562,0.00197281893906182,0
"37","2013-01",9,4562,0.00197281893906182,0
"38","2013-02",27,4553,0.00593015594113771,0
"39","2013-03",45,4567,0.00985329537989928,0
"40","2013-04",9,4581,0.00196463654223969,0
"41","2013-05",9,4577,0.00196635350666375,0
"42","2013-06",27,4532,0.0059576345984113,0
"43","2013-07",27,4528,0.00596289752650177,0
"44","2013-08",0,4506,0,0
"45","2013-09",50,4524,0.01105216622458,0
"46","2013-10",19,4520,0.00420353982300885,0
"47","2013-11",0,4488,0,0
"48","2013-12",9,4470,0.00201342281879195,0
"49","2014-01",32,4466,0.00716524854455889,0
"50","2014-02",18,4475,0.00402234636871508,0
"51","2014-03",5,4471,0.00111831804965332,0
"52","2014-04",51,4489,0.0113611049231455,0
"53","2014-05",28,4462,0.00627521290900941,0
"54","2014-06",0,4462,0,0
"55","2014-07",5,4458,0.00112157918349035,0
"56","2014-08",27,4467,0.00604432505036938,0
"57","2014-09",27,4467,0.00604432505036938,0
"58","2014-10",32,4445,0.00719910011248594,0
"59","2014-11",9,4445,0.00202474690663667,0
"60","2014-12",14,4445,0.0031496062992126,0
