"YM","N","Freq","rates","masked"
"2010-01",1,492,0.00203252032520325,1
"2010-02",1,492,0.00203252032520325,1
"2010-03",2,489,0.00408997955010225,1
"2010-04",2,483,0.0041407867494824,1
"2010-05",1,486,0.00205761316872428,1
"2010-06",1,482,0.0020746887966805,1
"2010-07",2,478,0.00418410041841004,1
"2010-08",1,479,0.00208768267223382,1
"2010-09",1,479,0.00208768267223382,1
"2010-10",2,478,0.00418410041841004,1
"2010-11",3,479,0.00626304801670146,1
"2010-12",0,474,0,0
"2011-01",1,472,0.00211864406779661,1
"2011-02",2,472,0.00423728813559322,1
"2011-03",1,474,0.00210970464135021,1
"2011-04",2,478,0.00418410041841004,1
"2011-05",1,478,0.00209205020920502,1
"2011-06",2,477,0.00419287211740042,1
"2011-07",1,480,0.00208333333333333,1
"2011-08",1,482,0.0020746887966805,1
"2011-09",3,484,0.00619834710743802,1
"2011-10",1,483,0.0020703933747412,1
"2011-11",0,482,0,0
"2011-12",0,484,0,0
"2012-01",1,486,0.00205761316872428,1
"2012-02",1,489,0.00204498977505112,1
"2012-03",3,492,0.00609756097560976,1
"2012-04",1,489,0.00204498977505112,1
"2012-05",1,489,0.00204498977505112,1
"2012-06",1,489,0.00204498977505112,1
"2012-07",2,489,0.00408997955010225,1
"2012-08",0,491,0,0
"2012-09",1,487,0.00205338809034908,1
"2012-10",2,488,0.00409836065573771,1
"2012-11",0,488,0,0
"2012-12",1,489,0.00204498977505112,1
"2013-01",1,489,0.00204498977505112,1
"2013-02",3,488,0.00614754098360656,1
"2013-03",5,489,0.0102249488752556,0
"2013-04",1,490,0.00204081632653061,1
"2013-05",1,489,0.00204498977505112,1
"2013-06",3,484,0.00619834710743802,1
"2013-07",3,483,0.0062111801242236,1
"2013-08",0,480,0,0
"2013-09",5,482,0.0103734439834025,0
"2013-10",1,481,0.00207900207900208,1
"2013-11",0,478,0,0
"2013-12",1,475,0.00210526315789474,1
"2014-01",3,474,0.00632911392405063,1
"2014-02",2,475,0.00421052631578947,1
"2014-03",0,474,0,0
"2014-04",4,476,0.00840336134453781,1
"2014-05",2,473,0.00422832980972516,1
"2014-06",0,473,0,0
"2014-07",0,472,0,0
"2014-08",3,473,0.00634249471458774,1
"2014-09",3,473,0.00634249471458774,1
"2014-10",3,470,0.00638297872340425,1
"2014-11",1,470,0.00212765957446809,1
"2014-12",1,470,0.00212765957446809,1
"2015-01",3,471,0.00636942675159236,1
"2015-02",2,471,0.00424628450106157,1
"2015-03",2,470,0.00425531914893617,1
"2015-04",1,470,0.00212765957446809,1
"2015-05",2,471,0.00424628450106157,1
"2015-06",1,469,0.00213219616204691,1
"2015-07",2,465,0.0043010752688172,1
"2015-08",3,463,0.00647948164146868,1
"2015-09",5,459,0.0108932461873638,0
"2015-10",0,457,0,0
"2015-11",2,456,0.0043859649122807,1
"2015-12",6,454,0.013215859030837,0
"2016-01",2,452,0.00442477876106195,1
"2016-02",0,449,0,0
"2016-03",7,448,0.015625,0
"2016-04",3,448,0.00669642857142857,1
"2016-05",3,445,0.00674157303370787,1
"2016-06",2,441,0.00453514739229025,1
"2016-07",4,442,0.00904977375565611,1
"2016-08",0,441,0,0
"2016-09",3,439,0.00683371298405467,1
"2016-10",4,439,0.00911161731207289,1
"2016-11",1,439,0.00227790432801822,1
"2016-12",2,440,0.00454545454545455,1
"2017-01",4,436,0.00917431192660551,1
"2017-02",1,436,0.00229357798165138,1
"2017-03",1,436,0.00229357798165138,1
"2017-04",5,434,0.0115207373271889,0
"2017-05",1,432,0.00231481481481481,1
"2017-06",2,429,0.00466200466200466,1
"2017-07",2,427,0.00468384074941452,1
"2017-08",3,422,0.00710900473933649,1
"2017-09",3,421,0.00712589073634204,1
"2017-10",1,421,0.00237529691211401,1
"2017-11",2,418,0.00478468899521531,1
"2017-12",3,418,0.00717703349282297,1
"2018-01",2,415,0.00481927710843374,1
"2018-02",2,413,0.00484261501210654,1
"2018-03",3,413,0.00726392251815981,1
"2018-04",4,412,0.00970873786407767,1
"2018-05",1,409,0.00244498777506112,1
"2018-06",3,408,0.00735294117647059,1
"2018-07",1,404,0.00247524752475248,1
"2018-08",2,402,0.00497512437810945,1
"2018-09",3,400,0.0075,1
"2018-10",3,399,0.0075187969924812,1
"2018-11",3,396,0.00757575757575758,1
"2018-12",2,394,0.0050761421319797,1
"2019-01",1,394,0.00253807106598985,1
"2019-02",1,393,0.00254452926208651,1
"2019-03",1,392,0.00255102040816327,1
"2019-04",3,390,0.00769230769230769,1
"2019-05",2,390,0.00512820512820513,1
"2019-06",1,390,0.00256410256410256,1
"2019-07",0,388,0,0
"2019-08",0,387,0,0
"2019-09",0,386,0,0
"2019-10",2,386,0.00518134715025907,1
"2019-11",0,385,0,0
"2019-12",3,385,0.00779220779220779,1
"2020-01",0,382,0,0
"2020-02",0,381,0,0
"2020-03",1,381,0.0026246719160105,1
"2020-04",0,381,0,0
"2020-05",0,383,0,0
"2020-06",0,379,0,0
"2020-07",0,379,0,0
"2020-08",0,378,0,0
"2020-09",0,376,0,0
"2020-10",0,377,0,0
"2020-11",0,376,0,0
"2020-12",0,376,0,0
