"YM","N","Freq","rates","masked"
"2010-01",1,502,0.00199203187250996,1
"2010-02",1,502,0.00199203187250996,1
"2010-03",2,501,0.00399201596806387,1
"2010-04",2,496,0.00403225806451613,1
"2010-05",1,501,0.00199600798403194,1
"2010-06",2,499,0.00400801603206413,1
"2010-07",2,498,0.00401606425702811,1
"2010-08",1,499,0.00200400801603206,1
"2010-09",1,499,0.00200400801603206,1
"2010-10",2,499,0.00400801603206413,1
"2010-11",3,500,0.006,1
"2010-12",0,497,0,0
"2011-01",1,495,0.00202020202020202,1
"2011-02",2,496,0.00403225806451613,1
"2011-03",1,497,0.00201207243460765,1
"2011-04",2,501,0.00399201596806387,1
"2011-05",1,501,0.00199600798403194,1
"2011-06",2,501,0.00399201596806387,1
"2011-07",1,504,0.00198412698412698,1
"2011-08",1,506,0.00197628458498024,1
"2011-09",3,508,0.00590551181102362,1
"2011-10",1,508,0.00196850393700787,1
"2011-11",0,509,0,0
"2011-12",0,512,0,0
"2012-01",1,514,0.00194552529182879,1
"2012-02",1,517,0.00193423597678917,1
"2012-03",3,520,0.00576923076923077,1
"2012-04",1,518,0.00193050193050193,1
"2012-05",1,518,0.00193050193050193,1
"2012-06",1,519,0.00192678227360308,1
"2012-07",2,519,0.00385356454720617,1
"2012-08",0,521,0,0
"2012-09",1,517,0.00193423597678917,1
"2012-10",2,519,0.00385356454720617,1
"2012-11",0,520,0,0
"2012-12",1,521,0.00191938579654511,1
"2013-01",1,521,0.00191938579654511,1
"2013-02",3,520,0.00576923076923077,1
"2013-03",5,522,0.00957854406130268,0
"2013-04",1,524,0.00190839694656489,1
"2013-05",1,524,0.00190839694656489,1
"2013-06",3,519,0.00578034682080925,1
"2013-07",3,519,0.00578034682080925,1
"2013-08",0,517,0,0
"2013-09",6,519,0.0115606936416185,0
"2013-10",3,519,0.00578034682080925,1
"2013-11",0,515,0,0
"2013-12",1,513,0.00194931773879142,1
"2014-01",4,513,0.00779727095516569,1
"2014-02",2,514,0.00389105058365759,1
"2014-03",1,514,0.00194552529182879,1
"2014-04",7,516,0.0135658914728682,0
"2014-05",4,513,0.00779727095516569,1
"2014-06",0,513,0,0
"2014-07",1,513,0.00194931773879142,1
"2014-08",3,514,0.00583657587548638,1
"2014-09",3,514,0.00583657587548638,1
"2014-10",4,512,0.0078125,1
"2014-11",1,512,0.001953125,1
"2014-12",2,512,0.00390625,1
"2015-01",3,514,0.00583657587548638,1
"2015-02",2,514,0.00389105058365759,1
"2015-03",2,513,0.00389863547758285,1
"2015-04",1,513,0.00194931773879142,1
"2015-05",2,515,0.00388349514563107,1
"2015-06",1,513,0.00194931773879142,1
"2015-07",2,511,0.00391389432485323,1
"2015-08",4,511,0.00782778864970646,1
"2015-09",6,509,0.0117878192534381,0
"2015-10",0,507,0,0
"2015-11",3,506,0.00592885375494071,1
"2015-12",6,504,0.0119047619047619,0
"2016-01",2,502,0.00398406374501992,1
"2016-02",0,500,0,0
"2016-03",7,499,0.0140280561122244,0
"2016-04",6,500,0.012,0
"2016-05",4,497,0.00804828973843058,1
"2016-06",2,493,0.00405679513184584,1
"2016-07",4,495,0.00808080808080808,1
"2016-08",0,496,0,0
"2016-09",3,494,0.00607287449392713,1
"2016-10",4,494,0.00809716599190283,1
"2016-11",1,493,0.00202839756592292,1
"2016-12",2,494,0.00404858299595142,1
"2017-01",4,490,0.00816326530612245,1
"2017-02",1,490,0.00204081632653061,1
"2017-03",1,490,0.00204081632653061,1
"2017-04",5,488,0.0102459016393443,0
"2017-05",1,487,0.00205338809034908,1
"2017-06",2,486,0.00411522633744856,1
"2017-07",2,485,0.00412371134020619,1
"2017-08",3,482,0.00622406639004149,1
"2017-09",3,480,0.00625,1
"2017-10",1,479,0.00208768267223382,1
"2017-11",3,474,0.00632911392405063,1
"2017-12",3,475,0.00631578947368421,1
"2018-01",2,473,0.00422832980972516,1
"2018-02",2,472,0.00423728813559322,1
"2018-03",4,472,0.00847457627118644,1
"2018-04",5,471,0.0106157112526539,0
"2018-05",2,470,0.00425531914893617,1
"2018-06",4,469,0.00852878464818763,1
"2018-07",1,465,0.0021505376344086,1
"2018-08",3,463,0.00647948164146868,1
"2018-09",3,462,0.00649350649350649,1
"2018-10",4,461,0.00867678958785249,1
"2018-11",3,459,0.0065359477124183,1
"2018-12",2,457,0.00437636761487965,1
"2019-01",1,457,0.00218818380743982,1
"2019-02",3,456,0.00657894736842105,1
"2019-03",5,455,0.010989010989011,0
"2019-04",4,453,0.00883002207505519,1
"2019-05",2,453,0.00441501103752759,1
"2019-06",4,452,0.00884955752212389,1
"2019-07",0,451,0,0
"2019-08",0,451,0,0
"2019-09",2,451,0.00443458980044346,1
"2019-10",4,451,0.00886917960088692,1
"2019-11",0,452,0,0
"2019-12",4,452,0.00884955752212389,1
"2020-01",3,449,0.0066815144766147,1
"2020-02",0,448,0,0
"2020-03",2,449,0.0044543429844098,1
"2020-04",0,449,0,0
"2020-05",0,451,0,0
"2020-06",0,447,0,0
"2020-07",0,447,0,0
"2020-08",0,447,0,0
"2020-09",0,445,0,0
"2020-10",0,446,0,0
"2020-11",0,444,0,0
"2020-12",0,443,0,0
