"YM","N","Freq","rates","masked"
"2010-01",1,502,0.00199203187250996,1
"2010-02",1,502,0.00199203187250996,1
"2010-03",2,501,0.00399201596806387,1
"2010-04",2,496,0.00403225806451613,1
"2010-05",1,501,0.00199600798403194,1
"2010-06",2,499,0.00400801603206413,1
"2010-07",2,498,0.00401606425702811,1
"2010-08",1,499,0.00200400801603206,1
"2010-09",1,499,0.00200400801603206,1
"2010-10",2,499,0.00400801603206413,1
"2010-11",3,500,0.006,1
"2010-12",0,497,0,0
"2011-01",1,495,0.00202020202020202,1
"2011-02",2,496,0.00403225806451613,1
"2011-03",1,497,0.00201207243460765,1
"2011-04",2,501,0.00399201596806387,1
"2011-05",1,501,0.00199600798403194,1
"2011-06",2,501,0.00399201596806387,1
"2011-07",1,504,0.00198412698412698,1
"2011-08",1,506,0.00197628458498024,1
"2011-09",3,508,0.00590551181102362,1
"2011-10",1,508,0.00196850393700787,1
"2011-11",0,509,0,0
"2011-12",0,512,0,0
"2012-01",1,514,0.00194552529182879,1
"2012-02",1,517,0.00193423597678917,1
"2012-03",3,520,0.00576923076923077,1
"2012-04",1,518,0.00193050193050193,1
"2012-05",1,518,0.00193050193050193,1
"2012-06",1,519,0.00192678227360308,1
"2012-07",2,519,0.00385356454720617,1
"2012-08",0,521,0,0
"2012-09",1,518,0.00193050193050193,1
"2012-10",2,520,0.00384615384615385,1
"2012-11",0,521,0,0
"2012-12",1,522,0.00191570881226054,1
"2013-01",1,522,0.00191570881226054,1
"2013-02",3,521,0.00575815738963532,1
"2013-03",5,523,0.00956022944550669,0
"2013-04",1,525,0.0019047619047619,1
"2013-05",1,525,0.0019047619047619,1
"2013-06",3,520,0.00576923076923077,1
"2013-07",3,520,0.00576923076923077,1
"2013-08",0,518,0,0
"2013-09",6,520,0.0115384615384615,0
"2013-10",3,520,0.00576923076923077,1
"2013-11",0,516,0,0
"2013-12",1,515,0.00194174757281553,1
"2014-01",4,515,0.00776699029126214,1
"2014-02",2,516,0.00387596899224806,1
"2014-03",1,516,0.00193798449612403,1
"2014-04",7,518,0.0135135135135135,0
"2014-05",4,515,0.00776699029126214,1
"2014-06",0,515,0,0
"2014-07",1,515,0.00194174757281553,1
"2014-08",3,516,0.00581395348837209,1
"2014-09",3,516,0.00581395348837209,1
"2014-10",4,514,0.00778210116731518,1
"2014-11",1,514,0.00194552529182879,1
"2014-12",2,514,0.00389105058365759,1
"2015-01",3,516,0.00581395348837209,1
"2015-02",2,516,0.00387596899224806,1
"2015-03",2,515,0.00388349514563107,1
"2015-04",1,515,0.00194174757281553,1
"2015-05",2,517,0.00386847195357834,1
"2015-06",1,515,0.00194174757281553,1
"2015-07",2,513,0.00389863547758285,1
"2015-08",4,513,0.00779727095516569,1
"2015-09",6,511,0.0117416829745597,0
"2015-10",0,509,0,0
"2015-11",3,508,0.00590551181102362,1
"2015-12",6,506,0.0118577075098814,0
"2016-01",2,504,0.00396825396825397,1
"2016-02",0,502,0,0
"2016-03",7,501,0.0139720558882236,0
"2016-04",6,502,0.0119521912350598,0
"2016-05",4,499,0.00801603206412826,1
"2016-06",2,495,0.00404040404040404,1
"2016-07",4,497,0.00804828973843058,1
"2016-08",0,498,0,0
"2016-09",3,496,0.00604838709677419,1
"2016-10",4,496,0.00806451612903226,1
"2016-11",1,495,0.00202020202020202,1
"2016-12",2,496,0.00403225806451613,1
"2017-01",4,492,0.00813008130081301,1
"2017-02",1,492,0.00203252032520325,1
"2017-03",1,492,0.00203252032520325,1
"2017-04",5,490,0.0102040816326531,0
"2017-05",2,489,0.00408997955010225,1
"2017-06",2,488,0.00409836065573771,1
"2017-07",2,487,0.00410677618069815,1
"2017-08",3,484,0.00619834710743802,1
"2017-09",3,482,0.00622406639004149,1
"2017-10",1,481,0.00207900207900208,1
"2017-11",3,477,0.00628930817610063,1
"2017-12",3,477,0.00628930817610063,1
"2018-01",2,475,0.00421052631578947,1
"2018-02",2,474,0.00421940928270042,1
"2018-03",4,474,0.00843881856540084,1
"2018-04",5,473,0.0105708245243129,0
"2018-05",2,472,0.00423728813559322,1
"2018-06",4,471,0.00849256900212314,1
"2018-07",1,467,0.00214132762312634,1
"2018-08",3,465,0.00645161290322581,1
"2018-09",3,464,0.00646551724137931,1
"2018-10",4,463,0.00863930885529158,1
"2018-11",3,461,0.00650759219088937,1
"2018-12",2,459,0.00435729847494553,1
"2019-01",1,459,0.00217864923747277,1
"2019-02",3,458,0.00655021834061135,1
"2019-03",5,457,0.0109409190371991,0
"2019-04",4,455,0.00879120879120879,1
"2019-05",2,455,0.0043956043956044,1
"2019-06",4,454,0.00881057268722467,1
"2019-07",0,453,0,0
"2019-08",0,453,0,0
"2019-09",2,453,0.00441501103752759,1
"2019-10",4,453,0.00883002207505519,1
"2019-11",0,454,0,0
"2019-12",4,454,0.00881057268722467,1
"2020-01",3,451,0.00665188470066519,1
"2020-02",0,450,0,0
"2020-03",2,451,0.00443458980044346,1
"2020-04",0,451,0,0
"2020-05",0,453,0,0
"2020-06",0,449,0,0
"2020-07",0,449,0,0
"2020-08",0,448,0,0
"2020-09",0,446,0,0
"2020-10",0,447,0,0
"2020-11",0,445,0,0
"2020-12",0,444,0,0
