"YM","N","Freq","rates","masked"
"2010-01",1,492,0.00203252032520325,1
"2010-02",1,492,0.00203252032520325,1
"2010-03",2,489,0.00408997955010225,1
"2010-04",2,483,0.0041407867494824,1
"2010-05",1,486,0.00205761316872428,1
"2010-06",1,482,0.0020746887966805,1
"2010-07",2,478,0.00418410041841004,1
"2010-08",1,479,0.00208768267223382,1
"2010-09",1,479,0.00208768267223382,1
"2010-10",2,478,0.00418410041841004,1
"2010-11",3,479,0.00626304801670146,1
"2010-12",0,474,0,0
"2011-01",1,472,0.00211864406779661,1
"2011-02",2,472,0.00423728813559322,1
"2011-03",1,474,0.00210970464135021,1
"2011-04",2,478,0.00418410041841004,1
"2011-05",1,478,0.00209205020920502,1
"2011-06",2,477,0.00419287211740042,1
"2011-07",1,480,0.00208333333333333,1
"2011-08",1,482,0.0020746887966805,1
"2011-09",3,484,0.00619834710743802,1
"2011-10",1,483,0.0020703933747412,1
"2011-11",0,482,0,0
"2011-12",0,484,0,0
"2012-01",1,486,0.00205761316872428,1
"2012-02",1,489,0.00204498977505112,1
"2012-03",3,492,0.00609756097560976,1
"2012-04",1,489,0.00204498977505112,1
"2012-05",1,489,0.00204498977505112,1
"2012-06",1,489,0.00204498977505112,1
"2012-07",2,489,0.00408997955010225,1
"2012-08",0,491,0,0
"2012-09",1,486,0.00205761316872428,1
"2012-10",2,487,0.00410677618069815,1
"2012-11",0,487,0,0
"2012-12",1,488,0.00204918032786885,1
"2013-01",1,488,0.00204918032786885,1
"2013-02",3,487,0.00616016427104723,1
"2013-03",5,488,0.0102459016393443,0
"2013-04",1,489,0.00204498977505112,1
"2013-05",1,488,0.00204918032786885,1
"2013-06",3,483,0.0062111801242236,1
"2013-07",3,482,0.00622406639004149,1
"2013-08",0,479,0,0
"2013-09",5,481,0.0103950103950104,0
"2013-10",1,480,0.00208333333333333,1
"2013-11",0,477,0,0
"2013-12",1,474,0.00210970464135021,1
"2014-01",3,473,0.00634249471458774,1
"2014-02",2,474,0.00421940928270042,1
"2014-03",0,473,0,0
"2014-04",4,475,0.00842105263157895,1
"2014-05",2,472,0.00423728813559322,1
"2014-06",0,472,0,0
"2014-07",0,471,0,0
"2014-08",3,472,0.00635593220338983,1
"2014-09",3,472,0.00635593220338983,1
"2014-10",3,469,0.00639658848614072,1
"2014-11",1,469,0.00213219616204691,1
"2014-12",1,469,0.00213219616204691,1
"2015-01",3,470,0.00638297872340425,1
"2015-02",2,470,0.00425531914893617,1
"2015-03",2,469,0.00426439232409382,1
"2015-04",1,469,0.00213219616204691,1
"2015-05",2,470,0.00425531914893617,1
"2015-06",1,468,0.00213675213675214,1
"2015-07",2,464,0.00431034482758621,1
"2015-08",3,462,0.00649350649350649,1
"2015-09",5,458,0.0109170305676856,0
"2015-10",0,456,0,0
"2015-11",2,455,0.0043956043956044,1
"2015-12",6,453,0.0132450331125828,0
"2016-01",2,451,0.00443458980044346,1
"2016-02",0,448,0,0
"2016-03",7,447,0.0156599552572707,0
"2016-04",3,447,0.00671140939597315,1
"2016-05",3,444,0.00675675675675676,1
"2016-06",2,440,0.00454545454545455,1
"2016-07",4,441,0.0090702947845805,1
"2016-08",0,440,0,0
"2016-09",3,438,0.00684931506849315,1
"2016-10",4,438,0.0091324200913242,1
"2016-11",1,438,0.00228310502283105,1
"2016-12",2,439,0.00455580865603645,1
"2017-01",4,435,0.00919540229885057,1
"2017-02",1,435,0.00229885057471264,1
"2017-03",1,435,0.00229885057471264,1
"2017-04",5,433,0.0115473441108545,0
"2017-05",1,431,0.00232018561484919,1
"2017-06",2,428,0.00467289719626168,1
"2017-07",2,426,0.00469483568075117,1
"2017-08",3,421,0.00712589073634204,1
"2017-09",3,420,0.00714285714285714,1
"2017-10",1,420,0.00238095238095238,1
"2017-11",2,416,0.00480769230769231,1
"2017-12",3,417,0.00719424460431655,1
"2018-01",2,414,0.00483091787439614,1
"2018-02",2,412,0.00485436893203883,1
"2018-03",3,412,0.00728155339805825,1
"2018-04",4,411,0.0097323600973236,1
"2018-05",1,408,0.00245098039215686,1
"2018-06",3,407,0.00737100737100737,1
"2018-07",1,403,0.00248138957816377,1
"2018-08",2,401,0.00498753117206983,1
"2018-09",3,399,0.0075187969924812,1
"2018-10",3,398,0.00753768844221105,1
"2018-11",3,395,0.00759493670886076,1
"2018-12",2,393,0.00508905852417303,1
"2019-01",1,393,0.00254452926208651,1
"2019-02",1,392,0.00255102040816327,1
"2019-03",1,391,0.00255754475703325,1
"2019-04",3,389,0.0077120822622108,1
"2019-05",2,389,0.0051413881748072,1
"2019-06",1,389,0.0025706940874036,1
"2019-07",0,387,0,0
"2019-08",0,386,0,0
"2019-09",0,385,0,0
"2019-10",2,385,0.00519480519480519,1
"2019-11",0,384,0,0
"2019-12",3,384,0.0078125,1
"2020-01",0,381,0,0
"2020-02",0,380,0,0
"2020-03",1,380,0.00263157894736842,1
"2020-04",0,380,0,0
"2020-05",0,382,0,0
"2020-06",0,378,0,0
"2020-07",0,378,0,0
"2020-08",0,378,0,0
"2020-09",0,376,0,0
"2020-10",0,377,0,0
"2020-11",0,376,0,0
"2020-12",0,376,0,0
