"YM","N","Freq","rates","masked"
"2010-01",2,492,0.0040650406504065,1
"2010-02",3,492,0.00609756097560976,1
"2010-03",3,489,0.00613496932515337,1
"2010-04",3,483,0.0062111801242236,1
"2010-05",3,486,0.00617283950617284,1
"2010-06",3,482,0.00622406639004149,1
"2010-07",2,478,0.00418410041841004,1
"2010-08",4,479,0.00835073068893528,1
"2010-09",2,479,0.00417536534446764,1
"2010-10",3,478,0.00627615062761506,1
"2010-11",1,479,0.00208768267223382,1
"2010-12",2,474,0.00421940928270042,1
"2011-01",3,472,0.00635593220338983,1
"2011-02",3,472,0.00635593220338983,1
"2011-03",0,474,0,0
"2011-04",4,478,0.00836820083682008,1
"2011-05",1,478,0.00209205020920502,1
"2011-06",0,477,0,0
"2011-07",2,480,0.00416666666666667,1
"2011-08",3,482,0.00622406639004149,1
"2011-09",3,484,0.00619834710743802,1
"2011-10",2,483,0.0041407867494824,1
"2011-11",3,482,0.00622406639004149,1
"2011-12",2,484,0.00413223140495868,1
"2012-01",4,486,0.00823045267489712,1
"2012-02",3,489,0.00613496932515337,1
"2012-03",1,492,0.00203252032520325,1
"2012-04",2,489,0.00408997955010225,1
"2012-05",3,489,0.00613496932515337,1
"2012-06",4,489,0.0081799591002045,1
"2012-07",1,489,0.00204498977505112,1
"2012-08",4,491,0.00814663951120163,1
"2012-09",0,487,0,0
"2012-10",1,488,0.00204918032786885,1
"2012-11",3,488,0.00614754098360656,1
"2012-12",1,489,0.00204498977505112,1
"2013-01",1,489,0.00204498977505112,1
"2013-02",0,488,0,0
"2013-03",2,489,0.00408997955010225,1
"2013-04",2,490,0.00408163265306122,1
"2013-05",0,489,0,0
"2013-06",1,484,0.00206611570247934,1
"2013-07",2,483,0.0041407867494824,1
"2013-08",1,480,0.00208333333333333,1
"2013-09",1,482,0.0020746887966805,1
"2013-10",0,481,0,0
"2013-11",1,478,0.00209205020920502,1
"2013-12",1,475,0.00210526315789474,1
"2014-01",0,474,0,0
"2014-02",0,475,0,0
"2014-03",1,474,0.00210970464135021,1
"2014-04",0,476,0,0
"2014-05",1,473,0.00211416490486258,1
"2014-06",1,473,0.00211416490486258,1
"2014-07",2,472,0.00423728813559322,1
"2014-08",0,473,0,0
"2014-09",0,473,0,0
"2014-10",1,470,0.00212765957446809,1
"2014-11",0,470,0,0
"2014-12",1,470,0.00212765957446809,1
"2015-01",1,471,0.00212314225053079,1
"2015-02",1,471,0.00212314225053079,1
"2015-03",1,470,0.00212765957446809,1
"2015-04",0,470,0,0
"2015-05",1,471,0.00212314225053079,1
"2015-06",1,469,0.00213219616204691,1
"2015-07",0,465,0,0
"2015-08",2,463,0.00431965442764579,1
"2015-09",0,459,0,0
"2015-10",1,457,0.00218818380743982,1
"2015-11",1,456,0.00219298245614035,1
"2015-12",1,454,0.00220264317180617,1
"2016-01",1,452,0.00221238938053097,1
"2016-02",1,449,0.0022271714922049,1
"2016-03",4,448,0.00892857142857143,1
"2016-04",1,448,0.00223214285714286,1
"2016-05",1,445,0.00224719101123596,1
"2016-06",0,441,0,0
"2016-07",3,442,0.00678733031674208,1
"2016-08",0,441,0,0
"2016-09",0,439,0,0
"2016-10",0,439,0,0
"2016-11",0,439,0,0
"2016-12",0,440,0,0
"2017-01",0,436,0,0
"2017-02",0,436,0,0
"2017-03",0,436,0,0
"2017-04",0,434,0,0
"2017-05",0,432,0,0
"2017-06",0,429,0,0
"2017-07",0,427,0,0
"2017-08",0,422,0,0
"2017-09",0,421,0,0
"2017-10",0,421,0,0
"2017-11",0,418,0,0
"2017-12",0,418,0,0
"2018-01",0,415,0,0
"2018-02",0,413,0,0
"2018-03",0,413,0,0
"2018-04",0,412,0,0
"2018-05",0,409,0,0
"2018-06",0,408,0,0
"2018-07",0,404,0,0
"2018-08",0,402,0,0
"2018-09",0,400,0,0
"2018-10",0,399,0,0
"2018-11",0,396,0,0
"2018-12",0,394,0,0
"2019-01",0,394,0,0
"2019-02",0,393,0,0
"2019-03",0,392,0,0
"2019-04",0,390,0,0
"2019-05",0,390,0,0
"2019-06",0,390,0,0
"2019-07",0,388,0,0
"2019-08",0,387,0,0
"2019-09",0,386,0,0
"2019-10",0,386,0,0
"2019-11",0,385,0,0
"2019-12",0,385,0,0
"2020-01",0,382,0,0
"2020-02",0,381,0,0
"2020-03",0,381,0,0
"2020-04",0,381,0,0
"2020-05",0,383,0,0
"2020-06",0,379,0,0
"2020-07",0,379,0,0
"2020-08",0,378,0,0
"2020-09",0,376,0,0
"2020-10",0,377,0,0
"2020-11",0,376,0,0
"2020-12",0,376,0,0
