"YM","N","Freq","rates","masked"
"2010-01",2,492,0.0040650406504065,1
"2010-02",3,492,0.00609756097560976,1
"2010-03",3,489,0.00613496932515337,1
"2010-04",3,483,0.0062111801242236,1
"2010-05",3,486,0.00617283950617284,1
"2010-06",3,482,0.00622406639004149,1
"2010-07",2,478,0.00418410041841004,1
"2010-08",4,479,0.00835073068893528,1
"2010-09",2,479,0.00417536534446764,1
"2010-10",3,478,0.00627615062761506,1
"2010-11",1,479,0.00208768267223382,1
"2010-12",2,474,0.00421940928270042,1
"2011-01",3,472,0.00635593220338983,1
"2011-02",3,472,0.00635593220338983,1
"2011-03",0,474,0,0
"2011-04",4,478,0.00836820083682008,1
"2011-05",1,478,0.00209205020920502,1
"2011-06",0,477,0,0
"2011-07",2,480,0.00416666666666667,1
"2011-08",3,482,0.00622406639004149,1
"2011-09",3,484,0.00619834710743802,1
"2011-10",2,483,0.0041407867494824,1
"2011-11",3,482,0.00622406639004149,1
"2011-12",2,484,0.00413223140495868,1
"2012-01",4,486,0.00823045267489712,1
"2012-02",3,489,0.00613496932515337,1
"2012-03",1,492,0.00203252032520325,1
"2012-04",2,489,0.00408997955010225,1
"2012-05",3,489,0.00613496932515337,1
"2012-06",4,489,0.0081799591002045,1
"2012-07",1,489,0.00204498977505112,1
"2012-08",4,491,0.00814663951120163,1
"2012-09",0,486,0,0
"2012-10",1,487,0.00205338809034908,1
"2012-11",3,487,0.00616016427104723,1
"2012-12",1,488,0.00204918032786885,1
"2013-01",1,488,0.00204918032786885,1
"2013-02",0,487,0,0
"2013-03",2,488,0.00409836065573771,1
"2013-04",2,489,0.00408997955010225,1
"2013-05",0,488,0,0
"2013-06",1,483,0.0020703933747412,1
"2013-07",2,482,0.004149377593361,1
"2013-08",1,479,0.00208768267223382,1
"2013-09",1,481,0.00207900207900208,1
"2013-10",0,480,0,0
"2013-11",1,477,0.00209643605870021,1
"2013-12",1,474,0.00210970464135021,1
"2014-01",0,473,0,0
"2014-02",0,474,0,0
"2014-03",1,473,0.00211416490486258,1
"2014-04",0,475,0,0
"2014-05",1,472,0.00211864406779661,1
"2014-06",1,472,0.00211864406779661,1
"2014-07",2,471,0.00424628450106157,1
"2014-08",0,472,0,0
"2014-09",0,472,0,0
"2014-10",1,469,0.00213219616204691,1
"2014-11",0,469,0,0
"2014-12",1,469,0.00213219616204691,1
"2015-01",1,470,0.00212765957446809,1
"2015-02",1,470,0.00212765957446809,1
"2015-03",1,469,0.00213219616204691,1
"2015-04",0,469,0,0
"2015-05",1,470,0.00212765957446809,1
"2015-06",1,468,0.00213675213675214,1
"2015-07",0,464,0,0
"2015-08",2,462,0.00432900432900433,1
"2015-09",0,458,0,0
"2015-10",1,456,0.00219298245614035,1
"2015-11",1,455,0.0021978021978022,1
"2015-12",1,453,0.0022075055187638,1
"2016-01",1,451,0.00221729490022173,1
"2016-02",1,448,0.00223214285714286,1
"2016-03",4,447,0.00894854586129754,1
"2016-04",1,447,0.00223713646532438,1
"2016-05",1,444,0.00225225225225225,1
"2016-06",0,440,0,0
"2016-07",3,441,0.00680272108843537,1
"2016-08",0,440,0,0
"2016-09",0,438,0,0
"2016-10",0,438,0,0
"2016-11",0,438,0,0
"2016-12",0,439,0,0
"2017-01",0,435,0,0
"2017-02",0,435,0,0
"2017-03",0,435,0,0
"2017-04",0,433,0,0
"2017-05",0,431,0,0
"2017-06",0,428,0,0
"2017-07",0,426,0,0
"2017-08",0,421,0,0
"2017-09",0,420,0,0
"2017-10",0,420,0,0
"2017-11",0,416,0,0
"2017-12",0,417,0,0
"2018-01",0,414,0,0
"2018-02",0,412,0,0
"2018-03",0,412,0,0
"2018-04",0,411,0,0
"2018-05",0,408,0,0
"2018-06",0,407,0,0
"2018-07",0,403,0,0
"2018-08",0,401,0,0
"2018-09",0,399,0,0
"2018-10",0,398,0,0
"2018-11",0,395,0,0
"2018-12",0,393,0,0
"2019-01",0,393,0,0
"2019-02",0,392,0,0
"2019-03",0,391,0,0
"2019-04",0,389,0,0
"2019-05",0,389,0,0
"2019-06",0,389,0,0
"2019-07",0,387,0,0
"2019-08",0,386,0,0
"2019-09",0,385,0,0
"2019-10",0,385,0,0
"2019-11",0,384,0,0
"2019-12",0,384,0,0
"2020-01",0,381,0,0
"2020-02",0,380,0,0
"2020-03",0,380,0,0
"2020-04",0,380,0,0
"2020-05",0,382,0,0
"2020-06",0,378,0,0
"2020-07",0,378,0,0
"2020-08",0,378,0,0
"2020-09",0,376,0,0
"2020-10",0,377,0,0
"2020-11",0,376,0,0
"2020-12",0,376,0,0
