"YM","N","Freq","rates","masked"
"2010-01",2,502,0.00398406374501992,1
"2010-02",3,502,0.00597609561752988,1
"2010-03",3,501,0.00598802395209581,1
"2010-04",3,496,0.00604838709677419,1
"2010-05",3,501,0.00598802395209581,1
"2010-06",3,499,0.00601202404809619,1
"2010-07",2,498,0.00401606425702811,1
"2010-08",4,499,0.00801603206412826,1
"2010-09",2,499,0.00400801603206413,1
"2010-10",3,499,0.00601202404809619,1
"2010-11",1,500,0.002,1
"2010-12",2,497,0.00402414486921529,1
"2011-01",3,495,0.00606060606060606,1
"2011-02",3,496,0.00604838709677419,1
"2011-03",0,497,0,0
"2011-04",4,501,0.00798403193612774,1
"2011-05",1,501,0.00199600798403194,1
"2011-06",0,501,0,0
"2011-07",2,504,0.00396825396825397,1
"2011-08",3,506,0.00592885375494071,1
"2011-09",3,508,0.00590551181102362,1
"2011-10",2,508,0.00393700787401575,1
"2011-11",3,509,0.00589390962671906,1
"2011-12",2,512,0.00390625,1
"2012-01",4,514,0.00778210116731518,1
"2012-02",3,517,0.00580270793036751,1
"2012-03",1,520,0.00192307692307692,1
"2012-04",2,518,0.00386100386100386,1
"2012-05",3,518,0.00579150579150579,1
"2012-06",4,519,0.00770712909441233,1
"2012-07",1,519,0.00192678227360308,1
"2012-08",4,521,0.00767754318618042,1
"2012-09",0,518,0,0
"2012-10",1,520,0.00192307692307692,1
"2012-11",3,521,0.00575815738963532,1
"2012-12",1,522,0.00191570881226054,1
"2013-01",1,522,0.00191570881226054,1
"2013-02",0,521,0,0
"2013-03",2,523,0.00382409177820268,1
"2013-04",2,525,0.00380952380952381,1
"2013-05",1,525,0.0019047619047619,1
"2013-06",1,520,0.00192307692307692,1
"2013-07",2,520,0.00384615384615385,1
"2013-08",1,518,0.00193050193050193,1
"2013-09",1,520,0.00192307692307692,1
"2013-10",0,520,0,0
"2013-11",1,516,0.00193798449612403,1
"2013-12",1,515,0.00194174757281553,1
"2014-01",0,515,0,0
"2014-02",0,516,0,0
"2014-03",1,516,0.00193798449612403,1
"2014-04",0,518,0,0
"2014-05",1,515,0.00194174757281553,1
"2014-06",1,515,0.00194174757281553,1
"2014-07",2,515,0.00388349514563107,1
"2014-08",0,516,0,0
"2014-09",0,516,0,0
"2014-10",1,514,0.00194552529182879,1
"2014-11",0,514,0,0
"2014-12",1,514,0.00194552529182879,1
"2015-01",1,516,0.00193798449612403,1
"2015-02",1,516,0.00193798449612403,1
"2015-03",1,515,0.00194174757281553,1
"2015-04",0,515,0,0
"2015-05",1,517,0.00193423597678917,1
"2015-06",1,515,0.00194174757281553,1
"2015-07",0,513,0,0
"2015-08",2,513,0.00389863547758285,1
"2015-09",0,511,0,0
"2015-10",1,509,0.00196463654223969,1
"2015-11",1,508,0.00196850393700787,1
"2015-12",1,506,0.00197628458498024,1
"2016-01",1,504,0.00198412698412698,1
"2016-02",1,502,0.00199203187250996,1
"2016-03",4,501,0.00798403193612774,1
"2016-04",1,502,0.00199203187250996,1
"2016-05",1,499,0.00200400801603206,1
"2016-06",0,495,0,0
"2016-07",3,497,0.00603621730382294,1
"2016-08",0,498,0,0
"2016-09",0,496,0,0
"2016-10",0,496,0,0
"2016-11",0,495,0,0
"2016-12",0,496,0,0
"2017-01",0,492,0,0
"2017-02",0,492,0,0
"2017-03",0,492,0,0
"2017-04",0,490,0,0
"2017-05",0,489,0,0
"2017-06",0,488,0,0
"2017-07",0,487,0,0
"2017-08",0,484,0,0
"2017-09",0,482,0,0
"2017-10",0,481,0,0
"2017-11",0,477,0,0
"2017-12",0,477,0,0
"2018-01",0,475,0,0
"2018-02",0,474,0,0
"2018-03",0,474,0,0
"2018-04",0,473,0,0
"2018-05",0,472,0,0
"2018-06",0,471,0,0
"2018-07",0,467,0,0
"2018-08",0,465,0,0
"2018-09",0,464,0,0
"2018-10",0,463,0,0
"2018-11",0,461,0,0
"2018-12",0,459,0,0
"2019-01",0,459,0,0
"2019-02",0,458,0,0
"2019-03",0,457,0,0
"2019-04",0,455,0,0
"2019-05",0,455,0,0
"2019-06",0,454,0,0
"2019-07",0,453,0,0
"2019-08",0,453,0,0
"2019-09",0,453,0,0
"2019-10",0,453,0,0
"2019-11",0,454,0,0
"2019-12",0,454,0,0
"2020-01",0,451,0,0
"2020-02",0,450,0,0
"2020-03",0,451,0,0
"2020-04",0,451,0,0
"2020-05",0,453,0,0
"2020-06",0,449,0,0
"2020-07",0,449,0,0
"2020-08",0,448,0,0
"2020-09",0,446,0,0
"2020-10",0,447,0,0
"2020-11",0,445,0,0
"2020-12",0,444,0,0
