"","YM","N","Freq","rates","masked"
"1","2010-01",18,4478,0.00401965163019205,0
"2","2010-02",9,4478,0.00200982581509603,0
"3","2010-03",0,4461,0,0
"4","2010-04",9,4412,0.00203989120580236,0
"5","2010-05",27,4449,0.00606877950101146,0
"6","2010-06",27,4423,0.00610445399050418,0
"7","2010-07",0,4402,0,0
"8","2010-08",0,4411,0,0
"9","2010-09",27,4411,0.00612106098390388,0
"10","2010-10",5,4407,0.00113455865668255,0
"11","2010-11",9,4416,0.00203804347826087,0
"12","2010-12",18,4381,0.00410865099292399,0
"13","2011-01",27,4363,0.00618840247536099,0
"14","2011-02",9,4368,0.00206043956043956,0
"15","2011-03",0,4381,0,0
"16","2011-04",18,4417,0.00407516413855558,0
"17","2011-05",18,4417,0.00407516413855558,0
"18","2011-06",9,4413,0.00203942895989123,0
"19","2011-07",9,4440,0.00202702702702703,0
"20","2011-08",9,4458,0.00201884253028264,0
"21","2011-09",9,4476,0.00201072386058981,0
"22","2011-10",0,4472,0,0
"23","2011-11",9,4473,0.00201207243460765,0
"24","2011-12",9,4496,0.00200177935943061,0
"25","2012-01",9,4514,0.00199379707576429,0
"26","2012-02",18,4541,0.00396388460691478,0
"27","2012-03",18,4568,0.00394045534150613,0
"28","2012-04",18,4546,0.00395952485701716,0
"29","2012-05",0,4546,0,0
"30","2012-06",14,4551,0.003076246978686,0
"31","2012-07",0,4551,0,0
"32","2012-08",0,4569,0,0
"33","2012-09",5,4534,0.00110277900308778,0
"34","2012-10",18,4548,0.00395778364116095,0
"35","2012-11",9,4553,0.0019767186470459,0
"36","2012-12",18,4562,0.00394563787812363,0
"37","2013-01",9,4562,0.00197281893906182,0
"38","2013-02",41,4553,0.00900505161432023,0
"39","2013-03",23,4567,0.0050361287497263,0
"40","2013-04",18,4581,0.00392927308447937,0
"41","2013-05",9,4577,0.00196635350666375,0
"42","2013-06",14,4532,0.0030891438658429,0
"43","2013-07",0,4528,0,0
"44","2013-08",9,4506,0.00199733688415446,0
"45","2013-09",0,4524,0,0
"46","2013-10",5,4520,0.00110619469026549,0
"47","2013-11",14,4488,0.00311942959001783,0
"48","2013-12",0,4470,0,0
"49","2014-01",9,4466,0.00201522615315719,0
"50","2014-02",36,4475,0.00804469273743017,0
"51","2014-03",27,4471,0.00603891746812794,0
"52","2014-04",0,4489,0,0
"53","2014-05",18,4462,0.00403406544150605,0
"54","2014-06",9,4462,0.00201703272075303,0
"55","2014-07",0,4458,0,0
"56","2014-08",0,4467,0,0
"57","2014-09",0,4467,0,0
"58","2014-10",0,4445,0,0
"59","2014-11",0,4445,0,0
"60","2014-12",9,4445,0.00202474690663667,0
"61","2015-01",9,4459,0.00201838977349181,0
"62","2015-02",9,4459,0.00201838977349181,0
"63","2015-03",9,4450,0.00202247191011236,0
"64","2015-04",5,4450,0.00112359550561798,0
"65","2015-05",9,4464,0.00201612903225806,0
"66","2015-06",0,4446,0,0
"67","2015-07",0,4420,0,0
"68","2015-08",0,4412,0,0
"69","2015-09",0,4386,0,0
"70","2015-10",0,4368,0,0
"71","2015-11",0,4359,0,0
"72","2015-12",9,4341,0.00207325501036628,0
"73","2016-01",0,4323,0,0
"74","2016-02",9,4301,0.00209253661939084,0
"75","2016-03",0,4292,0,0
"76","2016-04",0,4297,0,0
"77","2016-05",5,4270,0.00117096018735363,0
"78","2016-06",0,4234,0,0
"79","2016-07",9,4248,0.00211864406779661,0
"80","2016-08",0,4249,0,0
"81","2016-09",5,4231,0.00118175372252423,0
"82","2016-10",0,4231,0,0
"83","2016-11",0,4226,0,0
"84","2016-12",0,4235,0,0
"85","2017-01",0,4199,0,0
"86","2017-02",9,4199,0.00214336746844487,0
"87","2017-03",9,4199,0.00214336746844487,0
"88","2017-04",0,4181,0,0
"89","2017-05",45,4168,0.0107965451055662,0
"90","2017-06",18,4151,0.00433630450493857,0
"91","2017-07",0,4138,0,0
"92","2017-08",0,4103,0,0
"93","2017-09",18,4089,0.00440205429200293,0
"94","2017-10",0,4084,0,0
"95","2017-11",0,4048,0,0
"96","2017-12",5,4052,0.00123395853899309,0
"97","2018-01",0,4030,0,0
"98","2018-02",23,4017,0.00572566591984068,0
"99","2018-03",0,4017,0,0
"100","2018-04",9,4008,0.00224550898203593,0
"101","2018-05",0,3991,0,0
"102","2018-06",19,3982,0.00477147162230035,0
"103","2018-07",0,3946,0,0
"104","2018-08",0,3928,0,0
"105","2018-09",0,3915,0,0
"106","2018-10",0,3906,0,0
"107","2018-11",0,3884,0,0
"108","2018-12",0,3866,0,0
"109","2019-01",0,3866,0,0
"110","2019-02",9,3857,0.00233341975628727,0
"111","2019-03",0,3848,0,0
"112","2019-04",0,3830,0,0
"113","2019-05",9,3830,0.00234986945169713,0
"114","2019-06",0,3825,0,0
"115","2019-07",0,3812,0,0
"116","2019-08",0,3808,0,0
"117","2019-09",0,3804,0,0
"118","2019-10",0,3804,0,0
"119","2019-11",9,3805,0.00236530880420499,0
"120","2019-12",0,3805,0,0
"121","2020-01",0,3778,0,0
"122","2020-02",0,3769,0,0
"123","2020-03",0,3774,0,0
"124","2020-04",0,3774,0,0
"125","2020-05",0,3792,0,0
"126","2020-06",0,3756,0,0
"127","2020-07",0,3756,0,0
"128","2020-08",0,3751,0,0
"129","2020-09",0,3733,0,0
"130","2020-10",0,3742,0,0
"131","2020-11",0,3728,0,0
"132","2020-12",0,3723,0,0
