"YM","N","Freq","rates","masked"
"2010-01",2,502,0.00398406374501992,1
"2010-02",1,502,0.00199203187250996,1
"2010-03",0,501,0,0
"2010-04",1,496,0.00201612903225806,1
"2010-05",3,501,0.00598802395209581,1
"2010-06",3,499,0.00601202404809619,1
"2010-07",0,498,0,0
"2010-08",0,499,0,0
"2010-09",3,499,0.00601202404809619,1
"2010-10",1,499,0.00200400801603206,1
"2010-11",1,500,0.002,1
"2010-12",2,497,0.00402414486921529,1
"2011-01",3,495,0.00606060606060606,1
"2011-02",1,496,0.00201612903225806,1
"2011-03",0,497,0,0
"2011-04",2,501,0.00399201596806387,1
"2011-05",2,501,0.00399201596806387,1
"2011-06",1,501,0.00199600798403194,1
"2011-07",1,504,0.00198412698412698,1
"2011-08",1,506,0.00197628458498024,1
"2011-09",1,508,0.00196850393700787,1
"2011-10",0,508,0,0
"2011-11",1,509,0.00196463654223969,1
"2011-12",1,512,0.001953125,1
"2012-01",1,514,0.00194552529182879,1
"2012-02",2,517,0.00386847195357834,1
"2012-03",2,520,0.00384615384615385,1
"2012-04",2,518,0.00386100386100386,1
"2012-05",0,518,0,0
"2012-06",2,519,0.00385356454720617,1
"2012-07",0,519,0,0
"2012-08",0,521,0,0
"2012-09",1,517,0.00193423597678917,1
"2012-10",2,519,0.00385356454720617,1
"2012-11",1,520,0.00192307692307692,1
"2012-12",2,521,0.00383877159309021,1
"2013-01",1,521,0.00191938579654511,1
"2013-02",5,520,0.00961538461538462,0
"2013-03",3,522,0.00574712643678161,1
"2013-04",2,524,0.00381679389312977,1
"2013-05",1,524,0.00190839694656489,1
"2013-06",2,519,0.00385356454720617,1
"2013-07",0,519,0,0
"2013-08",1,517,0.00193423597678917,1
"2013-09",0,519,0,0
"2013-10",1,519,0.00192678227360308,1
"2013-11",2,515,0.00388349514563107,1
"2013-12",0,513,0,0
"2014-01",1,513,0.00194931773879142,1
"2014-02",4,514,0.00778210116731518,1
"2014-03",3,514,0.00583657587548638,1
"2014-04",0,516,0,0
"2014-05",2,513,0.00389863547758285,1
"2014-06",1,513,0.00194931773879142,1
"2014-07",0,513,0,0
"2014-08",0,514,0,0
"2014-09",0,514,0,0
"2014-10",0,512,0,0
"2014-11",0,512,0,0
"2014-12",1,512,0.001953125,1
"2015-01",1,514,0.00194552529182879,1
"2015-02",1,514,0.00194552529182879,1
"2015-03",1,513,0.00194931773879142,1
"2015-04",1,513,0.00194931773879142,1
"2015-05",1,515,0.00194174757281553,1
"2015-06",0,513,0,0
"2015-07",0,511,0,0
"2015-08",0,511,0,0
"2015-09",0,509,0,0
"2015-10",0,507,0,0
"2015-11",0,506,0,0
"2015-12",1,504,0.00198412698412698,1
"2016-01",0,502,0,0
"2016-02",1,500,0.002,1
"2016-03",0,499,0,0
"2016-04",0,500,0,0
"2016-05",1,497,0.00201207243460765,1
"2016-06",0,493,0,0
"2016-07",1,495,0.00202020202020202,1
"2016-08",0,496,0,0
"2016-09",1,494,0.00202429149797571,1
"2016-10",0,494,0,0
"2016-11",0,493,0,0
"2016-12",0,494,0,0
"2017-01",0,490,0,0
"2017-02",1,490,0.00204081632653061,1
"2017-03",1,490,0.00204081632653061,1
"2017-04",0,488,0,0
"2017-05",5,487,0.0102669404517454,0
"2017-06",2,486,0.00411522633744856,1
"2017-07",0,485,0,0
"2017-08",0,482,0,0
"2017-09",2,480,0.00416666666666667,1
"2017-10",0,479,0,0
"2017-11",0,474,0,0
"2017-12",1,475,0.00210526315789474,1
"2018-01",0,473,0,0
"2018-02",3,472,0.00635593220338983,1
"2018-03",0,472,0,0
"2018-04",1,471,0.00212314225053079,1
"2018-05",0,470,0,0
"2018-06",3,469,0.00639658848614072,1
"2018-07",0,465,0,0
"2018-08",0,463,0,0
"2018-09",0,462,0,0
"2018-10",0,461,0,0
"2018-11",0,459,0,0
"2018-12",0,457,0,0
"2019-01",0,457,0,0
"2019-02",1,456,0.00219298245614035,1
"2019-03",0,455,0,0
"2019-04",0,453,0,0
"2019-05",1,453,0.0022075055187638,1
"2019-06",0,452,0,0
"2019-07",0,451,0,0
"2019-08",0,451,0,0
"2019-09",0,451,0,0
"2019-10",0,451,0,0
"2019-11",1,452,0.00221238938053097,1
"2019-12",0,452,0,0
"2020-01",0,449,0,0
"2020-02",0,448,0,0
"2020-03",0,449,0,0
"2020-04",0,449,0,0
"2020-05",0,451,0,0
"2020-06",0,447,0,0
"2020-07",0,447,0,0
"2020-08",0,447,0,0
"2020-09",0,445,0,0
"2020-10",0,446,0,0
"2020-11",0,444,0,0
"2020-12",0,443,0,0
