"YM","N","Freq","rates","masked"
"2010-01",2,502,0.00398406374501992,1
"2010-02",1,502,0.00199203187250996,1
"2010-03",0,501,0,0
"2010-04",1,496,0.00201612903225806,1
"2010-05",3,501,0.00598802395209581,1
"2010-06",3,499,0.00601202404809619,1
"2010-07",0,498,0,0
"2010-08",0,499,0,0
"2010-09",3,499,0.00601202404809619,1
"2010-10",1,499,0.00200400801603206,1
"2010-11",1,500,0.002,1
"2010-12",2,497,0.00402414486921529,1
"2011-01",3,495,0.00606060606060606,1
"2011-02",1,496,0.00201612903225806,1
"2011-03",0,497,0,0
"2011-04",2,501,0.00399201596806387,1
"2011-05",2,501,0.00399201596806387,1
"2011-06",1,501,0.00199600798403194,1
"2011-07",1,504,0.00198412698412698,1
"2011-08",1,506,0.00197628458498024,1
"2011-09",1,508,0.00196850393700787,1
"2011-10",0,508,0,0
"2011-11",1,509,0.00196463654223969,1
"2011-12",1,512,0.001953125,1
"2012-01",1,514,0.00194552529182879,1
"2012-02",2,517,0.00386847195357834,1
"2012-03",2,520,0.00384615384615385,1
"2012-04",2,518,0.00386100386100386,1
"2012-05",0,518,0,0
"2012-06",2,519,0.00385356454720617,1
"2012-07",0,519,0,0
"2012-08",0,521,0,0
"2012-09",1,518,0.00193050193050193,1
"2012-10",2,520,0.00384615384615385,1
"2012-11",1,521,0.00191938579654511,1
"2012-12",2,522,0.00383141762452107,1
"2013-01",1,522,0.00191570881226054,1
"2013-02",5,521,0.00959692898272553,0
"2013-03",3,523,0.00573613766730402,1
"2013-04",2,525,0.00380952380952381,1
"2013-05",1,525,0.0019047619047619,1
"2013-06",2,520,0.00384615384615385,1
"2013-07",0,520,0,0
"2013-08",1,518,0.00193050193050193,1
"2013-09",0,520,0,0
"2013-10",1,520,0.00192307692307692,1
"2013-11",2,516,0.00387596899224806,1
"2013-12",0,515,0,0
"2014-01",1,515,0.00194174757281553,1
"2014-02",4,516,0.00775193798449612,1
"2014-03",3,516,0.00581395348837209,1
"2014-04",0,518,0,0
"2014-05",2,515,0.00388349514563107,1
"2014-06",1,515,0.00194174757281553,1
"2014-07",0,515,0,0
"2014-08",0,516,0,0
"2014-09",0,516,0,0
"2014-10",0,514,0,0
"2014-11",0,514,0,0
"2014-12",1,514,0.00194552529182879,1
"2015-01",1,516,0.00193798449612403,1
"2015-02",1,516,0.00193798449612403,1
"2015-03",1,515,0.00194174757281553,1
"2015-04",1,515,0.00194174757281553,1
"2015-05",1,517,0.00193423597678917,1
"2015-06",0,515,0,0
"2015-07",0,513,0,0
"2015-08",0,513,0,0
"2015-09",0,511,0,0
"2015-10",0,509,0,0
"2015-11",0,508,0,0
"2015-12",1,506,0.00197628458498024,1
"2016-01",0,504,0,0
"2016-02",1,502,0.00199203187250996,1
"2016-03",0,501,0,0
"2016-04",0,502,0,0
"2016-05",1,499,0.00200400801603206,1
"2016-06",0,495,0,0
"2016-07",1,497,0.00201207243460765,1
"2016-08",0,498,0,0
"2016-09",1,496,0.00201612903225806,1
"2016-10",0,496,0,0
"2016-11",0,495,0,0
"2016-12",0,496,0,0
"2017-01",0,492,0,0
"2017-02",1,492,0.00203252032520325,1
"2017-03",1,492,0.00203252032520325,1
"2017-04",0,490,0,0
"2017-05",5,489,0.0102249488752556,0
"2017-06",2,488,0.00409836065573771,1
"2017-07",0,487,0,0
"2017-08",0,484,0,0
"2017-09",2,482,0.004149377593361,1
"2017-10",0,481,0,0
"2017-11",0,477,0,0
"2017-12",1,477,0.00209643605870021,1
"2018-01",0,475,0,0
"2018-02",3,474,0.00632911392405063,1
"2018-03",0,474,0,0
"2018-04",2,473,0.00422832980972516,1
"2018-05",0,472,0,0
"2018-06",3,471,0.00636942675159236,1
"2018-07",0,467,0,0
"2018-08",0,465,0,0
"2018-09",0,464,0,0
"2018-10",0,463,0,0
"2018-11",0,461,0,0
"2018-12",0,459,0,0
"2019-01",0,459,0,0
"2019-02",1,458,0.00218340611353712,1
"2019-03",0,457,0,0
"2019-04",0,455,0,0
"2019-05",1,455,0.0021978021978022,1
"2019-06",0,454,0,0
"2019-07",0,453,0,0
"2019-08",0,453,0,0
"2019-09",0,453,0,0
"2019-10",0,453,0,0
"2019-11",1,454,0.00220264317180617,1
"2019-12",0,454,0,0
"2020-01",0,451,0,0
"2020-02",0,450,0,0
"2020-03",0,451,0,0
"2020-04",0,451,0,0
"2020-05",0,453,0,0
"2020-06",0,449,0,0
"2020-07",0,449,0,0
"2020-08",0,448,0,0
"2020-09",0,446,0,0
"2020-10",0,447,0,0
"2020-11",0,445,0,0
"2020-12",0,444,0,0
