"YM","N","Freq","rates","masked"
"2010-01",2,492,0.0040650406504065,1
"2010-02",1,492,0.00203252032520325,1
"2010-03",0,489,0,0
"2010-04",1,483,0.0020703933747412,1
"2010-05",3,486,0.00617283950617284,1
"2010-06",3,482,0.00622406639004149,1
"2010-07",0,478,0,0
"2010-08",0,479,0,0
"2010-09",3,479,0.00626304801670146,1
"2010-10",0,478,0,0
"2010-11",1,479,0.00208768267223382,1
"2010-12",2,474,0.00421940928270042,1
"2011-01",3,472,0.00635593220338983,1
"2011-02",1,472,0.00211864406779661,1
"2011-03",0,474,0,0
"2011-04",2,478,0.00418410041841004,1
"2011-05",2,478,0.00418410041841004,1
"2011-06",1,477,0.00209643605870021,1
"2011-07",1,480,0.00208333333333333,1
"2011-08",1,482,0.0020746887966805,1
"2011-09",1,484,0.00206611570247934,1
"2011-10",0,483,0,0
"2011-11",1,482,0.0020746887966805,1
"2011-12",1,484,0.00206611570247934,1
"2012-01",1,486,0.00205761316872428,1
"2012-02",2,489,0.00408997955010225,1
"2012-03",2,492,0.0040650406504065,1
"2012-04",2,489,0.00408997955010225,1
"2012-05",0,489,0,0
"2012-06",1,489,0.00204498977505112,1
"2012-07",0,489,0,0
"2012-08",0,491,0,0
"2012-09",0,486,0,0
"2012-10",2,487,0.00410677618069815,1
"2012-11",1,487,0.00205338809034908,1
"2012-12",2,488,0.00409836065573771,1
"2013-01",1,488,0.00204918032786885,1
"2013-02",4,487,0.0082135523613963,1
"2013-03",2,488,0.00409836065573771,1
"2013-04",2,489,0.00408997955010225,1
"2013-05",1,488,0.00204918032786885,1
"2013-06",1,483,0.0020703933747412,1
"2013-07",0,482,0,0
"2013-08",1,479,0.00208768267223382,1
"2013-09",0,481,0,0
"2013-10",0,480,0,0
"2013-11",1,477,0.00209643605870021,1
"2013-12",0,474,0,0
"2014-01",1,473,0.00211416490486258,1
"2014-02",4,474,0.00843881856540084,1
"2014-03",3,473,0.00634249471458774,1
"2014-04",0,475,0,0
"2014-05",2,472,0.00423728813559322,1
"2014-06",1,472,0.00211864406779661,1
"2014-07",0,471,0,0
"2014-08",0,472,0,0
"2014-09",0,472,0,0
"2014-10",0,469,0,0
"2014-11",0,469,0,0
"2014-12",1,469,0.00213219616204691,1
"2015-01",1,470,0.00212765957446809,1
"2015-02",1,470,0.00212765957446809,1
"2015-03",1,469,0.00213219616204691,1
"2015-04",0,469,0,0
"2015-05",1,470,0.00212765957446809,1
"2015-06",0,468,0,0
"2015-07",0,464,0,0
"2015-08",0,462,0,0
"2015-09",0,458,0,0
"2015-10",0,456,0,0
"2015-11",0,455,0,0
"2015-12",1,453,0.0022075055187638,1
"2016-01",0,451,0,0
"2016-02",1,448,0.00223214285714286,1
"2016-03",0,447,0,0
"2016-04",0,447,0,0
"2016-05",0,444,0,0
"2016-06",0,440,0,0
"2016-07",1,441,0.00226757369614512,1
"2016-08",0,440,0,0
"2016-09",0,438,0,0
"2016-10",0,438,0,0
"2016-11",0,438,0,0
"2016-12",0,439,0,0
"2017-01",0,435,0,0
"2017-02",1,435,0.00229885057471264,1
"2017-03",1,435,0.00229885057471264,1
"2017-04",0,433,0,0
"2017-05",5,431,0.0116009280742459,0
"2017-06",2,428,0.00467289719626168,1
"2017-07",0,426,0,0
"2017-08",0,421,0,0
"2017-09",2,420,0.00476190476190476,1
"2017-10",0,420,0,0
"2017-11",0,416,0,0
"2017-12",0,417,0,0
"2018-01",0,414,0,0
"2018-02",2,412,0.00485436893203883,1
"2018-03",0,412,0,0
"2018-04",0,411,0,0
"2018-05",0,408,0,0
"2018-06",1,407,0.00245700245700246,1
"2018-07",0,403,0,0
"2018-08",0,401,0,0
"2018-09",0,399,0,0
"2018-10",0,398,0,0
"2018-11",0,395,0,0
"2018-12",0,393,0,0
"2019-01",0,393,0,0
"2019-02",1,392,0.00255102040816327,1
"2019-03",0,391,0,0
"2019-04",0,389,0,0
"2019-05",1,389,0.0025706940874036,1
"2019-06",0,389,0,0
"2019-07",0,387,0,0
"2019-08",0,386,0,0
"2019-09",0,385,0,0
"2019-10",0,385,0,0
"2019-11",1,384,0.00260416666666667,1
"2019-12",0,384,0,0
"2020-01",0,381,0,0
"2020-02",0,380,0,0
"2020-03",0,380,0,0
"2020-04",0,380,0,0
"2020-05",0,382,0,0
"2020-06",0,378,0,0
"2020-07",0,378,0,0
"2020-08",0,378,0,0
"2020-09",0,376,0,0
"2020-10",0,377,0,0
"2020-11",0,376,0,0
"2020-12",0,376,0,0
