"YM","N","Freq","rates","masked"
"2010-01",0,492,0,0
"2010-02",0,492,0,0
"2010-03",2,489,0.00408997955010225,1
"2010-04",0,483,0,0
"2010-05",2,486,0.00411522633744856,1
"2010-06",0,482,0,0
"2010-07",0,478,0,0
"2010-08",0,479,0,0
"2010-09",0,479,0,0
"2010-10",0,478,0,0
"2010-11",0,479,0,0
"2010-12",0,474,0,0
"2011-01",0,472,0,0
"2011-02",1,472,0.00211864406779661,1
"2011-03",1,474,0.00210970464135021,1
"2011-04",0,478,0,0
"2011-05",1,478,0.00209205020920502,1
"2011-06",0,477,0,0
"2011-07",0,480,0,0
"2011-08",0,482,0,0
"2011-09",0,484,0,0
"2011-10",1,483,0.0020703933747412,1
"2011-11",0,482,0,0
"2011-12",1,484,0.00206611570247934,1
"2012-01",3,486,0.00617283950617284,1
"2012-02",0,489,0,0
"2012-03",0,492,0,0
"2012-04",0,489,0,0
"2012-05",0,489,0,0
"2012-06",0,489,0,0
"2012-07",0,489,0,0
"2012-08",0,491,0,0
"2012-09",0,487,0,0
"2012-10",0,488,0,0
"2012-11",0,488,0,0
"2012-12",0,489,0,0
"2013-01",1,489,0.00204498977505112,1
"2013-02",0,488,0,0
"2013-03",0,489,0,0
"2013-04",1,490,0.00204081632653061,1
"2013-05",0,489,0,0
"2013-06",3,484,0.00619834710743802,1
"2013-07",1,483,0.0020703933747412,1
"2013-08",0,480,0,0
"2013-09",0,482,0,0
"2013-10",0,481,0,0
"2013-11",0,478,0,0
"2013-12",1,475,0.00210526315789474,1
"2014-01",2,474,0.00421940928270042,1
"2014-02",0,475,0,0
"2014-03",1,474,0.00210970464135021,1
"2014-04",0,476,0,0
"2014-05",0,473,0,0
"2014-06",0,473,0,0
"2014-07",0,472,0,0
"2014-08",0,473,0,0
"2014-09",0,473,0,0
"2014-10",0,470,0,0
"2014-11",1,470,0.00212765957446809,1
"2014-12",0,470,0,0
"2015-01",0,471,0,0
"2015-02",1,471,0.00212314225053079,1
"2015-03",0,470,0,0
"2015-04",3,470,0.00638297872340425,1
"2015-05",2,471,0.00424628450106157,1
"2015-06",1,469,0.00213219616204691,1
"2015-07",2,465,0.0043010752688172,1
"2015-08",0,463,0,0
"2015-09",0,459,0,0
"2015-10",0,457,0,0
"2015-11",1,456,0.00219298245614035,1
"2015-12",0,454,0,0
"2016-01",1,452,0.00221238938053097,1
"2016-02",0,449,0,0
"2016-03",1,448,0.00223214285714286,1
"2016-04",0,448,0,0
"2016-05",1,445,0.00224719101123596,1
"2016-06",0,441,0,0
"2016-07",0,442,0,0
"2016-08",0,441,0,0
"2016-09",0,439,0,0
"2016-10",0,439,0,0
"2016-11",0,439,0,0
"2016-12",0,440,0,0
"2017-01",0,436,0,0
"2017-02",0,436,0,0
"2017-03",1,436,0.00229357798165138,1
"2017-04",1,434,0.00230414746543779,1
"2017-05",0,432,0,0
"2017-06",0,429,0,0
"2017-07",0,427,0,0
"2017-08",1,422,0.0023696682464455,1
"2017-09",0,421,0,0
"2017-10",0,421,0,0
"2017-11",0,418,0,0
"2017-12",0,418,0,0
"2018-01",0,415,0,0
"2018-02",0,413,0,0
"2018-03",0,413,0,0
"2018-04",0,412,0,0
"2018-05",0,409,0,0
"2018-06",0,408,0,0
"2018-07",0,404,0,0
"2018-08",1,402,0.00248756218905473,1
"2018-09",0,400,0,0
"2018-10",0,399,0,0
"2018-11",1,396,0.00252525252525253,1
"2018-12",3,394,0.00761421319796954,1
"2019-01",3,394,0.00761421319796954,1
"2019-02",0,393,0,0
"2019-03",1,392,0.00255102040816327,1
"2019-04",1,390,0.00256410256410256,1
"2019-05",0,390,0,0
"2019-06",1,390,0.00256410256410256,1
"2019-07",0,388,0,0
"2019-08",0,387,0,0
"2019-09",0,386,0,0
"2019-10",0,386,0,0
"2019-11",0,385,0,0
"2019-12",0,385,0,0
"2020-01",0,382,0,0
"2020-02",0,381,0,0
"2020-03",0,381,0,0
"2020-04",0,381,0,0
"2020-05",0,383,0,0
"2020-06",0,379,0,0
"2020-07",0,379,0,0
"2020-08",0,378,0,0
"2020-09",0,376,0,0
"2020-10",0,377,0,0
"2020-11",0,376,0,0
"2020-12",0,376,0,0
