"","YM","N","Freq","rates","masked"
"1","2010-01",0,4478,0,0
"2","2010-02",8,4478,0.00178651183564091,0
"3","2010-03",4,4461,0.000896659941717104,1
"4","2010-04",8,4412,0.00181323662737987,0
"5","2010-05",8,4449,0.00179815688918858,0
"6","2010-06",12,4423,0.0027130906624463,0
"7","2010-07",0,4402,0,0
"8","2010-08",4,4411,0.000906823849467241,1
"9","2010-09",4,4411,0.000906823849467241,1
"10","2010-10",0,4407,0,0
"11","2010-11",8,4416,0.00181159420289855,0
"12","2010-12",0,4381,0,0
"13","2011-01",4,4363,0.000916800366720147,1
"14","2011-02",0,4368,0,0
"15","2011-03",0,4381,0,0
"16","2011-04",0,4417,0,0
"17","2011-05",4,4417,0.000905592030790129,1
"18","2011-06",0,4413,0,0
"19","2011-07",0,4440,0,0
"20","2011-08",0,4458,0,0
"21","2011-09",4,4476,0.000893655049151028,1
"22","2011-10",8,4472,0.00178890876565295,0
"23","2011-11",4,4473,0.000894254415381176,1
"24","2011-12",0,4496,0,0
"25","2012-01",0,4514,0,0
"26","2012-02",0,4541,0,0
"27","2012-03",4,4568,0.000875656742556918,1
"28","2012-04",0,4546,0,0
"29","2012-05",4,4546,0.00087989441267048,1
"30","2012-06",0,4551,0,0
"31","2012-07",0,4551,0,0
"32","2012-08",4,4569,0.000875465090829503,1
"33","2012-09",4,4534,0.000882223202470225,1
"34","2012-10",8,4548,0.00175901495162709,0
"35","2012-11",8,4553,0.00175708324181858,0
"36","2012-12",0,4562,0,0
"37","2013-01",4,4562,0.000876808417360807,1
"38","2013-02",4,4553,0.000878541620909291,1
"39","2013-03",4,4567,0.000875848478213269,1
"40","2013-04",4,4581,0.000873171796550971,1
"41","2013-05",8,4577,0.00174786978370111,0
"42","2013-06",4,4532,0.00088261253309797,1
"43","2013-07",4,4528,0.00088339222614841,1
"44","2013-08",0,4506,0,0
"45","2013-09",4,4524,0.000884173297966401,1
"46","2013-10",16,4520,0.00353982300884956,0
"47","2013-11",8,4488,0.0017825311942959,0
"48","2013-12",4,4470,0.000894854586129754,1
"49","2014-01",0,4466,0,0
"50","2014-02",4,4475,0.000893854748603352,1
"51","2014-03",0,4471,0,0
"52","2014-04",0,4489,0,0
"53","2014-05",0,4462,0,0
"54","2014-06",4,4462,0.000896458987001345,1
"55","2014-07",0,4458,0,0
"56","2014-08",0,4467,0,0
"57","2014-09",4,4467,0.000895455563017685,1
"58","2014-10",0,4445,0,0
"59","2014-11",0,4445,0,0
"60","2014-12",4,4445,0.000899887514060742,1
"61","2015-01",0,4459,0,0
"62","2015-02",0,4459,0,0
"63","2015-03",0,4450,0,0
"64","2015-04",4,4450,0.000898876404494382,1
"65","2015-05",4,4464,0.000896057347670251,1
"66","2015-06",8,4446,0.00179937022042285,0
"67","2015-07",8,4420,0.00180995475113122,0
"68","2015-08",8,4412,0.00181323662737987,0
"69","2015-09",0,4386,0,0
"70","2015-10",0,4368,0,0
"71","2015-11",0,4359,0,0
"72","2015-12",0,4341,0,0
"73","2016-01",4,4323,0.00092528336803146,1
"74","2016-02",0,4301,0,0
"75","2016-03",4,4292,0.000931966449207828,1
"76","2016-04",8,4297,0.00186176402141029,0
"77","2016-05",0,4270,0,0
"78","2016-06",4,4234,0.000944733112895607,1
"79","2016-07",8,4248,0.00188323917137476,0
"80","2016-08",4,4249,0.000941397975994352,1
"81","2016-09",4,4231,0.000945402978019381,1
"82","2016-10",0,4231,0,0
"83","2016-11",0,4226,0,0
"84","2016-12",4,4235,0.000944510035419126,1
"85","2017-01",0,4199,0,0
"86","2017-02",0,4199,0,0
"87","2017-03",0,4199,0,0
"88","2017-04",4,4181,0.000956708921310691,1
"89","2017-05",8,4168,0.00191938579654511,0
"90","2017-06",4,4151,0.000963623223319682,1
"91","2017-07",8,4138,0.00193330111164814,0
"92","2017-08",0,4103,0,0
"93","2017-09",0,4089,0,0
"94","2017-10",0,4084,0,0
"95","2017-11",0,4048,0,0
"96","2017-12",4,4052,0.000987166831194472,1
"97","2018-01",4,4030,0.000992555831265509,1
"98","2018-02",0,4017,0,0
"99","2018-03",0,4017,0,0
"100","2018-04",8,4008,0.00199600798403194,0
"101","2018-05",4,3991,0.00100225507391631,1
"102","2018-06",0,3982,0,0
"103","2018-07",0,3946,0,0
"104","2018-08",4,3928,0.0010183299389002,1
"105","2018-09",0,3915,0,0
"106","2018-10",8,3906,0.00204813108038914,0
"107","2018-11",4,3884,0.00102986611740474,1
"108","2018-12",0,3866,0,0
"109","2019-01",0,3866,0,0
"110","2019-02",0,3857,0,0
"111","2019-03",0,3848,0,0
"112","2019-04",0,3830,0,0
"113","2019-05",0,3830,0,0
"114","2019-06",4,3825,0.00104575163398693,1
"115","2019-07",4,3812,0.00104931794333683,1
"116","2019-08",4,3808,0.00105042016806723,1
"117","2019-09",0,3804,0,0
"118","2019-10",8,3804,0.00210304942166141,0
"119","2019-11",0,3805,0,0
"120","2019-12",4,3805,0.00105124835742444,1
"121","2020-01",0,3778,0,0
"122","2020-02",4,3769,0.00106128946670204,1
"123","2020-03",0,3774,0,0
"124","2020-04",0,3774,0,0
"125","2020-05",0,3792,0,0
"126","2020-06",0,3756,0,0
"127","2020-07",0,3756,0,0
"128","2020-08",0,3751,0,0
"129","2020-09",0,3733,0,0
"130","2020-10",0,3742,0,0
"131","2020-11",0,3728,0,0
"132","2020-12",0,3723,0,0
