"YM","N","Freq","rates","masked"
"2010-01",0,492,0,0
"2010-02",2,492,0.0040650406504065,1
"2010-03",1,489,0.00204498977505112,1
"2010-04",2,483,0.0041407867494824,1
"2010-05",2,486,0.00411522633744856,1
"2010-06",3,482,0.00622406639004149,1
"2010-07",0,478,0,0
"2010-08",1,479,0.00208768267223382,1
"2010-09",1,479,0.00208768267223382,1
"2010-10",0,478,0,0
"2010-11",2,479,0.00417536534446764,1
"2010-12",0,474,0,0
"2011-01",1,472,0.00211864406779661,1
"2011-02",0,472,0,0
"2011-03",0,474,0,0
"2011-04",0,478,0,0
"2011-05",1,478,0.00209205020920502,1
"2011-06",0,477,0,0
"2011-07",0,480,0,0
"2011-08",0,482,0,0
"2011-09",1,484,0.00206611570247934,1
"2011-10",2,483,0.0041407867494824,1
"2011-11",1,482,0.0020746887966805,1
"2011-12",0,484,0,0
"2012-01",0,486,0,0
"2012-02",0,489,0,0
"2012-03",1,492,0.00203252032520325,1
"2012-04",0,489,0,0
"2012-05",1,489,0.00204498977505112,1
"2012-06",0,489,0,0
"2012-07",0,489,0,0
"2012-08",1,491,0.00203665987780041,1
"2012-09",1,487,0.00205338809034908,1
"2012-10",2,488,0.00409836065573771,1
"2012-11",2,488,0.00409836065573771,1
"2012-12",0,489,0,0
"2013-01",1,489,0.00204498977505112,1
"2013-02",1,488,0.00204918032786885,1
"2013-03",1,489,0.00204498977505112,1
"2013-04",1,490,0.00204081632653061,1
"2013-05",2,489,0.00408997955010225,1
"2013-06",1,484,0.00206611570247934,1
"2013-07",1,483,0.0020703933747412,1
"2013-08",0,480,0,0
"2013-09",1,482,0.0020746887966805,1
"2013-10",4,481,0.00831600831600832,1
"2013-11",2,478,0.00418410041841004,1
"2013-12",1,475,0.00210526315789474,1
"2014-01",0,474,0,0
"2014-02",1,475,0.00210526315789474,1
"2014-03",0,474,0,0
"2014-04",0,476,0,0
"2014-05",0,473,0,0
"2014-06",1,473,0.00211416490486258,1
"2014-07",0,472,0,0
"2014-08",0,473,0,0
"2014-09",1,473,0.00211416490486258,1
"2014-10",0,470,0,0
"2014-11",0,470,0,0
"2014-12",1,470,0.00212765957446809,1
"2015-01",0,471,0,0
"2015-02",0,471,0,0
"2015-03",0,470,0,0
"2015-04",1,470,0.00212765957446809,1
"2015-05",1,471,0.00212314225053079,1
"2015-06",2,469,0.00426439232409382,1
"2015-07",2,465,0.0043010752688172,1
"2015-08",2,463,0.00431965442764579,1
"2015-09",0,459,0,0
"2015-10",0,457,0,0
"2015-11",0,456,0,0
"2015-12",0,454,0,0
"2016-01",1,452,0.00221238938053097,1
"2016-02",0,449,0,0
"2016-03",1,448,0.00223214285714286,1
"2016-04",2,448,0.00446428571428571,1
"2016-05",0,445,0,0
"2016-06",1,441,0.00226757369614512,1
"2016-07",2,442,0.00452488687782805,1
"2016-08",1,441,0.00226757369614512,1
"2016-09",1,439,0.00227790432801822,1
"2016-10",0,439,0,0
"2016-11",0,439,0,0
"2016-12",1,440,0.00227272727272727,1
"2017-01",0,436,0,0
"2017-02",0,436,0,0
"2017-03",0,436,0,0
"2017-04",1,434,0.00230414746543779,1
"2017-05",2,432,0.00462962962962963,1
"2017-06",1,429,0.00233100233100233,1
"2017-07",2,427,0.00468384074941452,1
"2017-08",0,422,0,0
"2017-09",0,421,0,0
"2017-10",0,421,0,0
"2017-11",0,418,0,0
"2017-12",1,418,0.00239234449760766,1
"2018-01",1,415,0.00240963855421687,1
"2018-02",0,413,0,0
"2018-03",0,413,0,0
"2018-04",2,412,0.00485436893203883,1
"2018-05",1,409,0.00244498777506112,1
"2018-06",0,408,0,0
"2018-07",0,404,0,0
"2018-08",1,402,0.00248756218905473,1
"2018-09",0,400,0,0
"2018-10",2,399,0.0050125313283208,1
"2018-11",1,396,0.00252525252525253,1
"2018-12",0,394,0,0
"2019-01",0,394,0,0
"2019-02",0,393,0,0
"2019-03",0,392,0,0
"2019-04",0,390,0,0
"2019-05",0,390,0,0
"2019-06",1,390,0.00256410256410256,1
"2019-07",1,388,0.00257731958762887,1
"2019-08",1,387,0.00258397932816537,1
"2019-09",0,386,0,0
"2019-10",2,386,0.00518134715025907,1
"2019-11",0,385,0,0
"2019-12",1,385,0.0025974025974026,1
"2020-01",0,382,0,0
"2020-02",1,381,0.0026246719160105,1
"2020-03",0,381,0,0
"2020-04",0,381,0,0
"2020-05",0,383,0,0
"2020-06",0,379,0,0
"2020-07",0,379,0,0
"2020-08",0,378,0,0
"2020-09",0,376,0,0
"2020-10",0,377,0,0
"2020-11",0,376,0,0
"2020-12",0,376,0,0
