"YM","N","Freq","rates","masked"
"2010-01",0,492,0,0
"2010-02",2,492,0.0040650406504065,1
"2010-03",1,489,0.00204498977505112,1
"2010-04",2,483,0.0041407867494824,1
"2010-05",2,486,0.00411522633744856,1
"2010-06",3,482,0.00622406639004149,1
"2010-07",0,478,0,0
"2010-08",1,479,0.00208768267223382,1
"2010-09",1,479,0.00208768267223382,1
"2010-10",0,478,0,0
"2010-11",2,479,0.00417536534446764,1
"2010-12",0,474,0,0
"2011-01",1,472,0.00211864406779661,1
"2011-02",0,472,0,0
"2011-03",0,474,0,0
"2011-04",0,478,0,0
"2011-05",1,478,0.00209205020920502,1
"2011-06",0,477,0,0
"2011-07",0,480,0,0
"2011-08",0,482,0,0
"2011-09",1,484,0.00206611570247934,1
"2011-10",2,483,0.0041407867494824,1
"2011-11",1,482,0.0020746887966805,1
"2011-12",0,484,0,0
"2012-01",0,486,0,0
"2012-02",0,489,0,0
"2012-03",1,492,0.00203252032520325,1
"2012-04",0,489,0,0
"2012-05",1,489,0.00204498977505112,1
"2012-06",0,489,0,0
"2012-07",0,489,0,0
"2012-08",1,491,0.00203665987780041,1
"2012-09",1,486,0.00205761316872428,1
"2012-10",2,487,0.00410677618069815,1
"2012-11",2,487,0.00410677618069815,1
"2012-12",0,488,0,0
"2013-01",1,488,0.00204918032786885,1
"2013-02",1,487,0.00205338809034908,1
"2013-03",1,488,0.00204918032786885,1
"2013-04",1,489,0.00204498977505112,1
"2013-05",2,488,0.00409836065573771,1
"2013-06",1,483,0.0020703933747412,1
"2013-07",1,482,0.0020746887966805,1
"2013-08",0,479,0,0
"2013-09",1,481,0.00207900207900208,1
"2013-10",4,480,0.00833333333333333,1
"2013-11",2,477,0.00419287211740042,1
"2013-12",1,474,0.00210970464135021,1
"2014-01",0,473,0,0
"2014-02",1,474,0.00210970464135021,1
"2014-03",0,473,0,0
"2014-04",0,475,0,0
"2014-05",0,472,0,0
"2014-06",1,472,0.00211864406779661,1
"2014-07",0,471,0,0
"2014-08",0,472,0,0
"2014-09",1,472,0.00211864406779661,1
"2014-10",0,469,0,0
"2014-11",0,469,0,0
"2014-12",1,469,0.00213219616204691,1
"2015-01",0,470,0,0
"2015-02",0,470,0,0
"2015-03",0,469,0,0
"2015-04",1,469,0.00213219616204691,1
"2015-05",1,470,0.00212765957446809,1
"2015-06",2,468,0.00427350427350427,1
"2015-07",2,464,0.00431034482758621,1
"2015-08",2,462,0.00432900432900433,1
"2015-09",0,458,0,0
"2015-10",0,456,0,0
"2015-11",0,455,0,0
"2015-12",0,453,0,0
"2016-01",1,451,0.00221729490022173,1
"2016-02",0,448,0,0
"2016-03",1,447,0.00223713646532438,1
"2016-04",2,447,0.00447427293064877,1
"2016-05",0,444,0,0
"2016-06",1,440,0.00227272727272727,1
"2016-07",2,441,0.00453514739229025,1
"2016-08",1,440,0.00227272727272727,1
"2016-09",1,438,0.00228310502283105,1
"2016-10",0,438,0,0
"2016-11",0,438,0,0
"2016-12",1,439,0.00227790432801822,1
"2017-01",0,435,0,0
"2017-02",0,435,0,0
"2017-03",0,435,0,0
"2017-04",1,433,0.0023094688221709,1
"2017-05",2,431,0.00464037122969838,1
"2017-06",1,428,0.00233644859813084,1
"2017-07",2,426,0.00469483568075117,1
"2017-08",0,421,0,0
"2017-09",0,420,0,0
"2017-10",0,420,0,0
"2017-11",0,416,0,0
"2017-12",1,417,0.00239808153477218,1
"2018-01",1,414,0.00241545893719807,1
"2018-02",0,412,0,0
"2018-03",0,412,0,0
"2018-04",2,411,0.0048661800486618,1
"2018-05",1,408,0.00245098039215686,1
"2018-06",0,407,0,0
"2018-07",0,403,0,0
"2018-08",1,401,0.00249376558603491,1
"2018-09",0,399,0,0
"2018-10",2,398,0.0050251256281407,1
"2018-11",1,395,0.00253164556962025,1
"2018-12",0,393,0,0
"2019-01",0,393,0,0
"2019-02",0,392,0,0
"2019-03",0,391,0,0
"2019-04",0,389,0,0
"2019-05",0,389,0,0
"2019-06",1,389,0.0025706940874036,1
"2019-07",1,387,0.00258397932816537,1
"2019-08",1,386,0.00259067357512953,1
"2019-09",0,385,0,0
"2019-10",2,385,0.00519480519480519,1
"2019-11",0,384,0,0
"2019-12",1,384,0.00260416666666667,1
"2020-01",0,381,0,0
"2020-02",1,380,0.00263157894736842,1
"2020-03",0,380,0,0
"2020-04",0,380,0,0
"2020-05",0,382,0,0
"2020-06",0,378,0,0
"2020-07",0,378,0,0
"2020-08",0,378,0,0
"2020-09",0,376,0,0
"2020-10",0,377,0,0
"2020-11",0,376,0,0
"2020-12",0,376,0,0
