"","YM","N","Freq","rates","masked"
"1","2010-01",45,4478,0.0100491290754801,0
"2","2010-02",0,4478,0,0
"3","2010-03",0,4461,0,0
"4","2010-04",0,4412,0,0
"5","2010-05",45,4449,0.0101146325016858,0
"6","2010-06",45,4423,0.0101740899841736,0
"7","2010-07",25,4402,0.0056792367105861,0
"8","2010-08",25,4411,0.00566764905917026,0
"9","2010-09",45,4411,0.0102017683065065,0
"10","2010-10",45,4407,0.010211027910143,0
"11","2010-11",0,4416,0,0
"12","2010-12",45,4381,0.01027162748231,0
"13","2011-01",45,4363,0.0103140041256017,0
"14","2011-02",45,4368,0.0103021978021978,0
"15","2011-03",45,4381,0.01027162748231,0
"16","2011-04",45,4417,0.010187910346389,0
"17","2011-05",45,4417,0.010187910346389,0
"18","2011-06",25,4413,0.00566508044414231,0
"19","2011-07",45,4440,0.0101351351351351,0
"20","2011-08",45,4458,0.0100942126514132,0
"21","2011-09",45,4476,0.0100536193029491,0
"22","2011-10",45,4472,0.0100626118067979,0
"23","2011-11",45,4473,0.0100603621730382,0
"24","2011-12",45,4496,0.010008896797153,0
"25","2012-01",25,4514,0.00553832521045636,0
"26","2012-02",25,4541,0.00550539528738163,0
"27","2012-03",45,4568,0.00985113835376532,0
"28","2012-04",45,4546,0.00989881214254289,0
"29","2012-05",45,4546,0.00989881214254289,0
"30","2012-06",25,4551,0.00549329817622501,0
"31","2012-07",45,4551,0.00988793671720501,0
"32","2012-08",45,4569,0.00984898227183191,0
"33","2012-09",45,4534,0.00992501102779003,0
"34","2012-10",45,4548,0.00989445910290238,0
"35","2012-11",45,4553,0.00988359323522952,0
"36","2012-12",25,4562,0.00548005260850504,0
"37","2013-01",25,4562,0.00548005260850504,0
"38","2013-02",45,4553,0.00988359323522952,0
"39","2013-03",45,4567,0.00985329537989928,0
"40","2013-04",55,4581,0.0120061122025759,0
"41","2013-05",25,4577,0.00546209307406598,0
"42","2013-06",45,4532,0.00992939099735216,0
"43","2013-07",45,4528,0.00993816254416961,0
"44","2013-08",25,4506,0.00554815801154017,0
"45","2013-09",45,4524,0.00994694960212202,0
"46","2013-10",0,4520,0,0
"47","2013-11",45,4488,0.0100267379679144,0
"48","2013-12",45,4470,0.0100671140939597,0
"49","2014-01",45,4466,0.0100761307657859,0
"50","2014-02",45,4475,0.0100558659217877,0
"51","2014-03",45,4471,0.0100648624468799,0
"52","2014-04",45,4489,0.0100245043439519,0
"53","2014-05",0,4462,0,0
"54","2014-06",45,4462,0.0100851636037651,0
