"YM","N","Freq","rates","masked"
"2010-01",5,492,0.0101626016260163,1
"2010-02",0,492,0,0
"2010-03",0,489,0,0
"2010-04",0,483,0,0
"2010-05",5,486,0.0102880658436214,1
"2010-06",5,482,0.0103734439834025,1
"2010-07",0,478,0,0
"2010-08",0,479,0,0
"2010-09",5,479,0.0104384133611691,1
"2010-10",5,478,0.0104602510460251,1
"2010-11",0,479,0,0
"2010-12",5,474,0.0105485232067511,1
"2011-01",5,472,0.0105932203389831,1
"2011-02",5,472,0.0105932203389831,1
"2011-03",5,474,0.0105485232067511,1
"2011-04",5,478,0.0104602510460251,1
"2011-05",5,478,0.0104602510460251,1
"2011-06",0,477,0,0
"2011-07",5,480,0.0104166666666667,1
"2011-08",5,482,0.0103734439834025,1
"2011-09",5,484,0.0103305785123967,1
"2011-10",5,483,0.010351966873706,1
"2011-11",5,482,0.0103734439834025,1
"2011-12",5,484,0.0103305785123967,1
"2012-01",0,486,0,0
"2012-02",0,489,0,0
"2012-03",5,492,0.0101626016260163,1
"2012-04",5,489,0.0102249488752556,1
"2012-05",5,489,0.0102249488752556,1
"2012-06",0,489,0,0
"2012-07",5,489,0.0102249488752556,1
"2012-08",5,491,0.010183299389002,1
"2012-09",5,487,0.0102669404517454,1
"2012-10",5,488,0.0102459016393443,1
"2012-11",5,488,0.0102459016393443,1
"2012-12",0,489,0,0
"2013-01",0,489,0,0
"2013-02",5,488,0.0102459016393443,1
"2013-03",5,489,0.0102249488752556,1
"2013-04",5,490,0.0102040816326531,1
"2013-05",0,489,0,0
"2013-06",5,484,0.0103305785123967,1
"2013-07",5,483,0.010351966873706,1
"2013-08",0,480,0,0
"2013-09",5,482,0.0103734439834025,1
"2013-10",0,481,0,0
"2013-11",5,478,0.0104602510460251,1
"2013-12",5,475,0.0105263157894737,1
"2014-01",5,474,0.0105485232067511,1
"2014-02",5,475,0.0105263157894737,1
"2014-03",5,474,0.0105485232067511,1
"2014-04",5,476,0.0105042016806723,1
"2014-05",0,473,0,0
"2014-06",5,473,0.0105708245243129,1
"2014-07",0,472,0,0
"2014-08",5,473,0.0105708245243129,1
"2014-09",5,473,0.0105708245243129,1
"2014-10",0,470,0,0
"2014-11",0,470,0,0
"2014-12",0,470,0,0
"2015-01",5,471,0.0106157112526539,1
"2015-02",0,471,0,0
"2015-03",5,470,0.0106382978723404,1
"2015-04",5,470,0.0106382978723404,1
"2015-05",5,471,0.0106157112526539,1
"2015-06",0,469,0,0
"2015-07",0,465,0,0
"2015-08",5,463,0.0107991360691145,1
"2015-09",0,459,0,0
"2015-10",5,457,0.0109409190371991,1
"2015-11",5,456,0.0109649122807018,1
"2015-12",0,454,0,0
"2016-01",0,452,0,0
"2016-02",0,449,0,0
"2016-03",5,448,0.0111607142857143,1
"2016-04",5,448,0.0111607142857143,1
"2016-05",0,445,0,0
"2016-06",5,441,0.0113378684807256,1
"2016-07",5,442,0.0113122171945701,1
"2016-08",0,441,0,0
"2016-09",0,439,0,0
"2016-10",5,439,0.0113895216400911,1
"2016-11",0,439,0,0
"2016-12",5,440,0.0113636363636364,1
"2017-01",5,436,0.0114678899082569,1
"2017-02",0,436,0,0
"2017-03",5,436,0.0114678899082569,1
"2017-04",5,434,0.0115207373271889,1
"2017-05",5,432,0.0115740740740741,1
"2017-06",0,429,0,0
"2017-07",5,427,0.0117096018735363,1
"2017-08",5,422,0.0118483412322275,1
"2017-09",0,421,0,0
"2017-10",5,421,0.0118764845605701,1
"2017-11",0,418,0,0
"2017-12",5,418,0.0119617224880383,1
"2018-01",5,415,0.0120481927710843,1
"2018-02",5,413,0.0121065375302663,1
"2018-03",5,413,0.0121065375302663,1
"2018-04",5,412,0.0121359223300971,1
"2018-05",5,409,0.0122249388753056,1
"2018-06",5,408,0.0122549019607843,1
"2018-07",5,404,0.0123762376237624,1
"2018-08",5,402,0.0124378109452736,1
"2018-09",5,400,0.0125,1
"2018-10",5,399,0.012531328320802,1
"2018-11",5,396,0.0126262626262626,1
"2018-12",5,394,0.0126903553299492,1
"2019-01",5,394,0.0126903553299492,1
"2019-02",0,393,0,0
"2019-03",5,392,0.0127551020408163,1
"2019-04",5,390,0.0128205128205128,1
"2019-05",5,390,0.0128205128205128,1
"2019-06",5,390,0.0128205128205128,1
"2019-07",0,388,0,0
"2019-08",5,387,0.0129198966408269,1
"2019-09",5,386,0.0129533678756477,1
"2019-10",5,386,0.0129533678756477,1
"2019-11",5,385,0.012987012987013,1
"2019-12",5,385,0.012987012987013,1
"2020-01",5,382,0.0130890052356021,1
"2020-02",0,381,0,0
"2020-03",0,381,0,0
"2020-04",0,381,0,0
"2020-05",0,383,0,0
"2020-06",0,379,0,0
"2020-07",0,379,0,0
"2020-08",0,378,0,0
"2020-09",0,376,0,0
"2020-10",0,377,0,0
"2020-11",0,376,0,0
"2020-12",0,376,0,0
