"YM","N","Freq","rates","masked"
"2010-01",5,492,0.0101626016260163,1
"2010-02",0,492,0,0
"2010-03",0,489,0,0
"2010-04",0,483,0,0
"2010-05",5,486,0.0102880658436214,1
"2010-06",5,482,0.0103734439834025,1
"2010-07",0,478,0,0
"2010-08",0,479,0,0
"2010-09",5,479,0.0104384133611691,1
"2010-10",5,478,0.0104602510460251,1
"2010-11",0,479,0,0
"2010-12",5,474,0.0105485232067511,1
"2011-01",5,472,0.0105932203389831,1
"2011-02",5,472,0.0105932203389831,1
"2011-03",5,474,0.0105485232067511,1
"2011-04",5,478,0.0104602510460251,1
"2011-05",5,478,0.0104602510460251,1
"2011-06",0,477,0,0
"2011-07",5,480,0.0104166666666667,1
"2011-08",5,482,0.0103734439834025,1
"2011-09",5,484,0.0103305785123967,1
"2011-10",5,483,0.010351966873706,1
"2011-11",5,482,0.0103734439834025,1
"2011-12",5,484,0.0103305785123967,1
"2012-01",0,486,0,0
"2012-02",0,489,0,0
"2012-03",5,492,0.0101626016260163,1
"2012-04",5,489,0.0102249488752556,1
"2012-05",5,489,0.0102249488752556,1
"2012-06",0,489,0,0
"2012-07",5,489,0.0102249488752556,1
"2012-08",5,491,0.010183299389002,1
"2012-09",5,486,0.0102880658436214,1
"2012-10",5,487,0.0102669404517454,1
"2012-11",5,487,0.0102669404517454,1
"2012-12",0,488,0,0
"2013-01",0,488,0,0
"2013-02",5,487,0.0102669404517454,1
"2013-03",5,488,0.0102459016393443,1
"2013-04",5,489,0.0102249488752556,1
"2013-05",0,488,0,0
"2013-06",5,483,0.010351966873706,1
"2013-07",5,482,0.0103734439834025,1
"2013-08",0,479,0,0
"2013-09",5,481,0.0103950103950104,1
"2013-10",0,480,0,0
"2013-11",5,477,0.010482180293501,1
"2013-12",5,474,0.0105485232067511,1
"2014-01",5,473,0.0105708245243129,1
"2014-02",5,474,0.0105485232067511,1
"2014-03",5,473,0.0105708245243129,1
"2014-04",5,475,0.0105263157894737,1
"2014-05",0,472,0,0
"2014-06",5,472,0.0105932203389831,1
"2014-07",0,471,0,0
"2014-08",5,472,0.0105932203389831,1
"2014-09",5,472,0.0105932203389831,1
"2014-10",0,469,0,0
"2014-11",0,469,0,0
"2014-12",0,469,0,0
"2015-01",5,470,0.0106382978723404,1
"2015-02",0,470,0,0
"2015-03",5,469,0.0106609808102345,1
"2015-04",5,469,0.0106609808102345,1
"2015-05",5,470,0.0106382978723404,1
"2015-06",0,468,0,0
"2015-07",0,464,0,0
"2015-08",5,462,0.0108225108225108,1
"2015-09",0,458,0,0
"2015-10",5,456,0.0109649122807018,1
"2015-11",5,455,0.010989010989011,1
"2015-12",0,453,0,0
"2016-01",0,451,0,0
"2016-02",0,448,0,0
"2016-03",5,447,0.0111856823266219,1
"2016-04",5,447,0.0111856823266219,1
"2016-05",0,444,0,0
"2016-06",5,440,0.0113636363636364,1
"2016-07",5,441,0.0113378684807256,1
"2016-08",0,440,0,0
"2016-09",0,438,0,0
"2016-10",5,438,0.0114155251141553,1
"2016-11",0,438,0,0
"2016-12",5,439,0.0113895216400911,1
"2017-01",5,435,0.0114942528735632,1
"2017-02",0,435,0,0
"2017-03",5,435,0.0114942528735632,1
"2017-04",5,433,0.0115473441108545,1
"2017-05",5,431,0.0116009280742459,1
"2017-06",0,428,0,0
"2017-07",5,426,0.0117370892018779,1
"2017-08",5,421,0.0118764845605701,1
"2017-09",0,420,0,0
"2017-10",5,420,0.0119047619047619,1
"2017-11",0,416,0,0
"2017-12",5,417,0.0119904076738609,1
"2018-01",5,414,0.0120772946859903,1
"2018-02",5,412,0.0121359223300971,1
"2018-03",5,412,0.0121359223300971,1
"2018-04",5,411,0.0121654501216545,1
"2018-05",5,408,0.0122549019607843,1
"2018-06",5,407,0.0122850122850123,1
"2018-07",5,403,0.0124069478908189,1
"2018-08",5,401,0.0124688279301746,1
"2018-09",5,399,0.012531328320802,1
"2018-10",5,398,0.0125628140703518,1
"2018-11",5,395,0.0126582278481013,1
"2018-12",5,393,0.0127226463104326,1
"2019-01",5,393,0.0127226463104326,1
"2019-02",0,392,0,0
"2019-03",5,391,0.0127877237851662,1
"2019-04",5,389,0.012853470437018,1
"2019-05",5,389,0.012853470437018,1
"2019-06",5,389,0.012853470437018,1
"2019-07",0,387,0,0
"2019-08",5,386,0.0129533678756477,1
"2019-09",5,385,0.012987012987013,1
"2019-10",5,385,0.012987012987013,1
"2019-11",5,384,0.0130208333333333,1
"2019-12",5,384,0.0130208333333333,1
"2020-01",5,381,0.0131233595800525,1
"2020-02",0,380,0,0
"2020-03",0,380,0,0
"2020-04",0,380,0,0
"2020-05",0,382,0,0
"2020-06",0,378,0,0
"2020-07",0,378,0,0
"2020-08",0,378,0,0
"2020-09",0,376,0,0
"2020-10",0,377,0,0
"2020-11",0,376,0,0
"2020-12",0,376,0,0
