"studyFUmonths","Freq","YM"
"201001",492,"2010-01"
"201002",492,"2010-02"
"201003",489,"2010-03"
"201004",483,"2010-04"
"201005",486,"2010-05"
"201006",482,"2010-06"
"201007",478,"2010-07"
"201008",479,"2010-08"
"201009",479,"2010-09"
"201010",478,"2010-10"
"201011",479,"2010-11"
"201012",474,"2010-12"
"201101",472,"2011-01"
"201102",472,"2011-02"
"201103",474,"2011-03"
"201104",478,"2011-04"
"201105",478,"2011-05"
"201106",477,"2011-06"
"201107",480,"2011-07"
"201108",482,"2011-08"
"201109",484,"2011-09"
"201110",483,"2011-10"
"201111",482,"2011-11"
"201112",484,"2011-12"
"201201",486,"2012-01"
"201202",489,"2012-02"
"201203",492,"2012-03"
"201204",489,"2012-04"
"201205",489,"2012-05"
"201206",489,"2012-06"
"201207",489,"2012-07"
"201208",491,"2012-08"
"201209",487,"2012-09"
"201210",488,"2012-10"
"201211",488,"2012-11"
"201212",489,"2012-12"
"201301",489,"2013-01"
"201302",488,"2013-02"
"201303",489,"2013-03"
"201304",490,"2013-04"
"201305",489,"2013-05"
"201306",484,"2013-06"
"201307",483,"2013-07"
"201308",480,"2013-08"
"201309",482,"2013-09"
"201310",481,"2013-10"
"201311",478,"2013-11"
"201312",475,"2013-12"
"201401",474,"2014-01"
"201402",475,"2014-02"
"201403",474,"2014-03"
"201404",476,"2014-04"
"201405",473,"2014-05"
"201406",473,"2014-06"
"201407",472,"2014-07"
"201408",473,"2014-08"
"201409",473,"2014-09"
"201410",470,"2014-10"
"201411",470,"2014-11"
"201412",470,"2014-12"
"201501",471,"2015-01"
"201502",471,"2015-02"
"201503",470,"2015-03"
"201504",470,"2015-04"
"201505",471,"2015-05"
"201506",469,"2015-06"
"201507",465,"2015-07"
"201508",463,"2015-08"
"201509",459,"2015-09"
"201510",457,"2015-10"
"201511",456,"2015-11"
"201512",454,"2015-12"
"201601",452,"2016-01"
"201602",449,"2016-02"
"201603",448,"2016-03"
"201604",448,"2016-04"
"201605",445,"2016-05"
"201606",441,"2016-06"
"201607",442,"2016-07"
"201608",441,"2016-08"
"201609",439,"2016-09"
"201610",439,"2016-10"
"201611",439,"2016-11"
"201612",440,"2016-12"
"201701",436,"2017-01"
"201702",436,"2017-02"
"201703",436,"2017-03"
"201704",434,"2017-04"
"201705",432,"2017-05"
"201706",429,"2017-06"
"201707",427,"2017-07"
"201708",422,"2017-08"
"201709",421,"2017-09"
"201710",421,"2017-10"
"201711",418,"2017-11"
"201712",418,"2017-12"
"201801",415,"2018-01"
"201802",413,"2018-02"
"201803",413,"2018-03"
"201804",412,"2018-04"
"201805",409,"2018-05"
"201806",408,"2018-06"
"201807",404,"2018-07"
"201808",402,"2018-08"
"201809",400,"2018-09"
"201810",399,"2018-10"
"201811",396,"2018-11"
"201812",394,"2018-12"
"201901",394,"2019-01"
"201902",393,"2019-02"
"201903",392,"2019-03"
"201904",390,"2019-04"
"201905",390,"2019-05"
"201906",390,"2019-06"
"201907",388,"2019-07"
"201908",387,"2019-08"
"201909",386,"2019-09"
"201910",386,"2019-10"
"201911",385,"2019-11"
"201912",385,"2019-12"
"202001",382,"2020-01"
"202002",381,"2020-02"
"202003",381,"2020-03"
"202004",381,"2020-04"
"202005",383,"2020-05"
"202006",379,"2020-06"
"202007",379,"2020-07"
"202008",378,"2020-08"
"202009",376,"2020-09"
"202010",377,"2020-10"
"202011",376,"2020-11"
"202012",376,"2020-12"
