"studyFUmonths","Freq","YM"
"201001",502,"2010-01"
"201002",502,"2010-02"
"201003",501,"2010-03"
"201004",496,"2010-04"
"201005",501,"2010-05"
"201006",499,"2010-06"
"201007",498,"2010-07"
"201008",499,"2010-08"
"201009",499,"2010-09"
"201010",499,"2010-10"
"201011",500,"2010-11"
"201012",497,"2010-12"
"201101",495,"2011-01"
"201102",496,"2011-02"
"201103",497,"2011-03"
"201104",501,"2011-04"
"201105",501,"2011-05"
"201106",501,"2011-06"
"201107",504,"2011-07"
"201108",506,"2011-08"
"201109",508,"2011-09"
"201110",508,"2011-10"
"201111",509,"2011-11"
"201112",512,"2011-12"
"201201",514,"2012-01"
"201202",517,"2012-02"
"201203",520,"2012-03"
"201204",518,"2012-04"
"201205",518,"2012-05"
"201206",519,"2012-06"
"201207",519,"2012-07"
"201208",521,"2012-08"
"201209",518,"2012-09"
"201210",520,"2012-10"
"201211",521,"2012-11"
"201212",522,"2012-12"
"201301",522,"2013-01"
"201302",521,"2013-02"
"201303",523,"2013-03"
"201304",525,"2013-04"
"201305",525,"2013-05"
"201306",520,"2013-06"
"201307",520,"2013-07"
"201308",518,"2013-08"
"201309",520,"2013-09"
"201310",520,"2013-10"
"201311",516,"2013-11"
"201312",515,"2013-12"
"201401",515,"2014-01"
"201402",516,"2014-02"
"201403",516,"2014-03"
"201404",518,"2014-04"
"201405",515,"2014-05"
"201406",515,"2014-06"
"201407",515,"2014-07"
"201408",516,"2014-08"
"201409",516,"2014-09"
"201410",514,"2014-10"
"201411",514,"2014-11"
"201412",514,"2014-12"
"201501",516,"2015-01"
"201502",516,"2015-02"
"201503",515,"2015-03"
"201504",515,"2015-04"
"201505",517,"2015-05"
"201506",515,"2015-06"
"201507",513,"2015-07"
"201508",513,"2015-08"
"201509",511,"2015-09"
"201510",509,"2015-10"
"201511",508,"2015-11"
"201512",506,"2015-12"
"201601",504,"2016-01"
"201602",502,"2016-02"
"201603",501,"2016-03"
"201604",502,"2016-04"
"201605",499,"2016-05"
"201606",495,"2016-06"
"201607",497,"2016-07"
"201608",498,"2016-08"
"201609",496,"2016-09"
"201610",496,"2016-10"
"201611",495,"2016-11"
"201612",496,"2016-12"
"201701",492,"2017-01"
"201702",492,"2017-02"
"201703",492,"2017-03"
"201704",490,"2017-04"
"201705",489,"2017-05"
"201706",488,"2017-06"
"201707",487,"2017-07"
"201708",484,"2017-08"
"201709",482,"2017-09"
"201710",481,"2017-10"
"201711",477,"2017-11"
"201712",477,"2017-12"
"201801",475,"2018-01"
"201802",474,"2018-02"
"201803",474,"2018-03"
"201804",473,"2018-04"
"201805",472,"2018-05"
"201806",471,"2018-06"
"201807",467,"2018-07"
"201808",465,"2018-08"
"201809",464,"2018-09"
"201810",463,"2018-10"
"201811",461,"2018-11"
"201812",459,"2018-12"
"201901",459,"2019-01"
"201902",458,"2019-02"
"201903",457,"2019-03"
"201904",455,"2019-04"
"201905",455,"2019-05"
"201906",454,"2019-06"
"201907",453,"2019-07"
"201908",453,"2019-08"
"201909",453,"2019-09"
"201910",453,"2019-10"
"201911",454,"2019-11"
"201912",454,"2019-12"
"202001",451,"2020-01"
"202002",450,"2020-02"
"202003",451,"2020-03"
"202004",451,"2020-04"
"202005",453,"2020-05"
"202006",449,"2020-06"
"202007",449,"2020-07"
"202008",448,"2020-08"
"202009",446,"2020-09"
"202010",447,"2020-10"
"202011",445,"2020-11"
"202012",444,"2020-12"
