"","YM","N","Freq","rates","masked"
"1","2010-01",45,4478,0.0100491290754801,0
"2","2010-02",45,4478,0.0100491290754801,0
"3","2010-03",45,4461,0.0100874243443174,0
"4","2010-04",45,4412,0.0101994560290118,0
"5","2010-05",45,4449,0.0101146325016858,0
"6","2010-06",45,4423,0.0101740899841736,0
"7","2010-07",45,4402,0.010222626079055,0
"8","2010-08",45,4411,0.0102017683065065,0
"9","2010-09",45,4411,0.0102017683065065,0
"10","2010-10",45,4407,0.010211027910143,0
"11","2010-11",45,4416,0.0101902173913043,0
"12","2010-12",45,4381,0.01027162748231,0
"13","2011-01",63,4363,0.0144396057758423,0
"14","2011-02",63,4368,0.0144230769230769,0
"15","2011-03",63,4381,0.014380278475234,0
"16","2011-04",63,4417,0.0142630744849445,0
"17","2011-05",54,4417,0.0122254924156667,0
"18","2011-06",45,4413,0.0101971447994562,0
"19","2011-07",45,4440,0.0101351351351351,0
"20","2011-08",45,4458,0.0100942126514132,0
"21","2011-09",45,4476,0.0100536193029491,0
"22","2011-10",45,4472,0.0100626118067979,0
"23","2011-11",45,4473,0.0100603621730382,0
"24","2011-12",45,4496,0.010008896797153,0
"25","2012-01",45,4514,0.00996898537882144,0
"26","2012-02",45,4541,0.00990971151728694,0
"27","2012-03",45,4568,0.00985113835376532,0
"28","2012-04",45,4546,0.00989881214254289,0
"29","2012-05",45,4546,0.00989881214254289,0
"30","2012-06",45,4551,0.00988793671720501,0
"31","2012-07",54,4551,0.011865524060646,0
"32","2012-08",54,4569,0.0118187787261983,0
"33","2012-09",45,4534,0.00992501102779003,0
"34","2012-10",45,4548,0.00989445910290238,0
"35","2012-11",63,4553,0.0138370305293213,0
"36","2012-12",63,4562,0.0138097325734327,0
"37","2013-01",72,4562,0.0157825515124945,0
"38","2013-02",72,4553,0.0158137491763672,0
"39","2013-03",72,4567,0.0157652726078388,0
"40","2013-04",63,4581,0.0137524557956778,0
"41","2013-05",54,4577,0.0117981210399825,0
"42","2013-06",63,4532,0.013901147396293,0
"43","2013-07",72,4528,0.0159010600706714,0
"44","2013-08",72,4506,0.0159786950732357,0
"45","2013-09",63,4524,0.0139257294429708,0
"46","2013-10",63,4520,0.0139380530973451,0
"47","2013-11",63,4488,0.0140374331550802,0
"48","2013-12",72,4470,0.0161073825503356,0
"49","2014-01",63,4466,0.0141065830721003,0
"50","2014-02",54,4475,0.0120670391061453,0
"51","2014-03",54,4471,0.0120778349362559,0
"52","2014-04",54,4489,0.0120294052127423,0
"53","2014-05",45,4462,0.0100851636037651,0
"54","2014-06",45,4462,0.0100851636037651,0
"55","2014-07",45,4458,0.0100942126514132,0
"56","2014-08",45,4467,0.010073875083949,0
"57","2014-09",45,4467,0.010073875083949,0
"58","2014-10",45,4445,0.0101237345331834,0
"59","2014-11",45,4445,0.0101237345331834,0
"60","2014-12",45,4445,0.0101237345331834,0
"61","2015-01",45,4459,0.0100919488674591,0
"62","2015-02",54,4459,0.0121103386409509,0
"63","2015-03",72,4450,0.0161797752808989,0
"64","2015-04",72,4450,0.0161797752808989,0
"65","2015-05",63,4464,0.0141129032258065,0
"66","2015-06",54,4446,0.0121457489878543,0
"67","2015-07",54,4420,0.0122171945701357,0
"68","2015-08",54,4412,0.0122393472348141,0
"69","2015-09",45,4386,0.0102599179206566,0
"70","2015-10",45,4368,0.0103021978021978,0
"71","2015-11",45,4359,0.0103234686854783,0
"72","2015-12",45,4341,0.0103662750518314,0
"73","2016-01",45,4323,0.0104094378903539,0
"74","2016-02",45,4301,0.0104626830969542,0
"75","2016-03",45,4292,0.0104846225535881,0
"76","2016-04",45,4297,0.0104724226204329,0
"77","2016-05",45,4270,0.0105386416861827,0
"78","2016-06",45,4234,0.0106282475200756,0
"79","2016-07",45,4248,0.0105932203389831,0
"80","2016-08",45,4249,0.0105907272299365,0
"81","2016-09",45,4231,0.010635783502718,0
"82","2016-10",45,4231,0.010635783502718,0
"83","2016-11",45,4226,0.0106483672503549,0
"84","2016-12",45,4235,0.0106257378984652,0
"85","2017-01",54,4199,0.0128602048106692,0
"86","2017-02",45,4199,0.0107168373422243,0
"87","2017-03",45,4199,0.0107168373422243,0
"88","2017-04",45,4181,0.0107629753647453,0
"89","2017-05",45,4168,0.0107965451055662,0
"90","2017-06",45,4151,0.0108407612623464,0
"91","2017-07",45,4138,0.0108748187530208,0
"92","2017-08",45,4103,0.0109675846941262,0
"93","2017-09",45,4089,0.0110051357300073,0
"94","2017-10",45,4084,0.0110186092066601,0
"95","2017-11",45,4048,0.0111166007905138,0
"96","2017-12",45,4052,0.0111056268509378,0
"97","2018-01",45,4030,0.011166253101737,0
"98","2018-02",45,4017,0.0112023898431665,0
"99","2018-03",45,4017,0.0112023898431665,0
"100","2018-04",45,4008,0.0112275449101796,0
"101","2018-05",45,3991,0.0112753695815585,0
"102","2018-06",54,3982,0.0135610246107484,0
"103","2018-07",54,3946,0.0136847440446021,0
"104","2018-08",45,3928,0.0114562118126273,0
"105","2018-09",45,3915,0.0114942528735632,0
"106","2018-10",45,3906,0.0115207373271889,0
"107","2018-11",45,3884,0.0115859938208033,0
"108","2018-12",45,3866,0.0116399379203311,0
