medicinal_product_id,medicinal_product_name,medicinal_product_atc_code,unit_of_presentation_type,unit_of_presentation_num,administration_dose_form,administration_route,subst1_atc_code,subst2_atc_code,subst3_atc_code,subst1_amount_per_form,subst2_amount_per_form,subst3_amount_per_form,subst1_amount_unit,subst2_amount_unit,subst3_amount_unit,subst1_concentration,subst2_concentration,subst3_concentration,subst1_concentration_unit,subst2_concentration_unit,subst3_concentration_unit,concentration_total_content,concentration_total_content_unit,medicinal_product_manufacturer
150700,name1,G28MH04,,,,,C01NH84,A75MH96,K78CD31,20,,1,mg,,mg,,,,,,,1000,ml,sanofi
272800,name2,B62CC93,,,,,F55LO16,K97HE65,F69KO72,20,,1,mg,,mg,,,,,,,1000,ml,sanofi
155600,name3,D06KD81,,,,,C59NB02,L56NF30,B48DO96,20,,1,mg,,mg,,,,,,,1000,ml,sanofi
299500,name4,E46EF74,,,,,D36JI17,O23JO16,K16NF79,20,,1,mg,,mg,,,,,,,1000,ml,sanofi
352600,name5,N45NK07,,,,,L69NM90,G86AD93,F10AH41,20,,1,mg,,mg,,,,,,,1000,ml,sanofi
204000,name6,F03GL73,,,,,M48OL88,A50CF69,F08IA13,20,,1,mg,,mg,,,,,,,1000,ml,sanofi
279200,name7,D42HO87,,,,,E80CD61,K61NA00,J24MI02,20,,1,mg,,mg,,,,,,,1000,ml,sanofi
325000,name8,I60EH21,,,,,A54DO42,A21MA41,G90CB86,20,,1,mg,,mg,,,,,,,1000,ml,sanofi
202500,name9,K00GM73,,,,,K08NG58,E29EN17,K60NN03,20,,1,mg,,mg,,,,,,,1000,ml,sanofi
173400,name10,H22JO22,,,,,K32NC42,B00KH55,G14GO91,20,,1,mg,,mg,,,,,,,1000,ml,sanofi
363100,name11,B47MA31,tablet,10,tablet,oral,I65OI29,K50DC60,,20,,1,mg,,mg,,,,,,,1000,ml,
259200,name12,C16OO57,tablet,10,tablet,oral,K95FC07,D03FA87,,20,,1,mg,,mg,,,,,,,1000,ml,
356000,name13,A92KK79,tablet,10,tablet,oral,G30II18,A61GE34,,20,,1,mg,,mg,,,,,,,1000,ml,
281800,name14,E21NH49,tablet,10,tablet,oral,C50BK28,B76CL26,,20,,1,mg,,mg,,,,,,,1000,ml,
116200,name15,F14MC87,tablet,10,tablet,oral,F60NL67,F82OA40,,20,,1,mg,,mg,,,,,,,1000,ml,
104000,name16,O47NO29,tablet,10,tablet,oral,D18CD72,G15CC23,,20,,1,mg,,mg,,,,,,,1000,ml,
291600,name17,E33FB43,tablet,10,tablet,oral,I12LD07,K00LM47,,20,,1,mg,,mg,,,,,,,1000,ml,
373900,name18,G27EJ19,tablet,10,tablet,oral,C00FJ65,D91CE56,,20,,1,mg,,mg,,,,,,,1000,ml,
368200,name19,F52OJ83,tablet,10,tablet,oral,D85EA51,D35EO24,,20,,1,mg,,mg,,,,,,,1000,ml,
354700,name20,I49IC05,tablet,10,tablet,oral,L13JL27,K26IG97,,20,,1,mg,,mg,,,,,,,1000,ml,
104600,name21,N90DE45,drops,5,supository,anal,O52DF73,L49BM72,,20,,1,mg,,mg,,,,,,,200,ml,
155200,name22,M46ED50,drops,5,supository,anal,O12EN47,N53EC73,,20,,1,mg,,mg,,,,,,,200,ml,
392000,name23,C28GJ90,drops,5,supository,anal,A34GC49,F07AF88,,20,,1,mg,,mg,,,,,,,200,ml,
244900,name24,H50MG98,drops,5,supository,anal,G37BA08,M08KM05,,20,,1,mg,,mg,,,,,,,200,ml,
145500,name25,N25ME68,drops,5,supository,anal,A43HD55,F16DI06,,20,,1,mg,,mg,,,,,,,200,ml,
126300,name26,B76LB51,drops,5,supository,anal,B96OJ24,J98ML44,,20,,1,mg,,mg,,,,,,,200,ml,
320200,name27,K34MH12,drops,5,supository,anal,F40BM21,J43DO61,,20,,1,mg,,mg,,,,,,,200,ml,
294800,name28,J01BF96,drops,5,supository,anal,E80KO45,L52AG01,,20,,1,mg,,mg,,,,,,,200,ml,
324800,name29,G93BF89,drops,5,supository,anal,N16HM34,C61DD82,,20,,1,mg,,mg,,,,,,,200,ml,
176400,name30,E33JM74,drops,5,supository,anal,F96CO60,L90NK15,,20,,1,mg,,mg,,,,,,,200,ml,
171500,name31,H32JO54,bottle,1,solution,oral,I45NL33,E32OK27,,10,,10,UI,,UI,,,,,,,200,ml,
239400,name32,L20AM44,bottle,1,solution,oral,L94JE79,M68KC19,,10,,10,UI,,UI,,,,,,,200,ml,
191400,name33,L24HH95,bottle,1,solution,oral,J77DM26,F85IK15,,10,,10,UI,,UI,,,,,,,200,ml,
304900,name34,L16IE16,bottle,1,solution,oral,O51LM07,L61BD15,,10,,10,UI,,UI,,,,,,,200,ml,
175100,name35,K77IA45,bottle,1,solution,oral,A02OO76,M31LD44,,10,,10,UI,,UI,,,,,,,200,ml,
240600,name36,E64NI42,bottle,1,solution,oral,F82GM20,D97JK99,,10,,10,UI,,UI,,,,,,,200,ml,
306600,name37,E58MO63,bottle,1,solution,oral,M14AI78,F80KM10,,10,,10,UI,,UI,,,,,,,200,ml,
200400,name38,F11OH03,bottle,1,solution,oral,B11MB66,G43FM55,,10,,10,UI,,UI,,,,,,,200,ml,
331000,name39,A47ID73,bottle,1,solution,oral,A10NC87,G77OC52,,10,,10,UI,,UI,,,,,,,200,ml,
320900,name40,O56FD73,bottle,1,solution,oral,L40BG50,G91OD79,,10,,10,UI,,UI,,,,,,,200,ml,
234300,name41,C13HF35,capsule,20,capsule,oral,G11DK14,K01KM49,,10,,10,UI,,UI,,,,,,,200,ml,
329100,name42,C78GI60,capsule,20,capsule,oral,D47BC40,O24LH67,,10,,10,UI,,UI,,,,,,,200,ml,
129700,name43,A00MK91,capsule,20,capsule,oral,N89OJ72,J00HB16,,10,,10,UI,,UI,,,,,,,200,ml,
291200,name44,K24AE71,capsule,20,capsule,oral,I67IN82,H50JD40,,10,,10,UI,,UI,,,,,,,200,ml,
205600,name45,C45KE20,capsule,20,capsule,oral,H02GJ69,I08KK44,,10,,10,UI,,UI,,,,,,,200,ml,
337100,name46,C37MB66,capsule,20,capsule,oral,F62HE20,D28MB73,,10,,10,UI,,UI,,,,,,,200,ml,
389200,name47,O13BH85,capsule,20,capsule,oral,B71FG33,D10NL04,,10,,10,UI,,UI,,,,,,,200,ml,
303500,name48,I98AA52,capsule,20,capsule,oral,N55JE67,D98EL96,,10,,10,UI,,UI,,,,,,,200,ml,
159700,name49,M92AL73,capsule,20,capsule,oral,N31OK98,F97BH93,,10,,10,UI,,UI,,,,,,,200,ml,
358600,name50,G85LI18,capsule,20,capsule,oral,O74KN92,C07MH74,,10,,10,UI,,UI,,,,,,,200,ml,
123700,name51,O90LD94,,5,,,L48ML35,,,,,,,,,1,,,mg/ml,,,200,ml,
266600,name52,D47NI03,,5,,,F31JM27,,,,,,,,,1,,,mg/ml,,,200,ml,
313900,name53,G51HM50,,5,,,J02KL30,,,,,,,,,1,,,mg/ml,,,200,ml,
343200,name54,F31OM07,,5,,,F30IF67,,,,,,,,,1,,,mg/ml,,,200,ml,
394700,name55,B54LI36,,5,,,G78MI00,,,,,,,,,1,,,mg/ml,,,200,ml,
104700,name56,L66HD69,,5,,,A14LL49,,,,,,,,,1,,,mg/ml,,,200,ml,
185800,name57,L62EG54,,5,,,B31HE22,,,,,,,,,1,,,mg/ml,,,200,ml,
227900,name58,G08EM85,,5,,,D49IN51,,,,,,,,,1,,,mg/ml,,,200,ml,
165000,name59,K14NN53,,5,,,G00FO60,,,,,,,,,1,,,mg/ml,,,200,ml,
323000,name60,N09BC75,,5,,,C40CI66,,,,,,,,,1,,,mg/ml,,,200,ml,
324500,name61,A06GB72,,,,,O17CJ58,,,,,,,,,1,,,mg/ml,,,200,ml,
318800,name62,B51EG53,,,,,A96NN77,,,,,,,,,1,,,mg/ml,,,200,ml,
232600,name63,O57EF56,,,,,B77CD91,,,,,,,,,1,,,mg/ml,,,200,ml,
175300,name64,A19KN48,,,,,I23DE78,,,,,,,,,1,,,mg/ml,,,200,ml,
306400,name65,G33OA23,,,,,N31IA34,,,,,,,,,1,,,mg/ml,,,200,ml,
345500,name66,F10IN68,,,,,F44KL88,,,,,,,,,1,,,mg/ml,,,200,ml,
343800,name67,J47NO17,,,,,C55EG89,,,,,,,,,1,,,mg/ml,,,200,ml,
133500,name68,A13LE91,,,,,I26EK99,,,,,,,,,1,,,mg/ml,,,200,ml,
204400,name69,F96JD44,,,,,H47NM13,,,,,,,,,1,,,mg/ml,,,200,ml,
