"Condition","Coding system","Code","Code name","Concept","Concept name","Tags","Code_range"
"ADHD","ICD10","F90","Hyperkinetic disorders","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","ICD10","F90.0","Disturbance of activity and attention","C0579986","Disturbance of activity and attention",NA,"N/A"
"ADHD","ICD10","F90.1","Hyperkinetic conduct disorder","C0339004","Hyperkinetic conduct disorder",NA,"N/A"
"ADHD","ICD10","F90.8","Other hyperkinetic disorders","C0349333","Other hyperkinetic disorders",NA,"N/A"
"ADHD","ICD10","F90.9","Hyperkinetic disorder, unspecified","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","ICD10CM","F90","attention deficit disorder with hyperactivity","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","ICD10CM","F90.0","Attention-deficit hyperactivity disorder, predominantly inattentive type","C0339002","Attention-Deficit/Hyperactivity Disorder, Predominantly Inattentive Type",NA,"N/A"
"ADHD","ICD10CM","F90.1","Attention-deficit hyperactivity disorder, predominantly hyperactive type","C2874998","Attention-deficit hyperactivity disorder, predominantly hyperactive type",NA,"N/A"
"ADHD","ICD10CM","F90.2","Attention-deficit hyperactivity disorder, combined type","C2945552","Attention deficit hyperactivity disorder, combined type",NA,"N/A"
"ADHD","ICD10CM","F90.8","Attention-deficit hyperactivity disorder, other type","C2874999","Attention-deficit hyperactivity disorder, other type",NA,"N/A"
"ADHD","ICD10CM","F90.9","Attention-deficit hyperactivity disorder NOS","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","ICD10CM","F90.9","Attention-deficit hyperactivity disorder, unspecified type","C2875001","Attention-deficit hyperactivity disorder, unspecified type",NA,"N/A"
"ADHD","ICD9CM","314","Hyperkinetic syndrome of childhood","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","ICD9CM","314.0","Attention deficit disorder of childhood","C0004269","Child attention deficit disorder",NA,"N/A"
"ADHD","ICD9CM","314.00","Attention deficit disorder without mention of hyperactivity","C0339002","Attention-Deficit/Hyperactivity Disorder, Predominantly Inattentive Type",NA,"N/A"
"ADHD","ICD9CM","314.01","Attention deficit disorder with hyperactivity","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","ICD9CM","314.1","Hyperkinesis with developmental delay","C0154627","hyperkinesis of childhood with developmental delay",NA,"N/A"
"ADHD","ICD9CM","314.2","Hyperkinetic conduct disorder","C0154628","Hyperkinetic conduct disorder of childhood",NA,"N/A"
"ADHD","ICD9CM","314.8","Other specified manifestations of hyperkinetic syndrome","C0154629","Other specified manifestations of hyperkinetic syndrome",NA,"N/A"
"ADHD","ICD9CM","314.9","Unspecified hyperkinetic syndrome","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","MTHICD9","314.0","Child attention deficit disorder","C0004269","Child attention deficit disorder",NA,"N/A"
"ADHD","MTHICD9","314.0","Adult attention deficit disorder","C0865424","Adult attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","MTHICD9","314.00","Attention deficit disorder of childhood without mention of hyperactivity","C0339002","Attention-Deficit/Hyperactivity Disorder, Predominantly Inattentive Type",NA,"N/A"
"ADHD","MTHICD9","314.01","Attention deficit disorder of childhood with hyperactivity","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","MTHICD9","314.1","Hyperkinesis of childhood with developmental delay","C0154627","hyperkinesis of childhood with developmental delay",NA,"N/A"
"ADHD","MTHICD9","314.2","Hyperkinetic conduct disorder of childhood","C0154628","Hyperkinetic conduct disorder of childhood",NA,"N/A"
"ADHD","MTHICD9","314.8","Other specified manifestations of hyperkinetic syndrome of childhood","C0154629","Other specified manifestations of hyperkinetic syndrome",NA,"N/A"
"ADHD","MTHICD9","314.9","Hyperkinetic syndrome NOS","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","RCD2","1P00.","Hyperactive behaviour","C0424295","Hyperactive behavior",NA,"N/A"
"ADHD","RCD2","E2E..","Childhood hyperkinetic syndr.","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","RCD2","E2E0.","Child attention deficit disord","C0004269","Child attention deficit disorder",NA,"N/A"
"ADHD","RCD2","E2E00","Attention deficit-not hyperact","C0339002","Attention-Deficit/Hyperactivity Disorder, Predominantly Inattentive Type",NA,"N/A"
"ADHD","RCD2","E2E01","Attention deficit +hyperactive","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","RCD2","E2E0z","Child attent.deficit dis.NOS","C0004269","Child attention deficit disorder",NA,"N/A"
"ADHD","RCD2","E2E1.","Hyperkinesis+development delay","C0339001","Hyperkinesis with developmental delay",NA,"N/A"
"ADHD","RCD2","E2E2.","Hyperkinetic conduct disorder","C0339004","Hyperkinetic conduct disorder",NA,"N/A"
"ADHD","RCD2","E2Ey.","Other hyperkinetic manifestat.","C0339000","Other hyperkinetic manifestation",NA,"N/A"
"ADHD","RCD2","E2Ez.","Hyperkinetic syndrome NOS","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","RCD2","Eu900","[X]Disturbance activity/attntn","C0579986","Disturbance of activity and attention",NA,"N/A"
"ADHD","RCD2","Eu902","[X]Def atten motor cont percep","C0454625","Deficits in attention motor control and perception",NA,"N/A"
"ADHD","RCD2","Eu90y","[X]Oth hyperkinetic disorders","C0349333","Other hyperkinetic disorders",NA,"N/A"
"ADHD","RCD2","Eu90z","[X]Hyperkinetic disorder, unsp","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","SNOMEDCT_US","154940006","Attention deficit disorder","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","SNOMEDCT_US","154951006","Childhood hyperkinetic syndrome","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","SNOMEDCT_US","154952004","Attention deficit hyperactivity disorder","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","SNOMEDCT_US","192126003","Childhood hyperkinetic syndrome","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","SNOMEDCT_US","192127007","Child attention deficit disorder","C0004269","Child attention deficit disorder",NA,"N/A"
"ADHD","SNOMEDCT_US","192129005","Attention deficit hyperactivity disorder","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","SNOMEDCT_US","192130000","Child attention deficit disorder NOS","C0004269","Child attention deficit disorder",NA,"N/A"
"ADHD","SNOMEDCT_US","192131001","Hyperkinesis with developmental delay","C0339001","Hyperkinesis with developmental delay",NA,"N/A"
"ADHD","SNOMEDCT_US","192132008","Hyperkinetic conduct disorder","C0339004","Hyperkinetic conduct disorder",NA,"N/A"
"ADHD","SNOMEDCT_US","192133003","Other hyperkinetic manifestation","C0339000","Other hyperkinetic manifestation",NA,"N/A"
"ADHD","SNOMEDCT_US","192134009","Hyperkinetic syndrome NOS","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","SNOMEDCT_US","192592000","Childhood hyperkinetic syndrome","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","SNOMEDCT_US","192593005","[X]Disturbance of activity and attention","C0579986","Disturbance of activity and attention",NA,"N/A"
"ADHD","SNOMEDCT_US","192594004","Hyperkinetic conduct disorder","C0339004","Hyperkinetic conduct disorder",NA,"N/A"
"ADHD","SNOMEDCT_US","192595003","[X]Other hyperkinetic disorders","C0349333","Other hyperkinetic disorders",NA,"N/A"
"ADHD","SNOMEDCT_US","192596002","[X]Hyperkinetic disorder, unspecified","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","SNOMEDCT_US","229715008","Deficits in attention motor control and perception","C0454625","Deficits in attention motor control and perception",NA,"N/A"
"ADHD","SNOMEDCT_US","229717000","Attention deficit hyperactivity disorder","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","SNOMEDCT_US","280996003","Attention deficit without hyperactivity","C0339002","Attention-Deficit/Hyperactivity Disorder, Predominantly Inattentive Type",NA,"N/A"
"ADHD","SNOMEDCT_US","31177006","Attention deficit hyperactivity disorder, combined type","C2945552","Attention deficit hyperactivity disorder, combined type",NA,"N/A"
"ADHD","SNOMEDCT_US","35253001","Attention deficit hyperactivity disorder, predominantly inattentive type","C0339002","Attention-Deficit/Hyperactivity Disorder, Predominantly Inattentive Type",NA,"N/A"
