"concept","concept_name","original_code","code","pregnancy_filter","vocabulary"
"BIFAP","EMBARAZO CONFIRMADO NO DESEADO","77386006","77386006","ongoing_pregnancy","SNOMEDCT_US"
"C0000786","Spontaneous abortion","156071003,156074006,198631006,198643007","198631006","interruption_pregnancy","SNOMEDCT_US"
"C0000786","Spontaneous abortion","156071003,156074006,198631006,198643007","198643007","interruption_pregnancy","SNOMEDCT_US"
"C0000786","Spontaneous abortion","156071003,156074006,198631006,198643007","156071003","interruption_pregnancy","SNOMEDCT_US"
"C0000786","Spontaneous abortion","156071003,156074006,198631006,198643007","156074006","interruption_pregnancy","SNOMEDCT_US"
"C0000786","Spontaneous abortion","634","634","interruption_pregnancy","ICD9CM"
"C0000786","Spontaneous abortion","L04z.,L04..,L040.,L040z","L04z.","interruption_pregnancy","RCD2"
"C0000786","Spontaneous abortion","L04z.,L04..,L040.,L040z","L04..","interruption_pregnancy","RCD2"
"C0000786","Spontaneous abortion","L04z.,L04..,L040.,L040z","L040.","interruption_pregnancy","RCD2"
"C0000786","Spontaneous abortion","L04z.,L04..,L040.,L040z","L040z","interruption_pregnancy","RCD2"
"C0000786","Spontaneous abortion","L04z.,L040.,L040z","L040z","interruption_pregnancy","RCD"
"C0000786","Spontaneous abortion","L04z.,L040.,L040z","L04z.","interruption_pregnancy","RCD"
"C0000786","Spontaneous abortion","L04z.,L040.,L040z","L040.","interruption_pregnancy","RCD"
"C0000786","Spontaneous abortion","O03","O03","interruption_pregnancy","ICD10CM"
"C0000786","Spontaneous abortion","W82001","W82001","interruption_pregnancy","ICPC2P"
"C0000804","Abortion, Criminal","156077004,198730003,198731004,198742008,198767006,49632008","198731004","interruption_pregnancy","SNOMEDCT_US"
"C0000804","Abortion, Criminal","156077004,198730003,198731004,198742008,198767006,49632008","198742008","interruption_pregnancy","SNOMEDCT_US"
"C0000804","Abortion, Criminal","156077004,198730003,198731004,198742008,198767006,49632008","156077004","interruption_pregnancy","SNOMEDCT_US"
"C0000804","Abortion, Criminal","156077004,198730003,198731004,198742008,198767006,49632008","198730003","interruption_pregnancy","SNOMEDCT_US"
"C0000804","Abortion, Criminal","156077004,198730003,198731004,198742008,198767006,49632008","198767006","interruption_pregnancy","SNOMEDCT_US"
"C0000804","Abortion, Criminal","156077004,198730003,198731004,198742008,198767006,49632008","49632008","interruption_pregnancy","SNOMEDCT_US"
"C0000804","Abortion, Criminal","636","636","interruption_pregnancy","ICD9CM"
"C0000804","Abortion, Criminal","L06..,L060.,L06z.,L060z","L060.","interruption_pregnancy","RCD2"
"C0000804","Abortion, Criminal","L06..,L060.,L06z.,L060z","L06z.","interruption_pregnancy","RCD2"
"C0000804","Abortion, Criminal","L06..,L060.,L06z.,L060z","L060z","interruption_pregnancy","RCD2"
"C0000804","Abortion, Criminal","L06..,L060.,L06z.,L060z","L06..","interruption_pregnancy","RCD2"
"C0000804","Abortion, Criminal","XE0vl,L060.,L06z.,L060z","L060z","interruption_pregnancy","RCD"
"C0000804","Abortion, Criminal","XE0vl,L060.,L06z.,L060z","L06z.","interruption_pregnancy","RCD"
"C0000804","Abortion, Criminal","XE0vl,L060.,L06z.,L060z","XE0vl","interruption_pregnancy","RCD"
"C0000804","Abortion, Criminal","XE0vl,L060.,L06z.,L060z","L060.","interruption_pregnancy","RCD"
"C0000814","Missed abortion","156087000,16607004,","156087000","interruption_pregnancy","SNOMEDCT_US"
"C0000814","Missed abortion","156087000,16607004,","16607004","interruption_pregnancy","SNOMEDCT_US"
"C0000814","Missed abortion","632","632","interruption_pregnancy","ICD9CM"
"C0000814","Missed abortion","L02..,L011.","L02..","interruption_pregnancy","RCD2"
"C0000814","Missed abortion","L02..,L011.","L011.","interruption_pregnancy","RCD2"
"C0000814","Missed abortion","O02.1","O02.1","interruption_pregnancy","ICD10CM"
"C0000814","Missed abortion","W82007","W82007","interruption_pregnancy","ICPC2P"
"C0000814","Missed abortion","XE0ve","XE0ve","interruption_pregnancy","RCD"
"C0000821","Threatened abortion","156098004,198882006,198885008,22689002,","198885008","ongoing_pregnancy","SNOMEDCT_US"
"C0000821","Threatened abortion","156098004,198882006,198885008,22689002,","22689002","ongoing_pregnancy","SNOMEDCT_US"
"C0000821","Threatened abortion","156098004,198882006,198885008,22689002,","198882006","ongoing_pregnancy","SNOMEDCT_US"
"C0000821","Threatened abortion","156098004,198882006,198885008,22689002,","156098004","ongoing_pregnancy","SNOMEDCT_US"
"C0000821","Threatened abortion","640","640","ongoing_pregnancy","ICD9CM"
"C0000821","Threatened abortion","L100.,L100z,L1000","L100z","ongoing_pregnancy","RCD"
"C0000821","Threatened abortion","L100.,L100z,L1000","L100.","ongoing_pregnancy","RCD"
"C0000821","Threatened abortion","L100.,L100z,L1000","L1000","ongoing_pregnancy","RCD"
"C0000821","Threatened abortion","L100z,L100.,L1000","L100z","ongoing_pregnancy","RCD2"
"C0000821","Threatened abortion","L100z,L100.,L1000","L100.","ongoing_pregnancy","RCD2"
"C0000821","Threatened abortion","L100z,L100.,L1000","L1000","ongoing_pregnancy","RCD2"
"C0000821","Threatened abortion","O20.0","O20.0","ongoing_pregnancy","ICD10CM"
"C0000821","Threatened abortion","W82003,W82006","W82003","ongoing_pregnancy","ICPC2P"
"C0000821","Threatened abortion","W82003,W82006","W82006","ongoing_pregnancy","ICPC2P"
"C0000832","Abruptio Placentae","156102007,198908009,198909001,198913008,360561001,405736009,","156102007","interruption_pregnancy","SNOMEDCT_US"
