"","studyFUmonths","Freq","YM"
"1","200901",372,"2009-01"
"2","200902",372,"2009-02"
"3","200903",371,"2009-03"
"4","200904",371,"2009-04"
"5","200905",371,"2009-05"
"6","200906",371,"2009-06"
"7","200907",371,"2009-07"
"8","200908",372,"2009-08"
"9","200909",372,"2009-09"
"10","200910",377,"2009-10"
"11","200911",378,"2009-11"
"12","200912",375,"2009-12"
"13","201001",373,"2010-01"
"14","201002",373,"2010-02"
"15","201003",372,"2010-03"
"16","201004",368,"2010-04"
"17","201005",368,"2010-05"
"18","201006",365,"2010-06"
"19","201007",368,"2010-07"
"20","201008",370,"2010-08"
"21","201009",369,"2010-09"
"22","201010",374,"2010-10"
"23","201011",374,"2010-11"
"24","201012",374,"2010-12"
"25","201101",374,"2011-01"
"26","201102",374,"2011-02"
"27","201103",373,"2011-03"
"28","201104",373,"2011-04"
"29","201105",376,"2011-05"
"30","201106",376,"2011-06"
"31","201107",374,"2011-07"
"32","201108",376,"2011-08"
"33","201109",378,"2011-09"
"34","201110",378,"2011-10"
"35","201111",379,"2011-11"
"36","201112",379,"2011-12"
"37","201201",378,"2012-01"
"38","201202",379,"2012-02"
"39","201203",379,"2012-03"
"40","201204",375,"2012-04"
"41","201205",374,"2012-05"
"42","201206",373,"2012-06"
"43","201207",375,"2012-07"
"44","201208",374,"2012-08"
"45","201209",372,"2012-09"
"46","201210",372,"2012-10"
"47","201211",369,"2012-11"
"48","201212",368,"2012-12"
"49","201301",370,"2013-01"
"50","201302",368,"2013-02"
"51","201303",370,"2013-03"
"52","201304",369,"2013-04"
"53","201305",367,"2013-05"
"54","201306",362,"2013-06"
"55","201307",361,"2013-07"
"56","201308",358,"2013-08"
"57","201309",357,"2013-09"
"58","201310",356,"2013-10"
"59","201311",353,"2013-11"
"60","201312",352,"2013-12"
"61","201401",352,"2014-01"
"62","201402",353,"2014-02"
"63","201403",354,"2014-03"
"64","201404",356,"2014-04"
"65","201405",359,"2014-05"
"66","201406",359,"2014-06"
"67","201407",360,"2014-07"
"68","201408",360,"2014-08"
"69","201409",361,"2014-09"
"70","201410",362,"2014-10"
"71","201411",363,"2014-11"
"72","201412",363,"2014-12"
"73","201501",363,"2015-01"
"74","201502",364,"2015-02"
"75","201503",363,"2015-03"
"76","201504",363,"2015-04"
"77","201505",363,"2015-05"
"78","201506",361,"2015-06"
"79","201507",360,"2015-07"
"80","201508",358,"2015-08"
"81","201509",356,"2015-09"
"82","201510",354,"2015-10"
"83","201511",353,"2015-11"
"84","201512",351,"2015-12"
"85","201601",349,"2016-01"
"86","201602",347,"2016-02"
"87","201603",345,"2016-03"
"88","201604",344,"2016-04"
"89","201605",343,"2016-05"
"90","201606",339,"2016-06"
"91","201607",339,"2016-07"
"92","201608",340,"2016-08"
"93","201609",339,"2016-09"
"94","201610",337,"2016-10"
"95","201611",336,"2016-11"
"96","201612",336,"2016-12"
"97","201701",333,"2017-01"
"98","201702",333,"2017-02"
"99","201703",334,"2017-03"
"100","201704",332,"2017-04"
"101","201705",332,"2017-05"
"102","201706",332,"2017-06"
"103","201707",332,"2017-07"
"104","201708",330,"2017-08"
"105","201709",326,"2017-09"
"106","201710",325,"2017-10"
"107","201711",322,"2017-11"
"108","201712",323,"2017-12"
"109","201801",324,"2018-01"
"110","201802",323,"2018-02"
"111","201803",323,"2018-03"
"112","201804",322,"2018-04"
"113","201805",321,"2018-05"
"114","201806",320,"2018-06"
"115","201807",316,"2018-07"
"116","201808",314,"2018-08"
"117","201809",315,"2018-09"
"118","201810",315,"2018-10"
"119","201811",313,"2018-11"
"120","201812",312,"2018-12"
"121","201901",310,"2019-01"
"122","201902",308,"2019-02"
"123","201903",306,"2019-03"
"124","201904",304,"2019-04"
"125","201905",302,"2019-05"
"126","201906",301,"2019-06"
"127","201907",300,"2019-07"
"128","201908",298,"2019-08"
"129","201909",297,"2019-09"
"130","201910",296,"2019-10"
"131","201911",296,"2019-11"
"132","201912",295,"2019-12"
