"Code","Medication"
"G03AA01","Etynodiol and ethinylestradiol"
"G03AA02","Quingestanol and ethinylestradiol"
"G03AA03","Lynestrenol and ethinylestradiol"
"G03AA04","Megestrol and ethinylestradiol"
"G03AA05","Norethisterone and ethinylestradiol"
"G03AA06","Norgestrel and ethinylestradiol"
"G03AA07","Levonorgestrel and ethinylestradiol"
"G03AA08","Medroxyprogesterone and ethinylestradiol"
"G03AA09","Desogestrel and ethinylestradiol"
"G03AA10","Gestodene and ethinylestradiol"
"G03AA11","Norgestimate and ethinylestradiol"
"G03AA12","Drospirenone and ethinylestradiol"
"G03AA13","Norelgestromin and ethinylestradiol"
"G03AA14","Nomegestrol and estradiol"
"G03AA15","Chlormadinone and ethinylestradiol"
"G03AA16","Dienogest and ethinylestradiol"
"G03AA17","Medroxyprogesterone and estradiol"
