"event_definition","Coding_system","Codes"
"Arteritis","ICD9CM","447.6"
"Behcet Syndrome","ICD9CM","136.1"
"Granuloma, Lethal Midline","ICD9CM","446.3"
"Mucocutaneous Lymph Node Syndrome","ICD9CM","446.1"
"Polyarteritis Nodosa","ICD9CM","446.0"
"Henoch-Schoenlein Purpura","ICD9CM","287.0"
"Takayasu Arteritis","ICD9CM","446.7"
"Giant Cell Arteritis","ICD9CM","446.5"
"Thromboangiitis Obliterans","ICD9CM","443.1"
"Vasculitis, Leukocytoclastic, Cutaneous","ICD9CM","446.2, 446.20"
"polyarteritis nodosa; related condition","ICD9CM","446"
"Other specified hypersensitivity angiitis","ICD9CM","446.29"
"Portal Vein Thrombosis","ICD9CM","452"
"Anti-Glomerular Basement Membrane Disease","ICD9CM","446.21"
"Thrombotic Microangiopathies","ICD9CM","446.6"
"Arteritis","ICPC2P","K99041"
"Mucocutaneous Lymph Node Syndrome","ICPC2P","B99022"
"Polyarteritis Nodosa","ICPC2P","K99024"
"Henoch-Schoenlein Purpura","ICPC2P","B83019"
"Giant Cell Arteritis","ICPC2P","K99005"
"Thromboangiitis Obliterans","ICPC2P","K92001, K92021"
"Vasculitis","ICPC2P","K99016"
"Portal Vein Thrombosis","ICPC2P","K94003"
"Granuloma, Lethal Midline","MTHICD9","446.3"
"Mucocutaneous Lymph Node Syndrome","MTHICD9","446.1"
"Polyarteritis Nodosa","MTHICD9","446.0"
"Henoch-Schoenlein Purpura","MTHICD9","287.0"
"Takayasu Arteritis","MTHICD9","446.7"
"Giant Cell Arteritis","MTHICD9","446.5"
"Thromboangiitis Obliterans","MTHICD9","443.1"
"Thrombosis","MTHICD9","453.9"
"Vasculitis, Leukocytoclastic, Cutaneous","MTHICD9","287.0"
"Arteritis","RCD2","G766."
"Behcet Syndrome","RCD2","AD61."
"Granuloma, Lethal Midline","RCD2","G753."
"Mucocutaneous Lymph Node Syndrome","RCD2","G751z, G7510"
"Henoch-Schoenlein Purpura","RCD2","D310z, D310., D3100"
"Giant Cell Arteritis","RCD2","G755z, G755."
"Thromboangiitis Obliterans","RCD2","G7310, G731z, G7311"
"Vasculitis","RCD2","G76B."
"Vasculitis, Leukocytoclastic, Cutaneous","RCD2","G752z"
"polyarteritis nodosa; related condition","RCD2","G75z., G75.."
"Portal Vein Thrombosis","RCD2","G81.."
"Anti-Glomerular Basement Membrane Disease","RCD2","G7520, G7521"
"Thrombotic Microangiopathies","RCD2","G756., G756z"
"Arteritis","ICD10/CM","I77.6"
"Behcet Syndrome","ICD10/CM","M35.2"
"Granuloma, Lethal Midline","ICD10/CM","M31.2"
"Mucocutaneous Lymph Node Syndrome","ICD10/CM","M30.3"
"Polyarteritis Nodosa","ICD10/CM","M30.0"
"Henoch-Schoenlein Purpura","ICD10/CM","D69.0"
"Takayasu Arteritis","ICD10/CM","M31.4"
"Thromboangiitis Obliterans","ICD10/CM","I73.1"
"Vasculitis, Leukocytoclastic, Cutaneous","ICD10/CM","M31.0, D69.0"
"polyarteritis nodosa; related condition","ICD10/CM","M30"
"Portal Vein Thrombosis","ICD10/CM","I81"
"Anti-Glomerular Basement Membrane Disease","ICD10/CM","M31.0"
"Thrombotic Microangiopathies","ICD10/CM","M31.1"
"Arteritis","RCD","X2056, XE0VW"
"Behcet Syndrome","RCD","AD61."
"Granuloma, Lethal Midline","RCD","G753."
"Mucocutaneous Lymph Node Syndrome","RCD","G7510, G751z"
"Polyarteritis Nodosa","RCD","Xa3fZ, XE0VU"
"Henoch-Schoenlein Purpura","RCD","D310., D3100, D310z"
"Takayasu Arteritis","RCD","XE2QH"
"Giant Cell Arteritis","RCD","G755., G755z"
"Thromboangiitis Obliterans","RCD","G7310, G7311, G731z"
"Thrombosis","RCD","XC0fW"
