"event_definition","Coding_system","Codes"
"Toxic Epidermal Necrolysis","ICD9CM","695.15"
"Stevens-Johnson Syndrome","ICD9CM","695.13"
"Stevens Johnson Syndrome-toxic epidermal necrolysis overlap syndrome","ICD9CM","695.14"
"Stevens-Johnson Syndrome","ICPC2P","A12005, S99032"
"Toxic Epidermal Necrolysis","MTHICD9","695.15"
"Erythema iris","MTHICD9","695.10"
"Stevens Johnson Syndrome-toxic epidermal necrolysis overlap syndrome","MTHICD9","695.14"
"Toxic Epidermal Necrolysis","RCD2","M1518"
"Stevens-Johnson Syndrome","RCD2","M1517"
"Erythema iris","RCD2","M1511"
"Toxic Epidermal Necrolysis","ICD10/CM","L51.2"
"Stevens-Johnson Syndrome","ICD10/CM","L51.1"
"Toxic Epidermal Necrolysis","RCD","M1518"
"Stevens-Johnson Syndrome","RCD","M1517, X50CE"
"Erythema iris","RCD","M1511"
"Toxic Epidermal Necrolysis","SCTSPA","23067006, 768962006"
"Toxic epidermal necrolysis due to drug","SCTSPA","402744003"
"Stevens-Johnson Syndrome","SCTSPA","73442001"
"Erythema iris","SCTSPA","81487000"
"Drug-Induced Stevens Johnson Syndrome","SCTSPA","403609001"
"Oculomucocutaneous syndrome","SCTSPA","95331002"
"Toxic Epidermal Necrolysis","SNOMEDCT_US","156362004, 200919006, 23067006, 267848009, 768962006"
"Toxic epidermal necrolysis due to drug","SNOMEDCT_US","402744003"
"Stevens-Johnson Syndrome","SNOMEDCT_US","156362004, 238819008, 267848009, 73442001"
"Erythema iris","SNOMEDCT_US","81487000"
"Drug-Induced Stevens Johnson Syndrome","SNOMEDCT_US","403609001"
"Oculomucocutaneous syndrome","SNOMEDCT_US","95331002"
