"event_definition","Coding_system","Codes"
"Pancreatitis, Acute","ICD9CM","577.0"
"Ulcerative Colitis","ICD9CM","556, 556.9"
"Gastrointestinal Hemorrhage","ICD9CM","578, 578.9"
"Hematemesis","ICD9CM","578.0"
"Hemorrhage of rectum and anus","ICD9CM","569.3"
"Irritable Bowel Syndrome","ICD9CM","564.1"
"Acute gastric ulcer with hemorrhage","ICD9CM","531.0"
"Acute gastric ulcer with hemorrhage and perforation","ICD9CM","531.2"
"Gastric ulcer chronic or unspecified with hemorrhage","ICD9CM","531.4"
"Acute duodenal ulcer with hemorrhage","ICD9CM","532.0"
"Acute duodenal ulcer with hemorrhage AND perforation","ICD9CM","532.2"
"Duodenal ulcer, chronic or unspecified with hemorrhage","ICD9CM","532.4"
"Acute gastrojejunal ulcer with hemorrhage","ICD9CM","534.0"
"Acute gastrojejunal ulcer with hemorrhage and perforation","ICD9CM","534.2"
"Chronic or unspecified gastrojejunal ulcer with haemorrhage","ICD9CM","534.4"
"Atrophic gastritis, with haemorrhage","ICD9CM","535.11"
"Gastric mucosal hypertrophy, with haemorrhage","ICD9CM","535.21"
"Other specified gastritis, with hemorrhage","ICD9CM","535.41"
"Unspecified gastritis and gastroduodenitis, with hemorrhage","ICD9CM","535.51"
"Angiodysplasia of stomach and duodenum with haemorrhage","ICD9CM","537.83"
"Diverticulitis of small intestine with haemorrhage","ICD9CM","562.03"
"Diverticulosis of colon with haemorrhage","ICD9CM","562.12"
"Angiodysplasia of intestine with haemorrhage","ICD9CM","569.85"
"Acute peptic ulcer with hemorrhage","ICD9CM","533.0, 533.00"
"Acute peptic ulcer with hemorrhage and perforation","ICD9CM","533.2"
"Chronic ulcerative enterocolitis","ICD9CM","556.0"
"Chronic ulcerative ileocolitis","ICD9CM","556.1"
"Chronic ulcerative rectosigmoiditis","ICD9CM","556.3"
"Hemorrhagic duodenitis","ICD9CM","535.61"
"Other ulcerative colitis","ICD9CM","556.8"
"Chronic left-sided ulcerative colitis","ICD9CM","556.5"
"Universal ulcerative (chronic) colitis","ICD9CM","556.6"
"Gastric ulcer, chronic or unspecified with both hemorrhage and perforation","ICD9CM","531.6"
"Duodenal ulcer, chronic or unspecified with both hemorrhage and perforation","ICD9CM","532.6"
"Chronic or unspecified peptic ulcer of unspecified site with haemorrhage","ICD9CM","533.4"
"Peptic ulcer, chronic or unspecified with both hemorrhage and perforation","ICD9CM","533.6"
"Gastrojejunal ulcer, chronic or unspecified with both hemorrhage and perforation","ICD9CM","534.6"
"Blood in stool","ICD9CM","578.1"
"Acute hemorrhagic gastritis","ICD9CM","535.01"
"eosinophilic gastritis with hemorrhage","ICD9CM","535.71"
"Chronic ulcerative proctitis","ICD9CM","556.2"
"Ulcerative Colitis","ICPC2P","D94002, D94007"
"Gastrointestinal Diseases","ICPC2P","D99047, D99050"
"Gastrointestinal Hemorrhage","ICPC2P","D15001"
"Hematemesis","ICPC2P","D14001, D14003"
"Inflammatory Bowel Diseases","ICPC2P","D94009"
"Irritable Bowel Syndrome","ICPC2P","D93003, D93007, D93011"
"Pancreatitis","ICPC2P","D99043"
"Blood in stool","ICPC2P","D16003, D16005"
"Hematemesis","MTHICD9","578.0"
"Irritable Bowel Syndrome","MTHICD9","564.1"
"Pancreatitis","MTHICD9","577.0"
"Ulcerative enterocolitis","MTHICD9","556.0"
"Chronic ulcerative enterocolitis","MTHICD9","556.0"
"Chronic ulcerative ileocolitis","MTHICD9","556.1"
"Chronic ulcerative rectosigmoiditis","MTHICD9","556.3"
"Chronic left-sided ulcerative colitis","MTHICD9","556.5"
"Universal ulcerative (chronic) colitis","MTHICD9","556.6"
"Acute hemorrhagic gastritis","MTHICD9","535.01"
"Chronic ulcerative proctitis","MTHICD9","556.2"
"Pancreatitis, Acute","RCD2","J670., J6700"
"Ulcerative Colitis","RCD2","J41z."
"Gastrointestinal Diseases","RCD2","J43.., J...."
"Gastrointestinal Hemorrhage","RCD2","J68zz, J68.."
"Hematemesis","RCD2","J680."
"Hemorrhage of rectum and anus","RCD2","J573z"
"Pancreatitis","RCD2","J670z"
"Ulcerative enterocolitis","RCD2","J411."
"Acute gastric ulcer with hemorrhage","RCD2","J1101"
