"event_definition","Coding_system","Codes"
"Hepatitis","ICD9CM","573.3"
"Acute and subacute liver necrosis (disorder)","ICD9CM","570"
"Hepatitis, Chronic","ICD9CM","571.4, 571.40"
"Liver Failure","ICPC2P","D97007"
"Hepatitis","ICPC2P","D72002, D97008"
"Icterus","ICPC2P","D13001"
"Icterus","MTHICD9","782.4"
"Hepatic necrosis","MTHICD9","570"
"Other specified inflammatory liver diseases","RCD2","Jyu72"
"Liver Failure","RCD2","J625., J62y."
"Hepatitis","RCD2","J633., J633z"
"Icterus","RCD2","1675., R0241"
"Acute and subacute liver necrosis (disorder)","RCD2","J60.., J60z."
"Chronic liver disease","RCD2","J61z."
"Hepatitis, Chronic","RCD2","J614., J614z, J614y"
"Other specified inflammatory liver diseases","SCTSPA","197554008"
"Liver Failure","SCTSPA","235882007, 235883002, 59927004"
"Hepatitis","SCTSPA","128241005, 197351001, 197353003, 29001004"
"Icterus","SCTSPA","18165001, 206897003, 274245007"
"Hepatic necrosis","SCTSPA","87248009"
"Acute and subacute liver necrosis (disorder)","SCTSPA","197268000, 197278002"
"Chronic liver disease","SCTSPA","155816007, 197323005, 328383001"
"Hepatitis, Chronic","SCTSPA","197288001, 197289009, 76783007"
"Drug-Induced Liver Disease","SCTSPA","427399008"
"Other specified inflammatory liver diseases","SNOMEDCT_US","197554008"
"Liver Failure","SNOMEDCT_US","197334008, 197335009, 235882007, 235883002, 59927004"
"Hepatitis","SNOMEDCT_US","128241005, 197351001, 197353003, 29001004"
"Icterus","SNOMEDCT_US","139122003, 158249005, 158250005, 161866005, 18165001, 206897003, 263780001, 274245007"
"Hepatic necrosis","SNOMEDCT_US","87248009"
"Acute and subacute liver necrosis (disorder)","SNOMEDCT_US","155808003, 197268000, 197278002, 266536009"
"Chronic liver disease","SNOMEDCT_US","155816007, 197323005, 328383001"
"Hepatitis, Chronic","SNOMEDCT_US","155813004, 197288001, 197289009, 266539002, 76783007"
"Drug-Induced Liver Disease","SNOMEDCT_US","427399008"
"Other specified inflammatory liver diseases","RCD","Jyu72"
"Liver Failure","RCD","X3076, X3077, X3078"
"Hepatitis","RCD","J633., J633z, X306T"
"Icterus","RCD","R0241, X769z, XM0z9"
"Hepatic necrosis","RCD","Xa8De"
"Acute and subacute liver necrosis (disorder)","RCD","J60.., J60z."
"Chronic liver disease","RCD","idi.., J61z."
"Hepatitis, Chronic","RCD","J614., J614y, J614z"
"Hepatitis","ICD10/CM","K75.9"
"Icterus","ICD10/CM","R17"
"Icterus","ICPC","D13"
