"event_definition","Coding_system","Codes"
"Rhabdomyolysis","ICD9CM","728.88"
"Myoglobinuria","ICD9CM","791.3"
"Rhabdomyolysis","RCD2","N2333"
"Myoglobinuria","RCD2","R113."
"Traumatic rhabdomyolysis","RCD2","N23yF, SK09."
"Rhabdomyolysis","ICD10/CM","M62.82"
"Rhabdomyolysis","RCD","X70AI"
"Myoglobinuria","RCD","R113., X709S"
"Traumatic rhabdomyolysis","RCD","X70A9"
"Rhabdomyolysis","SCTSPA","240131006, 89010004"
"Myoglobinuria","SCTSPA","207318008, 48165008"
"Traumatic rhabdomyolysis","SCTSPA","240125008"
"Rhabdomyolysis","SNOMEDCT_US","156729009, 240131006, 268106003, 89010004"
"Myoglobinuria","SNOMEDCT_US","158572006, 207318008, 48165008"
"Traumatic rhabdomyolysis","SNOMEDCT_US","240125008"
