"event_definition","Coding_system","Codes"
"Nausea","ICD10/CM","R11.0"
"Nausea and vomiting","ICD10/CM","R11, R11.2"
"Nausea and vomiting","ICD9CM","787.0, 787.01"
"Nausea","ICPC2P","D09002"
"Retching","ICPC2P","D10002"
"Nausea","RCD","198Z., R0700, X75qw, Xa7ee"
"Retching","RCD","R070z, X76ct"
"Nausea and vomiting","RCD","R070., R070z, Xa1pJ"
"Nausea present","RCD","1982."
"Nausea","RCD2","198Z., 198.., R0700"
"Retching","RCD2","R070z, 1997."
"Nausea and vomiting","RCD2","R070z, 1992., R070."
"Nausea present","RCD2","1982."
"Nausea","SNOMEDCT_US","139330007, 139334003, 158421000, 162055004, 162060000, 207111007, 272043005, 300576004, 422587007, 73879007"
"Retching","SNOMEDCT_US","162066006, 207116002, 366960002, 84480002"
"Nausea and vomiting","SNOMEDCT_US","158420004, 158424008, 16932000, 207110008, 207116002"
"Nausea present","SNOMEDCT_US","139332004, 162057007"
"Nausea","SCTSPA","139334003, 162060000, 207111007, 300576004, 422587007, 73879007"
"Retching","SCTSPA","84480002"
"Nausea and vomiting","SCTSPA","16932000, 207110008, 207116002"
"Nausea present","SCTSPA","162057007"
"Nausea","ICPC","D09"
